listing_key,action,ticker,exchange,asset_type,isin,old_name,new_name,source_key,reference_scope,source_url,observation_id,evidence_status
ADX::GRMNY,proposed,GRMNY,ADX,ETF,IE000EK4H397,Chimera S&P Germany UCITS ETF - Share Class D - Income,Lunate S&P Germany UCITS ETF,adx_market_watch,exchange_directory,https://www.adx.ae/english/pages/marketwatch.aspx,e00eb004283e0730b9222667,active_official_exact_listing_isin_name
ADX::JPANI,proposed,JPANI,ADX,ETF,IE000M10VZK6,Chimera S&P Japan UCITS ETF - Share Class D-Income,Lunate S&P Japan UCITS ETF,adx_market_watch,exchange_directory,https://www.adx.ae/english/pages/marketwatch.aspx,45ca15fdba14191bc7ec42d1,active_official_exact_listing_isin_name
ADX::PKSTN,proposed,PKSTN,ADX,ETF,IE00088ID6F8,Chimera S&P Pakistan UCITS ETF- Share D - Income,Lunate S&P Pakistan UCITS ETF,adx_market_watch,exchange_directory,https://www.adx.ae/english/pages/marketwatch.aspx,094098d6fa6064a29f937c66,active_official_exact_listing_isin_name
ADX::UAED,proposed,UAED,ADX,ETF,IE00BKDMN700,CHIMERA S&P UAE UCITS ETF - SHARE CLASS D INCOME,Lunate S&P UAE UCITS ETF,adx_market_watch,exchange_directory,https://www.adx.ae/english/pages/marketwatch.aspx,cc183beba709fc69214f3f76,active_official_exact_listing_isin_name
AMS::500E,proposed,500E,AMS,ETF,LU1681049018,Amundi Index Solutions - Amundi S&P 500 UCITS ETF C USD EUR,Amundi S&P 500 Swap UCITS ETF USD Acc,euronext_etfs,exchange_directory,"https://live.euronext.com/en/product_directory/data/etf-all-markets/download?mics=ALXA,ALXB,ALXL,ALXP,ATFX,BGEM,ENXB,ENXL,ETFP,ETLX,EXGM,MERK,MIVX,MLXB,MOTX,MTAA,MTAH,MTCH,SEDX,TNLA,TNLB,VPXB,WOMF,XACD,XAMC,XAMS,XATL,XBRU,XDUB,XESM,XLDN,XLIS,XMLI,XMOT,XMSM,XOAM,XOAS,XOBD,XOSL,XPAR,XPMC",197111c7331fec56ba0160e5,active_official_exact_listing_isin_name
AMS::ERC,proposed,ERC,AMS,Stock,NL0010389508,Er Capital N.V.,ER Capital,euronext_equities,exchange_directory,https://live.euronext.com/pd_es/data/stocks/download?mics=dm_all_stock,d374fa50ef03a9a44005b6bc,active_official_exact_listing_isin_name
AMS::EXS1,proposed,EXS1,AMS,ETF,DE0005933931,iShares Core DAX® UCITS ETF (DE) EUR (Acc),iShares Core DAX UCITS ETF EUR (Acc),euronext_etfs,exchange_directory,"https://live.euronext.com/en/product_directory/data/etf-all-markets/download?mics=ALXA,ALXB,ALXL,ALXP,ATFX,BGEM,ENXB,ENXL,ETFP,ETLX,EXGM,MERK,MIVX,MLXB,MOTX,MTAA,MTAH,MTCH,SEDX,TNLA,TNLB,VPXB,WOMF,XACD,XAMC,XAMS,XATL,XBRU,XDUB,XESM,XLDN,XLIS,XMLI,XMOT,XMSM,XOAM,XOAS,XOBD,XOSL,XPAR,XPMC",45df74d48dcb7041d40f00e3,active_official_exact_listing_isin_name
AMS::IAEX,proposed,IAEX,AMS,ETF,IE00B0M62Y33,iShares AEX UCITS ETF EUR (Dist),iShares AEX,euronext_etfs,exchange_directory,"https://live.euronext.com/en/product_directory/data/etf-all-markets/download?mics=ALXA,ALXB,ALXL,ALXP,ATFX,BGEM,ENXB,ENXL,ETFP,ETLX,EXGM,MERK,MIVX,MLXB,MOTX,MTAA,MTAH,MTCH,SEDX,TNLA,TNLB,VPXB,WOMF,XACD,XAMC,XAMS,XATL,XBRU,XDUB,XESM,XLDN,XLIS,XMLI,XMOT,XMSM,XOAM,XOAS,XOBD,XOSL,XPAR,XPMC",b2eeba28f795a11c302de8b0,active_official_exact_listing_isin_name
AMS::IEGA,proposed,IEGA,AMS,ETF,IE00B4WXJJ64,iShares III Public Limited Company - iShares Core Euro Government Bond UCITS ETF,iShares Core EUR Govt Bond UCITS ETF EUR (Dist),euronext_etfs,exchange_directory,"https://live.euronext.com/en/product_directory/data/etf-all-markets/download?mics=ALXA,ALXB,ALXL,ALXP,ATFX,BGEM,ENXB,ENXL,ETFP,ETLX,EXGM,MERK,MIVX,MLXB,MOTX,MTAA,MTAH,MTCH,SEDX,TNLA,TNLB,VPXB,WOMF,XACD,XAMC,XAMS,XATL,XBRU,XDUB,XESM,XLDN,XLIS,XMLI,XMOT,XMSM,XOAM,XOAS,XOBD,XOSL,XPAR,XPMC",d0f92178e2aa70d852f55dcf,active_official_exact_listing_isin_name
AMS::LQDA,proposed,LQDA,AMS,ETF,IE0032895942,iShares $ Corp Bond UCITS ETF USD (Dist) EUR,iShares S Corporate Bond UCITS ETF,euronext_etfs,exchange_directory,"https://live.euronext.com/en/product_directory/data/etf-all-markets/download?mics=ALXA,ALXB,ALXL,ALXP,ATFX,BGEM,ENXB,ENXL,ETFP,ETLX,EXGM,MERK,MIVX,MLXB,MOTX,MTAA,MTAH,MTCH,SEDX,TNLA,TNLB,VPXB,WOMF,XACD,XAMC,XAMS,XATL,XBRU,XDUB,XESM,XLDN,XLIS,XMLI,XMOT,XMSM,XOAM,XOAS,XOBD,XOSL,XPAR,XPMC",51241a9892bf86e82773f86e,active_official_exact_listing_isin_name
AMS::SPYL,proposed,SPYL,AMS,ETF,IE000XZSV718,SPDR S&P 500 UCITS ETF USD Acc EUR,State Street SPDR S&P 500 UCITS ETF (Acc),euronext_etfs,exchange_directory,"https://live.euronext.com/en/product_directory/data/etf-all-markets/download?mics=ALXA,ALXB,ALXL,ALXP,ATFX,BGEM,ENXB,ENXL,ETFP,ETLX,EXGM,MERK,MIVX,MLXB,MOTX,MTAA,MTAH,MTCH,SEDX,TNLA,TNLB,VPXB,WOMF,XACD,XAMC,XAMS,XATL,XBRU,XDUB,XESM,XLDN,XLIS,XMLI,XMOT,XMSM,XOAM,XOAS,XOBD,XOSL,XPAR,XPMC",fca45f171567f15f40041406,active_official_exact_listing_isin_name
AMS::TPSA,proposed,TPSA,AMS,ETF,IE00B1FZSC47,iShares II Public Limited Company - iShares $ TIPS UCITS ETF,iShares S TIPS UCITS ETF USD (Acc),euronext_etfs,exchange_directory,"https://live.euronext.com/en/product_directory/data/etf-all-markets/download?mics=ALXA,ALXB,ALXL,ALXP,ATFX,BGEM,ENXB,ENXL,ETFP,ETLX,EXGM,MERK,MIVX,MLXB,MOTX,MTAA,MTAH,MTCH,SEDX,TNLA,TNLB,VPXB,WOMF,XACD,XAMC,XAMS,XATL,XBRU,XDUB,XESM,XLDN,XLIS,XMLI,XMOT,XMSM,XOAM,XOAS,XOBD,XOSL,XPAR,XPMC",66b1ffcfbf7a9311b0310501,active_official_exact_listing_isin_name
AMS::USCE,proposed,USCE,AMS,ETF,IE00BFY0GV36,SPDR BB SB USCorEH,State Street SPDR Bloomberg U.S. Corporate Scored EUR Hdg UCITS ETF (Acc),euronext_etfs,exchange_directory,"https://live.euronext.com/en/product_directory/data/etf-all-markets/download?mics=ALXA,ALXB,ALXL,ALXP,ATFX,BGEM,ENXB,ENXL,ETFP,ETLX,EXGM,MERK,MIVX,MLXB,MOTX,MTAA,MTAH,MTCH,SEDX,TNLA,TNLB,VPXB,WOMF,XACD,XAMC,XAMS,XATL,XBRU,XDUB,XESM,XLDN,XLIS,XMLI,XMOT,XMSM,XOAM,XOAS,XOBD,XOSL,XPAR,XPMC",6d88e52fc1a41ffe5fdb1e08,active_official_exact_listing_isin_name
B3::BCTE39,proposed,BCTE39,B3,ETF,BRBCTEBDR005,GLOBAL X CLEANTECH ETF,GLOBAL X CLIMATETECH ETF,b3_instruments_equities,exchange_directory,https://arquivos.b3.com.br/bdi/table/InstrumentsEquities,92c48b285a16dc3148bafe3c,active_official_exact_listing_isin_name
BCBA::BA-C,proposed,BA-C,BCBA,Stock,ARDEUT112851,BANK OF AMERICA CORPORATION CED,Bank of American Corporation,byma_equity_details,security_lookup_subset,https://open.bymadata.com.ar/vanoms-be-core/rest/api/bymadata/free/bnown/fichatecnica/especies/general,aaf476dbf3d6d1b4c1b083c9,active_official_exact_listing_isin_name
