listing_key,ticker,exchange,asset_type,name,instrument_scope,scope_reason,quality_status,issue_types,source_gap_field,source_gap_class,source_of_truth_outcome,source_gap_context,scope_decision,otc_review_decision_status,otc_review_decision_context,review_bucket,review_priority,scope_apply_eligibility,metadata_enrichment_gate,scope_review_context,review_strategy,verification_evidence_required,recommended_next_source,source_gate,recommended_action
OTC::ABNAF,ABNAF,OTC,Stock,Aben Resources Ltd,extended,otc_listing,warn,official_name_mismatch,,,,quality_status=warn;issue_types=official_name_mismatch;source_gap_field=none;source_gap_class=none;source_of_truth_outcome=none,already_extended_otc_listing,pending_otc_name_mismatch_review,listing_key=OTC::ABNAF;otc_review_decision_status=pending_otc_name_mismatch_review,official_name_mismatch_review_first,P2,already_extended_no_scope_change_required,otc_name_mismatch_review_required_before_name_or_metadata_changes,instrument_scope=extended;scope_reason=otc_listing;scope_decision=already_extended_otc_listing;scope_apply_eligibility=already_extended_no_scope_change_required;metadata_enrichment_gate=otc_name_mismatch_review_required_before_name_or_metadata_changes,resolve_listing_keyed_name_mismatch_before_metadata_work,reviewed_otc_name_mismatch_decision_before_name_or_metadata_change,"OTC name mismatch review, OTC Markets profile, SEC/issuer filing, or ISIN-anchored issuer history.",No canonical name or metadata change until the name mismatch has a reviewed listing-keyed decision.,use_otc_name_mismatch_review_before_name_changes
OTC::ACGBY,ACGBY,OTC,Stock,Agricultural Bank of China PK,extended,otc_listing,warn,official_name_mismatch,,,,quality_status=warn;issue_types=official_name_mismatch;source_gap_field=none;source_gap_class=none;source_of_truth_outcome=none,already_extended_otc_listing,pending_otc_name_mismatch_review,listing_key=OTC::ACGBY;otc_review_decision_status=pending_otc_name_mismatch_review,official_name_mismatch_review_first,P2,already_extended_no_scope_change_required,otc_name_mismatch_review_required_before_name_or_metadata_changes,instrument_scope=extended;scope_reason=otc_listing;scope_decision=already_extended_otc_listing;scope_apply_eligibility=already_extended_no_scope_change_required;metadata_enrichment_gate=otc_name_mismatch_review_required_before_name_or_metadata_changes,resolve_listing_keyed_name_mismatch_before_metadata_work,reviewed_otc_name_mismatch_decision_before_name_or_metadata_change,"OTC name mismatch review, OTC Markets profile, SEC/issuer filing, or ISIN-anchored issuer history.",No canonical name or metadata change until the name mismatch has a reviewed listing-keyed decision.,use_otc_name_mismatch_review_before_name_changes
OTC::AECX,AECX,OTC,Stock,CurrentC Power Corporation,extended,otc_listing,warn,official_name_mismatch,missing_sector_stock,otc_sector_source_gap,accepted_source_gap,quality_status=warn;issue_types=official_name_mismatch;source_gap_field=missing_sector_stock;source_gap_class=otc_sector_source_gap;source_of_truth_outcome=accepted_source_gap,already_extended_otc_listing,pending_otc_name_mismatch_review,listing_key=OTC::AECX;otc_review_decision_status=pending_otc_name_mismatch_review,official_name_mismatch_review_first,P2,already_extended_no_scope_change_required,otc_name_mismatch_review_required_before_name_or_metadata_changes,instrument_scope=extended;scope_reason=otc_listing;scope_decision=already_extended_otc_listing;scope_apply_eligibility=already_extended_no_scope_change_required;metadata_enrichment_gate=otc_name_mismatch_review_required_before_name_or_metadata_changes,resolve_listing_keyed_name_mismatch_before_metadata_work,reviewed_otc_name_mismatch_decision_before_name_or_metadata_change,"OTC name mismatch review, OTC Markets profile, SEC/issuer filing, or ISIN-anchored issuer history.",No canonical name or metadata change until the name mismatch has a reviewed listing-keyed decision.,use_otc_name_mismatch_review_before_name_changes
OTC::AKBTY,AKBTY,OTC,Stock,Akbank Turk Anonim Sirketi,extended,otc_listing,warn,official_name_mismatch,,,,quality_status=warn;issue_types=official_name_mismatch;source_gap_field=none;source_gap_class=none;source_of_truth_outcome=none,already_extended_otc_listing,pending_otc_name_mismatch_review,listing_key=OTC::AKBTY;otc_review_decision_status=pending_otc_name_mismatch_review,official_name_mismatch_review_first,P2,already_extended_no_scope_change_required,otc_name_mismatch_review_required_before_name_or_metadata_changes,instrument_scope=extended;scope_reason=otc_listing;scope_decision=already_extended_otc_listing;scope_apply_eligibility=already_extended_no_scope_change_required;metadata_enrichment_gate=otc_name_mismatch_review_required_before_name_or_metadata_changes,resolve_listing_keyed_name_mismatch_before_metadata_work,reviewed_otc_name_mismatch_decision_before_name_or_metadata_change,"OTC name mismatch review, OTC Markets profile, SEC/issuer filing, or ISIN-anchored issuer history.",No canonical name or metadata change until the name mismatch has a reviewed listing-keyed decision.,use_otc_name_mismatch_review_before_name_changes
OTC::AMFN,AMFN,OTC,Stock,"Renewal Fuels, Inc.",extended,otc_listing,warn,official_name_mismatch,,,,quality_status=warn;issue_types=official_name_mismatch;source_gap_field=none;source_gap_class=none;source_of_truth_outcome=none,already_extended_otc_listing,pending_otc_name_mismatch_review,listing_key=OTC::AMFN;otc_review_decision_status=pending_otc_name_mismatch_review,official_name_mismatch_review_first,P2,already_extended_no_scope_change_required,otc_name_mismatch_review_required_before_name_or_metadata_changes,instrument_scope=extended;scope_reason=otc_listing;scope_decision=already_extended_otc_listing;scope_apply_eligibility=already_extended_no_scope_change_required;metadata_enrichment_gate=otc_name_mismatch_review_required_before_name_or_metadata_changes,resolve_listing_keyed_name_mismatch_before_metadata_work,reviewed_otc_name_mismatch_decision_before_name_or_metadata_change,"OTC name mismatch review, OTC Markets profile, SEC/issuer filing, or ISIN-anchored issuer history.",No canonical name or metadata change until the name mismatch has a reviewed listing-keyed decision.,use_otc_name_mismatch_review_before_name_changes
OTC::ANGCF,ANGCF,OTC,Stock,Angel Gold Corp,extended,otc_listing,warn,official_name_mismatch,,,,quality_status=warn;issue_types=official_name_mismatch;source_gap_field=none;source_gap_class=none;source_of_truth_outcome=none,already_extended_otc_listing,pending_otc_name_mismatch_review,listing_key=OTC::ANGCF;otc_review_decision_status=pending_otc_name_mismatch_review,official_name_mismatch_review_first,P2,already_extended_no_scope_change_required,otc_name_mismatch_review_required_before_name_or_metadata_changes,instrument_scope=extended;scope_reason=otc_listing;scope_decision=already_extended_otc_listing;scope_apply_eligibility=already_extended_no_scope_change_required;metadata_enrichment_gate=otc_name_mismatch_review_required_before_name_or_metadata_changes,resolve_listing_keyed_name_mismatch_before_metadata_work,reviewed_otc_name_mismatch_decision_before_name_or_metadata_change,"OTC name mismatch review, OTC Markets profile, SEC/issuer filing, or ISIN-anchored issuer history.",No canonical name or metadata change until the name mismatch has a reviewed listing-keyed decision.,use_otc_name_mismatch_review_before_name_changes
OTC::APCOF,APCOF,OTC,Stock,New Tech Minerals Corp,extended,otc_listing,warn,official_name_mismatch,,,,quality_status=warn;issue_types=official_name_mismatch;source_gap_field=none;source_gap_class=none;source_of_truth_outcome=none,already_extended_otc_listing,pending_otc_name_mismatch_review,listing_key=OTC::APCOF;otc_review_decision_status=pending_otc_name_mismatch_review,official_name_mismatch_review_first,P2,already_extended_no_scope_change_required,otc_name_mismatch_review_required_before_name_or_metadata_changes,instrument_scope=extended;scope_reason=otc_listing;scope_decision=already_extended_otc_listing;scope_apply_eligibility=already_extended_no_scope_change_required;metadata_enrichment_gate=otc_name_mismatch_review_required_before_name_or_metadata_changes,resolve_listing_keyed_name_mismatch_before_metadata_work,reviewed_otc_name_mismatch_decision_before_name_or_metadata_change,"OTC name mismatch review, OTC Markets profile, SEC/issuer filing, or ISIN-anchored issuer history.",No canonical name or metadata change until the name mismatch has a reviewed listing-keyed decision.,use_otc_name_mismatch_review_before_name_changes
OTC::APELY,APELY,OTC,Stock,Alps Electric Co Ltd,extended,otc_listing,warn,official_name_mismatch,,,,quality_status=warn;issue_types=official_name_mismatch;source_gap_field=none;source_gap_class=none;source_of_truth_outcome=none,already_extended_otc_listing,pending_otc_name_mismatch_review,listing_key=OTC::APELY;otc_review_decision_status=pending_otc_name_mismatch_review,official_name_mismatch_review_first,P2,already_extended_no_scope_change_required,otc_name_mismatch_review_required_before_name_or_metadata_changes,instrument_scope=extended;scope_reason=otc_listing;scope_decision=already_extended_otc_listing;scope_apply_eligibility=already_extended_no_scope_change_required;metadata_enrichment_gate=otc_name_mismatch_review_required_before_name_or_metadata_changes,resolve_listing_keyed_name_mismatch_before_metadata_work,reviewed_otc_name_mismatch_decision_before_name_or_metadata_change,"OTC name mismatch review, OTC Markets profile, SEC/issuer filing, or ISIN-anchored issuer history.",No canonical name or metadata change until the name mismatch has a reviewed listing-keyed decision.,use_otc_name_mismatch_review_before_name_changes
OTC::APETF,APETF,OTC,Stock,Alpha Esports Tech Inc,extended,otc_listing,warn,official_name_mismatch,missing_sector_stock,otc_sector_source_gap,accepted_source_gap,quality_status=warn;issue_types=official_name_mismatch;source_gap_field=missing_sector_stock;source_gap_class=otc_sector_source_gap;source_of_truth_outcome=accepted_source_gap,already_extended_otc_listing,pending_otc_name_mismatch_review,listing_key=OTC::APETF;otc_review_decision_status=pending_otc_name_mismatch_review,official_name_mismatch_review_first,P2,already_extended_no_scope_change_required,otc_name_mismatch_review_required_before_name_or_metadata_changes,instrument_scope=extended;scope_reason=otc_listing;scope_decision=already_extended_otc_listing;scope_apply_eligibility=already_extended_no_scope_change_required;metadata_enrichment_gate=otc_name_mismatch_review_required_before_name_or_metadata_changes,resolve_listing_keyed_name_mismatch_before_metadata_work,reviewed_otc_name_mismatch_decision_before_name_or_metadata_change,"OTC name mismatch review, OTC Markets profile, SEC/issuer filing, or ISIN-anchored issuer history.",No canonical name or metadata change until the name mismatch has a reviewed listing-keyed decision.,use_otc_name_mismatch_review_before_name_changes
OTC::ARAFF,ARAFF,OTC,Stock,Arafura Resources Ltd,extended,otc_listing,warn,official_name_mismatch,,,,quality_status=warn;issue_types=official_name_mismatch;source_gap_field=none;source_gap_class=none;source_of_truth_outcome=none,already_extended_otc_listing,pending_otc_name_mismatch_review,listing_key=OTC::ARAFF;otc_review_decision_status=pending_otc_name_mismatch_review,official_name_mismatch_review_first,P2,already_extended_no_scope_change_required,otc_name_mismatch_review_required_before_name_or_metadata_changes,instrument_scope=extended;scope_reason=otc_listing;scope_decision=already_extended_otc_listing;scope_apply_eligibility=already_extended_no_scope_change_required;metadata_enrichment_gate=otc_name_mismatch_review_required_before_name_or_metadata_changes,resolve_listing_keyed_name_mismatch_before_metadata_work,reviewed_otc_name_mismatch_decision_before_name_or_metadata_change,"OTC name mismatch review, OTC Markets profile, SEC/issuer filing, or ISIN-anchored issuer history.",No canonical name or metadata change until the name mismatch has a reviewed listing-keyed decision.,use_otc_name_mismatch_review_before_name_changes
