ticker,exchange,asset_type,name,jpx_code,jpx_name,jpx_market_segment,jpx_33_industry_code,jpx_33_industry,sector_update,decision
2989,TSE,Stock,"Tokaido REIT,Inc.",2989,東海道リート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,,missing_jpx_industry
3281,TSE,Stock,GLP J-REIT,3281,ＧＬＰ投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,,missing_jpx_industry
3292,TSE,Stock,AEON REIT Investment Corporation,3292,イオンリート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,,missing_jpx_industry
3468,TSE,Stock,Star Asia Investment Corporation,3468,スターアジア不動産投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,,missing_jpx_industry
3472,TSE,Stock,Nippon Hotel & Residential Investment Corporation,3472,日本ホテル＆レジデンシャル投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,,missing_jpx_industry
3487,TSE,Stock,"CRE Logistics REIT,Inc.",3487,ＣＲＥロジスティクスファンド投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,,missing_jpx_industry
3488,TSE,Stock,CENTRAL REIT Investment Corporation,3488,セントラル・リート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,,missing_jpx_industry
401A,TSE,Stock,Kasumigaseki Hotel REIT Investment Corporation,401A,霞ヶ関ホテルリート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,,missing_jpx_industry
8952,TSE,Stock,Japan Real Estate Investment Corporation,8952,ジャパンリアルエステイト投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,,missing_jpx_industry
8955,TSE,Stock,Japan Prime Realty Investment Corporation,8955,日本プライムリアルティ投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,,missing_jpx_industry
8956,TSE,Stock,NTT UD REIT Investment Corporation,8956,ＮＴＴ都市開発リート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,,missing_jpx_industry
8958,TSE,Stock,Global One Real Estate Investment Corporation,8958,グローバル・ワン不動産投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,,missing_jpx_industry
8960,TSE,Stock,United Urban Investment Corporation,8960,ユナイテッド・アーバン投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,,missing_jpx_industry
8964,TSE,Stock,Frontier Real Estate Investment Corporation,8964,フロンティア不動産投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,,missing_jpx_industry
8972,TSE,Stock,KDX Realty Investment Corporation,8972,ＫＤＸ不動産投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,,missing_jpx_industry
8976,TSE,Stock,Daiwa Office Investment Corporation,8976,大和証券オフィス投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,,missing_jpx_industry
8984,TSE,Stock,Daiwa House REIT Investment Corporation,8984,大和ハウスリート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,,missing_jpx_industry
8985,TSE,Stock,Japan Hotel REIT Investment Corporation,8985,ジャパン・ホテル・リート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,,missing_jpx_industry
8986,TSE,Stock,Daiwa Securities Living Investment Corporation,8986,大和証券リビング投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,,missing_jpx_industry
9285,TSE,Stock,Tokyo Infrastructure Energy Investment Corporation,9285,東京インフラ・エネルギー投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,,missing_jpx_industry
9286,TSE,Stock,Enex Infrastructure Investment Corporation,9286,エネクス・インフラ投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,,missing_jpx_industry
