listing_key,ticker,exchange,current_name,twelvedata_name,validation_status,recommended_next_action,rejection_reason,review_batch
TSXV::MUSH,MUSH,TSXV,Mercanto Holdings Inc.,The Good Shroom Co Inc.,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_b_canada
TSXV::TM,TM,TSXV,Trigon Metals Inc.,Safi Silver Corp.,provider_found_different_name,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_supports_neither_current_nor_twelvedata,batch_b_canada
TSX::LVMH,LVMH,TSX,LVMH CDR (CAD Hedged),"LVMH Moët Hennessy Louis Vuitton, Société Européenne – Depositary Receipt (underlying: LVMH Moët Hennessy Louis Vuitton SE, Euronext Paris)",provider_found_different_name,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_supports_neither_current_nor_twelvedata,batch_b_canada
NEO::LV,LV,NEO,LVMH CDR (CAD hedged),LVMH Moët Hennessy Louis Vuitton Société Européenne American Depositary Receipt,provider_found_different_name,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_supports_neither_current_nor_twelvedata,batch_b_canada
TSX::CITI,CITI,TSX,Citigroup CDR (CAD Hedged),CITI,provider_found_different_name,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_supports_neither_current_nor_twelvedata,batch_b_canada
TSXV::CBLT,CBLT,TSXV,CBLT Inc.,Cobalt Blockchain Inc.,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name,batch_b_canada
TSXV::FMT,FMT,TSXV,Fuerte Metals Corporation,Talamore Mining Corp.,no_second_source_name_match,needs_more_second_source_evidence,no_provider_supplied_usable_matching_name,batch_b_canada
NEO::HERM,HERM,NEO,Hermes CDR (CAD hedged),Hermès International Société en commandite par actions,provider_found_different_name,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_supports_neither_current_nor_twelvedata,batch_b_canada
TSX::ORAC,ORAC,TSX,Oracle CDR (CAD Hedged),ORAC,ambiguous_second_source_evidence,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_similarity_is_ambiguous,batch_b_canada
NEO::ZCOI,ZCOI,NEO,Coinbase (COIN) BMO CDR (CAD Hedged),"Coinbase Global, Inc. Depositary Receipt",provider_found_different_name,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_supports_neither_current_nor_twelvedata,batch_b_canada
TSX::NSTL,NSTL,TSX,Nestlé CDR (CAD Hedged),Nestlé S.A. Depositary Receipt,provider_found_different_name,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_supports_neither_current_nor_twelvedata,batch_b_canada
