listing_key,ticker,local_exchange,twelvedata_exchange,twelvedata_mic,local_name,twelvedata_name,local_figi,twelvedata_figi,twelvedata_type
SZSE::000001,000001,SZSE,SZSE,XSHE,Ping An Bank Co Ltd,"Ping An Bank Co., Ltd.",BBG000BZDPV5,BBG000BZDQD3,Common Stock
SZSE::000002,000002,SZSE,SZSE,XSHE,China Vanke Co Ltd Class A,"China Vanke Co., Ltd.",BBG000BZ9Z48,BBG000BZB0Z8,Common Stock
SZSE::000004,000004,SZSE,SZSE,XSHE,Shenzhen CAU Technology Co Ltd,Shenzhen Guohua Network Co. Ltd.,BBG000BZFT18,BBG000BZFTX3,Common Stock
SZSE::000006,000006,SZSE,SZSE,XSHE,Shenzhen Zhenye Group Co Ltd,"Shenzhen Zhenye Group Co., Ltd.",BBG000BZFR12,BBG000BZFRZ5,Common Stock
SZSE::000007,000007,SZSE,SZSE,XSHE,ShenZhen Zero-Seven Co Ltd,"Shenzhen Quanxinhao Co., Ltd.",BBG000BZDMM2,BBG000BZDNB2,Common Stock
SZSE::000008,000008,SZSE,SZSE,XSHE,China High-Speed Railway Technology,"China High-Speed Railway Co., Ltd.",BBG000BZGLZ7,BBG000BZGN01,Common Stock
SZSE::000009,000009,SZSE,SZSE,XSHE,China Baoan Group Co Ltd,China Baoan Group Co. Ltd.,BBG000BZDL53,BBG000BZDLT7,Common Stock
SZSE::000010,000010,SZSE,SZSE,XSHE,Shenzhen Ecobeauty Co Ltd,"Shenzhen Ecobeauty Co., Ltd.",BBG000P6HN18,BBG000P6HP77,Common Stock
SZSE::000011,000011,SZSE,SZSE,XSHE,Shenzhen Properties & Resources Development Group Ltd,Shenzhen Properties & Resources Development Co. Ltd.,BBG000BZDJJ3,BBG000BZDKR1,Common Stock
SZSE::000012,000012,SZSE,SZSE,XSHE,CSG Holding Co Ltd,"CSG Holding Co., Ltd.",BBG000BZ9JN3,BBG000BZ9LD9,Common Stock
SZSE::000014,000014,SZSE,SZSE,XSHE,Shahe Industry Co Ltd,Shahe Industry Co. Ltd.,BBG000BZBV44,BBG000BZBX31,Common Stock
SZSE::000016,000016,SZSE,SZSE,XSHE,Konka Group Co Ltd,"Konka Group Co., Ltd.",BBG000BZCMX1,BBG000BZCNJ5,Common Stock
SZSE::000017,000017,SZSE,SZSE,XSHE,China Bicycle Co Holdings Ltd,Shenzhen China Bicycle Co. Ltd.,BBG000BZDGS9,BBG000BZDHB5,Common Stock
SZSE::000019,000019,SZSE,SZSE,XSHE,Shenzhen Shenbao Industrial Co Ltd,"Shenzhen Cereals Holdings Co., Ltd.",BBG000BZDFX5,BBG000BZDGJ9,Common Stock
SZSE::000021,000021,SZSE,SZSE,XSHE,Shenzhen Kaifa Technology Co Ltd,"Shenzhen Kaifa Technology Co., Ltd.",BBG000BZDWD0,BBG000BZDWT3,Common Stock
SZSE::000025,000025,SZSE,SZSE,XSHE,Shenzhen Tellus Holding Co Ltd,Shenzhen Tellus Holding Co. Ltd.,BBG000BZFWV8,BBG000BZFXD6,Common Stock
SZSE::000026,000026,SZSE,SZSE,XSHE,Fiyta Holdings Ltd,"Fiyta Precision Technology Co., Ltd.",BBG000BZFP16,BBG000BZFPT6,Common Stock
SZSE::000027,000027,SZSE,SZSE,XSHE,Shenzhen Energy Group Co Ltd,"Shenzhen Energy Group Co., Ltd.",BBG000BZDX11,BBG000BZDY91,Common Stock
SZSE::000028,000028,SZSE,SZSE,XSHE,China National Accord Medicines Corp Ltd,China National Accord Medicines Corporation Ltd.,BBG000BZFMV0,BBG000BZFNP5,Common Stock
SZSE::000029,000029,SZSE,SZSE,XSHE,ShenZhen Special Economic Zone Real Estate & Properties Group Co Ltd,"Shenzhen Special Economic Zone Real Estate & Properties Co., Ltd.",BBG000BZDD06,BBG000BZDFG4,Common Stock
SZSE::000030,000030,SZSE,SZSE,XSHE,FAWER Automotive Parts Ltd Co,Fawer Automotive Parts Ltd.,BBG000BZFM68,BBG000BZFMM0,Common Stock
SZSE::000031,000031,SZSE,SZSE,XSHE,Grandjoy Holdings Group Co Ltd,"Grandjoy Holdings Group Co., Ltd.",BBG000BZDB55,BBG000BZDC62,Common Stock
SZSE::000032,000032,SZSE,SZSE,XSHE,Shenzhen Sed Industry Co Ltd,"Shenzhen SED Industry Co., Ltd.",BBG000BZD950,BBG000BZD9V1,Common Stock
SZSE::000034,000034,SZSE,SZSE,XSHE,Digital China Group Co Ltd,Digital China Group Co. Ltd.,BBG000BZFKM4,BBG000BZFLS6,Common Stock
SZSE::000035,000035,SZSE,SZSE,XSHE,China Tianying Inc,China Tianying Inc.,BBG000BZ98C9,BBG000BZ9B14,Common Stock
SZSE::000036,000036,SZSE,SZSE,XSHE,China Union Holdings Ltd,China Union Holdings Ltd.,BBG000P6K4C4,BBG000P6K522,Common Stock
SZSE::000037,000037,SZSE,SZSE,XSHE,Shenzhen Nanshan Power Co Ltd,"Shenzhen Nanshan Power Co., Ltd.",BBG000P6HLZ5,BBG000P6HMS1,Common Stock
SZSE::000039,000039,SZSE,SZSE,XSHE,China International Marine Containers Group Ltd,"China International Marine Containers (Group) Co., Ltd.",BBG000BZ9WF3,BBG000BZ9Y78,Common Stock
KRX::000040,000040,KRX,KRX,XKRX,KR Motors Co. Ltd.,"KR Motors Co., Ltd.",BBG000BPJVY5,BBG000BPJWM6,Common Stock
SZSE::000042,000042,SZSE,SZSE,XSHE,Shenzhen Centralcon Investment Holding Co Ltd,"Shenzhen Centralcon Investment Holding Co., Ltd.",BBG000P6HFS6,BBG000P6HH84,Common Stock
SZSE::000045,000045,SZSE,SZSE,XSHE,Shenzhen Textile Holdings Co Ltd,"Shenzhen Textile Holdings Co., Ltd.",BBG000P6FT62,BBG000P6FV94,Common Stock
SZSE::000048,000048,SZSE,SZSE,XSHE,ShenZhen Kondarl Group Co Ltd,"Shenzhen Kingkey Smart Agriculture Times Co., Ltd.",BBG000P6JZZ2,BBG000P6K1H5,Common Stock
SZSE::000049,000049,SZSE,SZSE,XSHE,Shenzhen Desay Battery Technology Co Ltd,"Shenzhen Desay Battery Technology Co., Ltd.",BBG000P6HBK3,BBG000P6HC94,Common Stock
SZSE::000055,000055,SZSE,SZSE,XSHE,China Fangda Group Co Ltd,"China Fangda Group Co., Ltd.",BBG000P65Z78,BBG000P66001,Common Stock
SZSE::000056,000056,SZSE,SZSE,XSHE,Shenzhen Wongtee International Enterprise Co Ltd,"Shenzhen Wongtee International Enterprise Co., Ltd.",BBG000P6H777,BBG000P6H866,Common Stock
SZSE::000058,000058,SZSE,SZSE,XSHE,Shenzhen SEG Co Ltd,"Shenzhen SEG Co., Ltd.",BBG000P6H615,BBG000P6H6Y9,Common Stock
SZSE::000059,000059,SZSE,SZSE,XSHE,North Huajin Chemical Industries Co Ltd,"North Huajin Chemical Industry Co., Ltd.",BBG000D3ZMP4,BBG000D3ZN81,Common Stock
SZSE::000060,000060,SZSE,SZSE,XSHE,Shenzhen Zhongjin Lingnan Nonfemet Co Ltd,Shenzhen Zhongjin Lingnan Nonfemet Company Ltd.,BBG000D424F9,BBG000D425S2,Common Stock
SZSE::000061,000061,SZSE,SZSE,XSHE,Shenzhen Agricultural Products Co Ltd,"Shenzhen Agricultural Power Co., Ltd.",BBG000P6H4P4,BBG000P6H5M4,Common Stock
SZSE::000062,000062,SZSE,SZSE,XSHE,Shenzhen Huaqiang Industry Co Ltd,"Shenzhen Huaqiang Industry Co., Ltd.",BBG000D422Z1,BBG000D423R8,Common Stock
SZSE::000063,000063,SZSE,SZSE,XSHE,ZTE Corp,ZTE Corporation,BBG000GC4YL3,BBG000GC4ZY6,Common Stock
SZSE::000065,000065,SZSE,SZSE,XSHE,NORINCO International Cooperation Ltd,"Norinco International Cooperation Co., Ltd.",BBG000GBSRV3,BBG000GBSTM9,Common Stock
SZSE::000066,000066,SZSE,SZSE,XSHE,China Greatwall Computer Shenzhen Co Ltd,"China Greatwall Technology Group Co., Ltd.",BBG000D3MGY1,BBG000D3MJ93,Common Stock
SZSE::000068,000068,SZSE,SZSE,XSHE,Shenzhen Huakong Seg Co Ltd,"Shenzhen Huakong Seg Co., Ltd.",BBG000D40ZT7,BBG000D42218,Common Stock
SZSE::000069,000069,SZSE,SZSE,XSHE,Shenzhen Overseas Chinese Town Co Ltd,Shenzhen Overseas Chinese Town Co. Ltd.,BBG000D40Y74,BBG000D40Z26,Common Stock
SZSE::000078,000078,SZSE,SZSE,XSHE,Shenzhen Neptunus Bioengineering Co Ltd,"Shenzhen Neptunus Bioengineering Co., Ltd.",BBG000DYQMY6,BBG000DYQNG4,Common Stock
KRX::000080,000080,KRX,KRX,XKRX,Hite Jinro,"Hite Jinro Co., Ltd.",BBG000BDN2M4,BBG000BDN397,Common Stock
SZSE::000088,000088,SZSE,SZSE,XSHE,Shenzhen Yan Tian Port Holdings Co Ltd,"Shenzhen Yan Tian Port Holdings Co., Ltd.",BBG000D3ZV74,BBG000D40XL0,Common Stock
SZSE::000089,000089,SZSE,SZSE,XSHE,Shenzhen Airport Co Ltd,"Shenzhen Airport Co., Ltd.",BBG000GBXYC3,BBG000GBZ0H0,Common Stock
SZSE::000090,000090,SZSE,SZSE,XSHE,Shenzhen Tagen Group Co Ltd,"Shenzhen Tagen Group Co., Ltd.",BBG000CW5447,BBG000CW5553,Common Stock
SZSE::000096,000096,SZSE,SZSE,XSHE,Shenzhen Guangju Energy Co Ltd,"Shenzhen Guangju Energy Co., Ltd.",BBG000DPZTZ9,BBG000DPZVQ4,Common Stock
SZSE::000099,000099,SZSE,SZSE,XSHE,Citic Offshore Helicopter Co Ltd,"Citic Offshore Helicopter Co., Ltd.",BBG000DPW593,BBG000DPW655,Common Stock
KRX::000100,000100,KRX,KRX,XKRX,YUHAN,Yuhan Corporation,BBG000BDQQP5,BBG000BDQR19,Common Stock
KRX::000120,000120,KRX,KRX,XKRX,CJ Korea Express,CJ Logistics Corporation,BBG000BCYPM3,BBG000BCYQ78,Common Stock
KRX::000140,000140,KRX,KRX,XKRX,Hitejinro Holdings,"Hitejinro Holdings Co., Ltd.",BBG000BDFNX5,BBG000BDFPC3,Common Stock
KRX::000150,000150,KRX,KRX,XKRX,Doosan,"Doosan Co., Ltd.",BBG000BCX192,BBG000BCX1Z3,Common Stock
SZSE::000151,000151,SZSE,SZSE,XSHE,China National Complete Plant Import & Export Corp Ltd,China National Complete Plant Import & Export Group Corporation Ltd.,BBG000DPW1W6,BBG000DPW2T8,Common Stock
SZSE::000153,000153,SZSE,SZSE,XSHE,Anhui Fengyuan Pharmaceutical Co Ltd,"Anhui Fengyuan Pharmaceutical Co., Ltd.",BBG000DPVWK2,BBG000DPVXR3,Common Stock
SZSE::000156,000156,SZSE,SZSE,XSHE,Wasu Media Holding Co Ltd,"Wasu Media Holding Co., Ltd.",BBG000DPXXL7,BBG000DPXZ05,Common Stock
SZSE::000158,000158,SZSE,SZSE,XSHE,Shijiazhuang Changshan Textile Co Ltd,"Shijiazhuang Changshan Beiming Technology Co., Ltd.",BBG000DPZW37,BBG000DPZWY3,Common Stock
SZSE::000159,000159,SZSE,SZSE,XSHE,Xinjiang International Industry Co Ltd,"Xinjiang International Industry Co., Ltd.",BBG000DQ15Q6,BBG000DQ16F6,Common Stock
SZSE::000166,000166,SZSE,SZSE,XSHE,Shenwan Hongyuan Group Co Ltd,Shenwan Hongyuan Group Co. Ltd.,BBG000G92HQ4,BBG007ZC22K0,Common Stock
KRX::000180,000180,KRX,KRX,XKRX,Sungchang Hold,Sungchang Enterprise Holding Inc.,BBG000BFXSB3,BBG000BFXSJ5,Common Stock
KRX::000210,000210,KRX,KRX,XKRX,DL Holdings CO. LTD.,"DL Holdings Co., Ltd.",BBG000BDG9N6,BBG000BDGBK4,Common Stock
KRX::000220,000220,KRX,KRX,XKRX,Yuyu Pharma,Yuyu Pharma Inc.,BBG000BDQTC3,BBG000BDQTR7,Common Stock
KRX::000230,000230,KRX,KRX,XKRX,Ildong Holdings Co Ltd,"Il Dong Holdings Co., Ltd.",BBG000BDMKT8,BBG000BDML70,Common Stock
KRX::000240,000240,KRX,KRX,XKRX,Hankook Tire Worldwide,"Hankook & Company Co., Ltd.",BBG000BCV5W9,BBG000BCV700,Common Stock
KOSDAQ::000250,000250,KOSDAQ,KRX,XKRX,Sam Chun Dang Pharm. Co. Ltd,"Sam Chun Dang Pharm Co., Ltd.",BBG000CBJTV3,BBG000CBJVQ4,Common Stock
KRX::000270,000270,KRX,KRX,XKRX,Kia Corp,Kia Corporation,BBG000BCL1T3,BBG000BCL248,Common Stock
SZSE::000301,000301,SZSE,SZSE,XSHE,Jiangsu Wujiang China Eastern Silk Market Co Ltd,"Jiangsu Eastern Shenghong Co., Ltd.",BBG000GC20B0,BBG000GC21J0,Common Stock
KRX::000320,000320,KRX,KRX,XKRX,Norooholdings,"Noroo Holdings Co., Ltd.",BBG000BGX736,BBG000BGX807,Common Stock
SZSE::000333,000333,SZSE,SZSE,XSHE,Midea Group Co Ltd,"Midea Group Co., Ltd.",BBG000QLWGC0,BBG0058YY935,Common Stock
SZSE::000338,000338,SZSE,SZSE,XSHE,Weichai Power Co Ltd Class A,"Weichai Power Co., Ltd.",BBG000R7HVC4,BBG000R7HW78,Common Stock
KRX::000370,000370,KRX,KRX,XKRX,Hanwha General,"Hanwha General Insurance Co., Ltd.",BBG000BH4ZY0,BBG000BH5067,Common Stock
KRX::000390,000390,KRX,KRX,XKRX,Samhwa Paint,"Samhwa Paints Industrial Co., Ltd.",BBG000BZF9P6,BBG000BZFBH0,Common Stock
SZSE::000401,000401,SZSE,SZSE,XSHE,Tangshan Jidong Cement Co Ltd,"Tangshan Jidong Cement Investment Co., Ltd.",BBG000P6KJG7,BBG000P6KK83,Common Stock
SZSE::000402,000402,SZSE,SZSE,XSHE,Financial Street Holdings Co Ltd,Financial Street Holdings Co. Ltd.,BBG000P67P87,BBG000P67Q85,Common Stock
SZSE::000403,000403,SZSE,SZSE,XSHE,Pacific Shuanglin Bio pharmacy Co Ltd,"Pacific Shuanglin Bio-Pharmacy Co., Ltd.",BBG000C07NG0,BBG000C07PZ4,Common Stock
SZSE::000404,000404,SZSE,SZSE,XSHE,Huayi Compressor Co Ltd,Huayi Compressor Co. Ltd.,BBG000P6C4K4,BBG000P6C5X7,Common Stock
SZSE::000407,000407,SZSE,SZSE,XSHE,Shandong Shengli Co Ltd,"Shandong Shengli Co., Ltd.",BBG000P6FPT5,BBG000P6FQ86,Common Stock
SZSE::000408,000408,SZSE,SZSE,XSHE,Zangge Holding Co Ltd,"Zangge Mining Co., Ltd.",BBG000P69X97,BBG000P69Z74,Common Stock
SZSE::000409,000409,SZSE,SZSE,XSHE,Yunding Technology Co Ltd,"Yunding Technology Co., Ltd.",BBG000P6KFW7,BBG000P6KGS0,Common Stock
SZSE::000410,000410,SZSE,SZSE,XSHE,Shenyang Machine Tool Co Ltd,"Shenyang Machine Tool Co., Ltd.",BBG000P6FQC1,BBG000P6FRB0,Common Stock
SZSE::000411,000411,SZSE,SZSE,XSHE,Zhejiang Int'L Group Co Ltd,"Zhejiang International Group Co., Ltd.",BBG000P69L93,BBG000P69MR1,Common Stock
SZSE::000415,000415,SZSE,SZSE,XSHE,Bohai Leasing Co Ltd,"Bohai Leasing Co., Ltd.",BBG000P6MB36,BBG000P6MCC4,Common Stock
SZSE::000417,000417,SZSE,SZSE,XSHE,Hefei Department Store Group Co Ltd,"Hefei Department Store Group Co., Ltd.",BBG000P69MW5,BBG000P69NK6,Common Stock
SZSE::000419,000419,SZSE,SZSE,XSHE,Changsha Tongcheng Holdings Co Ltd,"Changsha Tongcheng Holdings Co., Ltd.",BBG000P65RV9,BBG000P65TM5,Common Stock
SZSE::000420,000420,SZSE,SZSE,XSHE,Jilin Chemical Fibre Co Ltd,"Jilin Chemical Fibre Co., Ltd.",BBG000P6CDH8,BBG000P6CG09,Common Stock
SZSE::000421,000421,SZSE,SZSE,XSHE,Nanjing Zhongbei Group Co Ltd,"Nanjing Public Utilities Development Co., Ltd.",BBG000P6F0Q3,BBG000P6F1Y2,Common Stock
SZSE::000422,000422,SZSE,SZSE,XSHE,Hubei Yihua Chemical Industry Co Ltd,Hubei Yihua Chemical Industry Co. Ltd.,BBG000P69QG4,BBG000P69R27,Common Stock
SZSE::000423,000423,SZSE,SZSE,XSHE,Shan Dong Dong-E E-Jiao Co Ltd,Dong-E-E-JiaoCo Ltd.,BBG000P6FMV9,BBG000P6FPJ6,Common Stock
SZSE::000425,000425,SZSE,SZSE,XSHE,XCMG Construction Machinery Co Ltd,"XCMG Construction Machinery Co., Ltd.",BBG000P6MD41,BBG000P6MF28,Common Stock
SZSE::000426,000426,SZSE,SZSE,XSHE,Inner Mongolia Xingye Mining Co Ltd,"Inner Mongolia Xingye Mining Co., Ltd.",BBG000P64HH8,BBG000P65LL3,Common Stock
SZSE::000428,000428,SZSE,SZSE,XSHE,Huatian Hotel Group Co Ltd,Huatian Hotel Group Co. Ltd.,BBG000P69RH1,BBG000P69SB5,Common Stock
SZSE::000429,000429,SZSE,SZSE,XSHE,Guangdong Provincial Expressway Development Co Ltd,Guangdong Provincial Expressway Development Co. Ltd.,BBG000P67TJ7,BBG000P67VP5,Common Stock
KOSDAQ::000440,000440,KOSDAQ,KRX,XKRX,Joong Ang Enervis Co. Ltd,"JoongAng Enervis Co., Ltd.",BBG000C18TF5,BBG000C18VY9,Common Stock
KRX::000480,000480,KRX,KRX,XKRX,"CR Holdings Co., Ltd.",Cr Holdings Co. Ltd.,BBG000BDFTD4,BBG000BDFTS8,Common Stock
SZSE::000488,000488,SZSE,SZSE,XSHE,Shandong Chenming Paper Holdings Ltd,Shandong Chenming Paper Holdings Ltd.,BBG000D3ZD38,BBG000D3ZF33,Common Stock
KRX::000490,000490,KRX,KRX,XKRX,Daedong Ind,Daedong Corporation,BBG000BCRPW0,BBG000BCRQX7,Common Stock
SZSE::000498,000498,SZSE,SZSE,XSHE,Shandong Hi-Speed Road&Bridge,"Shandong Hi-Speed Road & Bridge Group Co., Ltd.",BBG000D3MNC0,BBG000D3MPP1,Common Stock
