listing_key,ticker,exchange,name,asset_type,country,isin
HKEX::00001,00001,HKEX,CKH HOLDINGS,Stock,Cayman Islands,KYG217651051
HKEX::00002,00002,HKEX,CLP HOLDINGS,Stock,Hong Kong,HK0002007356
HKEX::00003,00003,HKEX,HK & CHINA GAS,Stock,Hong Kong,HK0003000038
HKEX::00004,00004,HKEX,WHARF HOLDINGS,Stock,Hong Kong,HK0004000045
HKEX::00005,00005,HKEX,HSBC HOLDINGS,Stock,United Kingdom,GB0005405286
HKEX::00006,00006,HKEX,POWER ASSETS,Stock,Hong Kong,HK0006000050
HKEX::00007,00007,HKEX,WISDOM WEALTH,Stock,Bermuda,BMG4643R1245
HKEX::00008,00008,HKEX,PCCW,Stock,Hong Kong,HK0008011667
KRX::0000D0,0000D0,KRX,TIGER 엔비디아미국채커버드콜밸런스(합성),ETF,South Korea,KR70000D0009
KRX::0000H0,0000H0,KRX,KODEX 인도Nifty미드캡100,ETF,South Korea,KR70000H0005
KRX::0000J0,0000J0,KRX,PLUS 한화그룹주,ETF,South Korea,KR70000J0003
KRX::0000Y0,0000Y0,KRX,HK 26-12 회사채(AA-이상)액티브,ETF,South Korea,KR70000Y0004
KRX::0000Z0,0000Z0,KRX,RISE 바이오TOP10액티브,ETF,South Korea,KR70000Z0003
HKEX::00010,00010,HKEX,HANG LUNG GROUP,Stock,Hong Kong,HK0010000088
HKEX::00012,00012,HKEX,HENDERSON LAND,Stock,Hong Kong,HK0012000102
HKEX::00013,00013,HKEX,HUTCHMED,Stock,Cayman Islands,KYG4672N1198
HKEX::00014,00014,HKEX,HYSAN DEV,Stock,Hong Kong,HK0014000126
HKEX::00016,00016,HKEX,SHK PPT,Stock,Hong Kong,HK0016000132
HKEX::00017,00017,HKEX,NEW WORLD DEV,Stock,Hong Kong,HK0000608585
HKEX::00018,00018,HKEX,ORIENTAL M G,Stock,Hong Kong,HK0018000155
HKEX::00019,00019,HKEX,SWIRE PACIFIC A,Stock,Hong Kong,HK0019000162
KRX::0001P0,0001P0,KRX,마이티 바이오시밀러&CDMO액티브,ETF,South Korea,KR70001P0004
KRX::0001S0,0001S0,KRX,TIGER 26-04 회사채(A+이상)액티브,ETF,South Korea,KR70001S0001
HKEX::00020,00020,HKEX,SENSETIME-W,Stock,Cayman Islands,KYG8062L1041
HKEX::00021,00021,HKEX,GREAT CHI HLDGS,Stock,Hong Kong,HK0000132420
HKEX::00022,00022,HKEX,MEXAN,Stock,Bermuda,BMG6051D1175
HKEX::00023,00023,HKEX,BANK OF E ASIA,Stock,Hong Kong,HK0023000190
HKEX::00025,00025,HKEX,CHEVALIER INT'L,Stock,Bermuda,BMG2097Z1471
HKEX::00026,00026,HKEX,CHINA MOTOR BUS,Stock,Hong Kong,HK0026000205
HKEX::00027,00027,HKEX,GALAXY ENT,Stock,Hong Kong,HK0027032686
HKEX::00028,00028,HKEX,TIAN AN,Stock,Hong Kong,HK0028013271
