listing_key,ticker,local_exchange,twelvedata_exchange,twelvedata_mic,local_name,twelvedata_name,name_ratio,twelvedata_type
KOSDAQ::036170,036170,KOSDAQ,KRX,XKRX,"HMNEX Co., Ltd.","Cloud Air Co., Ltd.",0.0,Common Stock
Bursa::0373,0373,Bursa,MYX,XKLS,VERDANT,0373,0.0,Common Stock
Bursa::0379,0379,Bursa,MYX,XKLS,PMW International Bhd,0379,0.0,Common Stock
Bursa::0380,0380,Bursa,MYX,XKLS,Aquawalk Group Berhad,0380,0.0,Common Stock
Bursa::0381,0381,Bursa,MYX,XKLS,Polymer Link Holdings Berhad,0381,0.0,Common Stock
Bursa::0382,0382,Bursa,MYX,XKLS,Foodie Media Berhad,0382,0.0,Common Stock
Bursa::0383,0383,Bursa,MYX,XKLS,PSP Energy Berhad,0383,0.0,Common Stock
Bursa::0385,0385,Bursa,MYX,XKLS,BMS,0385,0.0,Common Stock
KOSDAQ::067160,067160,KOSDAQ,KRX,XKRX,"SOOP Co., Ltd.","AfreecaTV Co., Ltd.",0.0,Common Stock
XETRA::0M0,0M0,XETRA,XETR,XETR,AVERDION SE INH. O.N.,0M0,0.0,Common Stock
LSE::0QK3,0QK3,LSE,LSE,XLON,Dufry AG,Avolta AG,0.0,Common Stock
TWSE::1101,1101,TWSE,TWSE,XTAI,臺灣水泥股份有限公司,"TCC Group Holdings Co., Ltd.",0.0,Common Stock
TWSE::1102,1102,TWSE,TWSE,XTAI,亞洲水泥股份有限公司,Asia Cement Corporation,0.0,Common Stock
TWSE::1103,1103,TWSE,TWSE,XTAI,嘉新水泥股份有限公司,Chia Hsin Cement Corporation,0.0,Common Stock
TWSE::1104,1104,TWSE,TWSE,XTAI,環球水泥股份有限公司,Universal Cement Corporation,0.0,Common Stock
TWSE::1108,1108,TWSE,TWSE,XTAI,幸福水泥股份有限公司,Lucky Cement Corp.,0.0,Common Stock
TWSE::1109,1109,TWSE,TWSE,XTAI,信大水泥股份有限公司,"Hsing Ta Cement Co., Ltd.",0.0,Common Stock
TWSE::1110,1110,TWSE,TWSE,XTAI,東南水泥股份有限公司,Southeast Cement Co. Ltd.,0.0,Common Stock
TWSE::1201,1201,TWSE,TWSE,XTAI,味全食品工業股份有限公司,Wei Chuan Foods Corporation,0.0,Common Stock
TWSE::1203,1203,TWSE,TWSE,XTAI,味王股份有限公司,Ve Wong Corporation,0.0,Common Stock
TWSE::1210,1210,TWSE,TWSE,XTAI,大成長城企業股份有限公司,"Great Wall Enterprise Co., Ltd.",0.0,Common Stock
TWSE::1213,1213,TWSE,TWSE,XTAI,大西洋飲料股份有限公司,Oceanic Beverages Co. Inc.,0.0,Common Stock
TWSE::1215,1215,TWSE,TWSE,XTAI,台灣卜蜂企業股份有限公司,"Charoen Pokphand Enterprise Co., Ltd.",0.0,Common Stock
TWSE::1216,1216,TWSE,TWSE,XTAI,統一企業股份有限公司,Uni-President Enterprises Corporation,0.0,Common Stock
TWSE::1217,1217,TWSE,TWSE,XTAI,愛之味股份有限公司,A.G.V. Products Inc.,0.0,Common Stock
TWSE::1218,1218,TWSE,TWSE,XTAI,泰山企業股份有限公司,"Taisun Enterprise Co., Ltd.",0.0,Common Stock
TWSE::1219,1219,TWSE,TWSE,XTAI,福壽實業股份有限公司,Fwusow Industry Co. Ltd.,0.0,Common Stock
