ticker,name,exchange,asset_type,stock_sector,etf_category,country,country_code,isin,aliases,source_kind,source_exchange,source_mic,eodhd_exchange,eodhd_type,figi,lei,opendart_corp_code
000020,Dongwha Pharm.Co.Ltd,KRX,Stock,,,South Korea,KR,KR7000020008,"Dongwha Pharm Co., Ltd.",stocks,KRX,XKRX,KO,Common Stock,BBG000BDH722,,
000020,Shenzhen Zhongheng Huafa Co Ltd Class A,SZSE,Stock,,,China,CN,CNE0000002V4,"Shenzhen Zhongheng Huafa Co., Ltd.",stocks,SZSE,XSHE,SHE,Common Stock,BBG000BZDSQ5,,
000050,Tianma Microelectronics Co Ltd,SZSE,Stock,,,China,CN,CNE000000HT1,"Tianma Microelectronics Co., Ltd.",stocks,SZSE,XSHE,SHE,Common Stock,BBG000P6H8G5,,
000050,Kyungbangco.Ltd,KRX,Stock,,,South Korea,KR,KR7000050005,"Kyungbang Co., Ltd.",stocks,KRX,XKRX,KO,Common Stock,BBG000BDPSN4,,
000070,Shenzhen SDG Information Co Ltd,SZSE,Stock,,,China,CN,CNE000001238,"Shenzhen SDG Information Co., Ltd.",stocks,SZSE,XSHE,SHE,Common Stock,BBG000DYQP42,,
000070,Samyang Holdings,KRX,Stock,,,South Korea,KR,KR7000070003,Samyang Holdings Corporation,stocks,KRX,XKRX,KO,Common Stock,BBG000BCZ9D8,,
000157,Zoomlion Heavy Industry Science and Technology Co Ltd,SZSE,Stock,,,China,CN,CNE000001527,"Zoomlion Heavy Industry Science and Technology Co., Ltd.",stocks,SZSE,XSHE,SHE,Common Stock,BBG000DPVYB8,,
000400,"Lotte Non-Life Insurance Co., Ltd.",KRX,Stock,,,South Korea,KR,KR7000400002,,stocks,KRX,XKRX,KO,Common Stock,BBG000BDG518,,
000400,XJ Electric Co Ltd,SZSE,Stock,,,China,CN,CNE0000007F6,"XuJi Electric Co., Ltd.",stocks,SZSE,XSHE,SHE,Common Stock,BBG000D454C9,,
000430,Daewonkangup,KRX,Stock,,,South Korea,KR,KR7000430009,"Dae Won Kang Up Co., Ltd.",stocks,KRX,XKRX,KO,Common Stock,BBG000BDGGJ5,,
000430,Zhang Jia Jie Tourism Group Co Ltd,SZSE,Stock,,,China,CN,CNE000000F22,Zhangjiajie Tourism Group Co. Ltd.,stocks,SZSE,XSHE,SHE,Common Stock,BBG000P6MHM2,,
000545,Jilin Gpro Titanium Industry Co Ltd,SZSE,Stock,,,China,CN,CNE0000002F7,"Gpro Titanium Industry Co., Ltd.",stocks,SZSE,XSHE,SHE,Common Stock,BBG000BZCGF4,,
000590,Tus Pharmaceutical Group Co Ltd,SZSE,Stock,,,China,CN,CNE000000701,Tus-Pharmaceutical Group Co. Ltd.,stocks,SZSE,XSHE,SHE,Common Stock,BBG000P6KM70,,
000590,Cs Holdings,KRX,Stock,,,South Korea,KR,KR7000590000,"CS Holdings Co., Ltd.",stocks,KRX,XKRX,KO,Common Stock,BBG000BDFBD3,,
000650,Chunil Express,KRX,Stock,,,South Korea,KR,KR7000650002,"Chunil Express Co., Ltd.",stocks,KRX,XKRX,KO,Common Stock,BBG000BDFX45,,
000650,Renhe Pharmacy Co Ltd,SZSE,Stock,,,China,CN,CNE000000NF8,"Renhe Pharmacy Co., Ltd.",stocks,SZSE,XSHE,SHE,Common Stock,BBG000P6CL08,,
000680,Ls Networks,KRX,Stock,,,South Korea,KR,KR7000680009,"Ls Networks Co., Ltd.",stocks,KRX,XKRX,KO,Common Stock,BBG000BH44D2,,
000680,Shantui Construction Machinery Co Ltd,SZSE,Stock,,,China,CN,CNE000000KZ2,"Shantui Construction Machinery Co., Ltd.",stocks,SZSE,XSHE,SHE,Common Stock,BBG000P6HRX4,,
000700,Eusu Holdings,KRX,Stock,,,South Korea,KR,KR7000700005,"Eusu Holdings Co., Ltd.",stocks,KRX,XKRX,KO,Common Stock,BBG000BCV4S7,,
000700,Jiangnan Mould & Plastic Technology Co Ltd,SZSE,Stock,,,China,CN,CNE0000000N5,"Jiangnan Mould & Plastic Technology Co., Ltd.",stocks,SZSE,XSHE,SHE,Common Stock,BBG000D3WML1,,
000720,Shandong Xinneng Taishan Power Generation Co Ltd,SZSE,Stock,,,China,CN,CNE0000007P5,"Shandong Xinneng Taishan Co., Ltd.",stocks,SZSE,XSHE,SHE,Common Stock,BBG000D3ZRF4,,
000725,BOE Technology Group Co Ltd,SZSE,Stock,,,China,CN,CNE0000016L5,"BOE Technology Group Co., Ltd.",stocks,SZSE,XSHE,SHE,Common Stock,BBG000D3JKP6,,
000725,Hyundai Engineering & Construction Co Ltd,KRX,Stock,,,South Korea,KR,KR7000721001,"Hyundai Engineering & Construction Co., Ltd.",stocks,KRX,XKRX,KO,Common Stock,BBG000BHFL33,,
