reason_code,priority,ticker,exchange,mic_code,local_name,twelvedata_name,twelvedata_type,name_score,candidate_action,validation_status,listing_key,twelvedata_exchange,review_batch
low_name_similarity|severe_name_mismatch|batch_a_us_core,P0,IAC,NASDAQ,XNGS,IAC Inc.,People Incorporated,Common Stock,0.0,deepseek_classify_rename_vs_different_security,pending_deepseek_review,NASDAQ::IAC,NASDAQ,batch_a_us_core
low_name_similarity|severe_name_mismatch|batch_a_us_core,P0,TREP,OTC,PINX,"Afinida, Inc.",Trucept Inc.,Common Stock,0.0,deepseek_classify_rename_vs_different_security,pending_deepseek_review,OTC::TREP,OTC,batch_a_us_core
low_name_similarity|severe_name_mismatch|batch_a_us_core,P0,LITM,NASDAQ,XNCM,Snow Lake Resources Ltd,Frontier Nuclear and Minerals Inc.,Common Stock,0.042,deepseek_classify_rename_vs_different_security,pending_deepseek_review,NASDAQ::LITM,NASDAQ,batch_a_us_core
low_name_similarity|severe_name_mismatch|batch_a_us_core,P0,MDIN,OTC,PINX,Northstar Global Business Services Inc,"MedGen, Inc.",Common Stock,0.05,deepseek_classify_rename_vs_different_security,pending_deepseek_review,OTC::MDIN,OTC,batch_a_us_core
low_name_similarity|severe_name_mismatch|batch_a_us_core,P0,MLMC,OTC,PINX,"FrankSpeech Network, Inc.","Mike Lindell Media, Corp.",Common Stock,0.054,deepseek_classify_rename_vs_different_security,pending_deepseek_review,OTC::MLMC,OTC,batch_a_us_core
low_name_similarity|severe_name_mismatch|batch_a_us_core,P0,PNXGF,OTC,PINX,Phoenix Group Holdings PLC,Standard Life Plc,Common Stock,0.057,deepseek_classify_rename_vs_different_security,pending_deepseek_review,OTC::PNXGF,OTC,batch_a_us_core
low_name_similarity|severe_name_mismatch|batch_a_us_core,P0,MSBN,OTC,PINX,China Electronics Holdings Inc,Messaben Corporation,Common Stock,0.059,deepseek_classify_rename_vs_different_security,pending_deepseek_review,OTC::MSBN,OTC,batch_a_us_core
low_name_similarity|severe_name_mismatch|batch_a_us_core,P0,SBOEF,OTC,PINX,Schoeller-Bleckmann Oilfield Equipment Aktiengesellschaft,SBO AG,Common Stock,0.067,deepseek_classify_rename_vs_different_security,pending_deepseek_review,OTC::SBOEF,OTC,batch_a_us_core
low_name_similarity|severe_name_mismatch|batch_a_us_core,P0,BKTH,OTC,PINX,MEGOLA INC,"Breakthrough Chemistry, Inc.",Common Stock,0.071,deepseek_classify_rename_vs_different_security,pending_deepseek_review,OTC::BKTH,OTC,batch_a_us_core
low_name_similarity|severe_name_mismatch|batch_a_us_core,P0,TGSHF,OTC,PINX,Mercanto Holdings Inc.,The Good Shroom Co Inc.,Common Stock,0.071,deepseek_classify_rename_vs_different_security,pending_deepseek_review,OTC::TGSHF,OTC,batch_a_us_core
low_name_similarity|severe_name_mismatch|batch_a_us_core,P0,POWW,NASDAQ,XNCM,Outdoor Holding Company,Ammo Inc.,Common Stock,0.074,deepseek_classify_rename_vs_different_security,pending_deepseek_review,NASDAQ::POWW,NASDAQ,batch_a_us_core
low_name_similarity|severe_name_mismatch|batch_a_us_core,P0,CHSH,OTC,EXPM,Eatware Inc,"China Shoe Holdings, Inc.",Common Stock,0.077,deepseek_classify_rename_vs_different_security,pending_deepseek_review,OTC::CHSH,OTC,batch_a_us_core
low_name_similarity|severe_name_mismatch|batch_a_us_core,P0,QVCGP,NASDAQ,XNCM,QVC Group Inc.,"Qurate Retail, Inc. - 8.0% Fixed Rate Cumulative Redeemable Preferred Stock",Common Stock,0.08,deepseek_classify_rename_vs_different_security,pending_deepseek_review,NASDAQ::QVCGP,NASDAQ,batch_a_us_core
low_name_similarity|severe_name_mismatch|batch_a_us_core,P0,EBYH,OTC,PINX,"Strainsforpains, Inc.",E-Buy Home Inc.,Common Stock,0.08,deepseek_classify_rename_vs_different_security,pending_deepseek_review,OTC::EBYH,OTC,batch_a_us_core
low_name_similarity|severe_name_mismatch|batch_a_us_core,P0,MOVE,NASDAQ,XNCM,"Corvex, Inc.","Santa Fe Community College District 5.00% General Obligation Bonds, Series A, due August 1, 2025",Common Stock,0.082,deepseek_classify_rename_vs_different_security,pending_deepseek_review,NASDAQ::MOVE,NASDAQ,batch_a_us_core
low_name_similarity|severe_name_mismatch|batch_a_us_core,P0,DOMO,NASDAQ,XNMS,Domo Inc,Illinois Housing Development Authority Revenue Bonds Series A2 Refunding 3% due 08/01/2023,Common Stock,0.086,deepseek_classify_rename_vs_different_security,pending_deepseek_review,NASDAQ::DOMO,NASDAQ,batch_a_us_core
low_name_similarity|severe_name_mismatch|batch_a_us_core,P0,LMNX,NASDAQ,XNGS,Defiance Daily Target 2x Long LMND ETF,Luminex Corp.,Common Stock,0.089,deepseek_classify_rename_vs_different_security,pending_deepseek_review,NASDAQ::LMNX,NASDAQ,batch_a_us_core
low_name_similarity|severe_name_mismatch|batch_a_us_core,P0,PCLOF,OTC,PINX,Pharmacielo Ltd,G2TW Bonds 9.5% 1989 Floating Rate,Common Stock,0.091,deepseek_classify_rename_vs_different_security,pending_deepseek_review,OTC::PCLOF,OTC,batch_a_us_core
low_name_similarity|severe_name_mismatch|batch_a_us_core,P0,EMPD,NASDAQ,XNMS,Empery Digital Inc.,"Volcon, Inc.",Common Stock,0.1,deepseek_classify_rename_vs_different_security,pending_deepseek_review,NASDAQ::EMPD,NASDAQ,batch_a_us_core
low_name_similarity|severe_name_mismatch|batch_a_us_core,P0,HTO,NASDAQ,XNGS,H2O America,SJW Group,Common Stock,0.1,deepseek_classify_rename_vs_different_security,pending_deepseek_review,NASDAQ::HTO,NASDAQ,batch_a_us_core
low_name_similarity|severe_name_mismatch|batch_a_us_core,P0,RPC,NYSE,XNYS,"Ridgepost Capital, Inc",P10 Inc.,Common Stock,0.1,deepseek_classify_rename_vs_different_security,pending_deepseek_review,NYSE::RPC,NYSE,batch_a_us_core
low_name_similarity|severe_name_mismatch|batch_a_us_core,P0,LNXGF,OTC,EXPM,Linux Gold Corp,0187279 BC Ltd.,Common Stock,0.1,deepseek_classify_rename_vs_different_security,pending_deepseek_review,OTC::LNXGF,OTC,batch_a_us_core
low_name_similarity|severe_name_mismatch|batch_a_us_core,P0,SATLF,OTC,PINX,"Start Today Co., Ltd./ADR",Zozo Inc.,Common Stock,0.105,deepseek_classify_rename_vs_different_security,pending_deepseek_review,OTC::SATLF,OTC,batch_a_us_core
low_name_similarity|severe_name_mismatch|batch_a_us_core,P0,FHNPV,OTC,PINX,FHNPV,"First Horizon Corporation 6.750% Non-Cumulative Perpetual Preferred Stock, Series H",Preferred Stock,0.108,deepseek_classify_rename_vs_different_security,pending_deepseek_review,OTC::FHNPV,OTC,batch_a_us_core
low_name_similarity|severe_name_mismatch|batch_a_us_core,P0,KYNB,NASDAQ,XNGS,"Kyntra Bio, Inc.","FibroGen, Inc.",Common Stock,0.111,deepseek_classify_rename_vs_different_security,pending_deepseek_review,NASDAQ::KYNB,NASDAQ,batch_a_us_core
low_name_similarity|severe_name_mismatch|batch_a_us_core,P0,ASPT,OTC,PINX,Haber Inc,Aladdin Separation Technologies Inc.,Common Stock,0.111,deepseek_classify_rename_vs_different_security,pending_deepseek_review,OTC::ASPT,OTC,batch_a_us_core
low_name_similarity|severe_name_mismatch|batch_a_us_core,P0,KWGBF,OTC,PINX,The Canadian Chrome Company Inc.,Kwg Resources Inc.,Common Stock,0.111,deepseek_classify_rename_vs_different_security,pending_deepseek_review,OTC::KWGBF,OTC,batch_a_us_core
low_name_similarity|severe_name_mismatch|batch_a_us_core,P0,EIHDF,OTC,PINX,888 Holdings,Evoke plc,Common Stock,0.118,deepseek_classify_rename_vs_different_security,pending_deepseek_review,OTC::EIHDF,OTC,batch_a_us_core
