listing_key,ticker,exchange,current_name,proposed_name,twelvedata_type,confidence,adjudication_decision,evidence_tier,figi_relation,openfigi_figi,local_figi,review_batch,metadata_update_reason
NASDAQ::JLHL,JLHL,NASDAQ,Julong Holding Limited Class A Ordinary Shares,Julong Holding Limited,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG01T4SSQM7,BBG01T4SSQM7,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
NASDAQ::WMT,WMT,NASDAQ,Walmart Inc. Common Stock,Walmart Inc.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG000BWXBC2,BBG000BWXBC2,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
NYSE::RH,RH,NYSE,RH Common Stock,RH,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG002293PJ4,BBG002293PJ4,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::ABNAF,ABNAF,OTC,Aben Resources Ltd,Aben Gold Corp.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG000C0KBR9,BBG000C0KBR9,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::ACTL,ACTL,OTC,Artec Consulting Corp,Artec Global Media Inc.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG0045KJ1N3,BBG0045KJ1N3,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::AEXE,AEXE,OTC,AIM Energy Inc,Aim Exploration Inc.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG0033QWZ81,BBG0033QWZ81,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::AGRTF,AGRTF,OTC,Applied Graphite Technologies Corporation,Bullfrog Gold Corporation,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG01MJYQZM5,BBG01MJYQZM5,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::AHLAS,AHLAS,OTC,RSE Archive LLC - Membership Interests Series - Honus T206 Honus Wagner Card Fund,Rse Archive Series Honus T206,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG018N93R12,BBG018N93R12,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::AIUG,AIUG,OTC,"AI Unlimited Group, Inc.",Lever Global Corp.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG018WRDRG5,BBG018WRDRG5,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::AMNNF,AMNNF,OTC,Amcomri Entertainment Inc,Adsl Holdings Inc.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG0154P2J49,BBG0154P2J49,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::APCOF,APCOF,OTC,New Tech Minerals Corp,American Critical Minerals Corp.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG004WFM3B9,BBG004WFM3B9,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::APEMY,APEMY,OTC,Aperam PK,Aperam S.A. NY Registry Shares,Depositary Receipt,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG001DFG5L7,BBG001DFG5L7,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::AQFD,AQFD,OTC,Click To Raffle.Com Inc,A Classified Ad Inc.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG0073FB9K3,BBG0073FB9K3,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::AQPW,AQPW,OTC,Signet International Holdings Inc,Golden Ally Lifetech Group Inc.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG000BCX1M7,BBG000BCX1M7,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::AREVF,AREVF,OTC,AREV NanoTec Brands Inc,Arev Life Sciences Global Corp.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG00P18ZVK6,BBG00P18ZVK6,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::ARLSF,ARLSF,OTC,Argo Living Soils Corp,Argo Graphene Solutions Corp.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG012PQ7D94,BBG012PQ7D94,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::ARSLF,ARSLF,OTC,Altima Resources Ltd,Altima Energy Inc.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG000R8Q2J9,BBG000R8Q2J9,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::AZASF,AZASF,OTC,Arizona Silver Exploration Inc,Arizona Gold & Silver Inc.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG00G5H3Z46,BBG00G5H3Z46,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::BBBT,BBBT,OTC,Digital Development Partners Inc,Black Bird Biotech Inc.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG000TRCJG6,BBG000TRCJG6,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::BFYW,BFYW,OTC,Sauer Energy Inc,Better For You Wellness Inc.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG000NXFSV9,BBG000NXFSV9,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::BGTTF,BGTTF,OTC,Billy Goat Brands Ltd,Goat Industries Ltd.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG0132W06B3,BBG0132W06B3,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::BKTH,BKTH,OTC,MEGOLA INC,"Breakthrough Chemistry, Inc.",Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG000P602Q5,BBG000P602Q5,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::BKTPF,BKTPF,OTC,Cruz Cobalt Corp,Cruz Battery Metals Corp.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG0015MDYZ6,BBG0015MDYZ6,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::BRCOQ,BRCOQ,OTC,Beard Co,Beard Company,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG000DN2J00,BBG000DN2J00,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::BTGN,BTGN,OTC,Inolife Technologies Inc,Bitcoin Generation Inc.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG000D6G4C2,BBG000D6G4C2,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::BWVI,BWVI,OTC,Blue Water Ventures International Inc,"Psycheceutical Bioscience, Inc.",Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG000QX54Z6,BBG000QX54Z6,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::CAAOF,CAAOF,OTC,Cannabis One Holdings Inc,Indvr Brands Inc.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG00NGMNGJ2,BBG00NGMNGJ2,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
