listing_key,ticker,exchange,current_name,proposed_name,twelvedata_type,confidence,adjudication_decision,evidence_tier,figi_relation,openfigi_figi,local_figi,provider_supports_twelvedata,review_batch,metadata_update_reason
NASDAQ::VSNT,VSNT,NASDAQ,"Versant Media Group, Inc. Class A Common Stock When-Issued","Versant Media Group, Inc.",Common Stock,0.88,apply_twelvedata_name_identifier_supported,identifier,openfigi_only,BBG01Y0M8K11,,OpenFIGI|AlphaVantage,batch_a_us_core,Twelve Data source adjudication apply-ready name update package 2: OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=openfigi_only; provider_supports_twelvedata=OpenFIGI|AlphaVantage; review_batch=batch_a_us_core.
NYSE::BG,BG,NYSE,Bunge Limited,Bunge Global S.A.,Common Stock,0.88,apply_twelvedata_name_identifier_supported,identifier,openfigi_only,BBG01JZ8VL91,,OpenFIGI|AlphaVantage,batch_a_us_core,Twelve Data source adjudication apply-ready name update package 2: OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=openfigi_only; provider_supports_twelvedata=OpenFIGI|AlphaVantage; review_batch=batch_a_us_core.
OTC::AHELF,AHELF,OTC,American Helium Inc,Auscan Resources Inc.,Common Stock,0.88,apply_twelvedata_name_identifier_supported,identifier,openfigi_only,BBG000GZL5J9,,OpenFIGI,batch_a_us_core,Twelve Data source adjudication apply-ready name update package 2: OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=openfigi_only; provider_supports_twelvedata=OpenFIGI; review_batch=batch_a_us_core.
OTC::ALLDF,ALLDF,OTC,ALD S.A,Ayvens SA,Common Stock,0.88,apply_twelvedata_name_identifier_supported,identifier,openfigi_only,BBG01G659LG2,,OpenFIGI,batch_a_us_core,Twelve Data source adjudication apply-ready name update package 2: OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=openfigi_only; provider_supports_twelvedata=OpenFIGI; review_batch=batch_a_us_core.
OTC::AMROF,AMROF,OTC,Amaero International Ltd,Amaero Ltd,Common Stock,0.88,apply_twelvedata_name_identifier_supported,identifier,openfigi_only,BBG00ZSLN027,,OpenFIGI,batch_a_us_core,Twelve Data source adjudication apply-ready name update package 2: OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=openfigi_only; provider_supports_twelvedata=OpenFIGI; review_batch=batch_a_us_core.
OTC::ARCNF,ARCNF,OTC,Arcane Crypto AB,K33 AB,Common Stock,0.88,apply_twelvedata_name_identifier_supported,identifier,openfigi_only,BBG00ZTLV848,,OpenFIGI,batch_a_us_core,Twelve Data source adjudication apply-ready name update package 2: OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=openfigi_only; provider_supports_twelvedata=OpenFIGI; review_batch=batch_a_us_core.
OTC::ASHI,ASHI,OTC,Vapor Hub International Inc.,Asberry 22 Holdings Inc.,Common Stock,0.88,apply_twelvedata_name_identifier_supported,identifier,openfigi_only,BBG001R5M4F7,,OpenFIGI,batch_a_us_core,Twelve Data source adjudication apply-ready name update package 2: OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=openfigi_only; provider_supports_twelvedata=OpenFIGI; review_batch=batch_a_us_core.
OTC::ASPT,ASPT,OTC,Haber Inc,Aladdin Separation Technologies Inc.,Common Stock,0.88,apply_twelvedata_name_identifier_supported,identifier,openfigi_only,BBG00BFJ0HK7,,OpenFIGI,batch_a_us_core,Twelve Data source adjudication apply-ready name update package 2: OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=openfigi_only; provider_supports_twelvedata=OpenFIGI; review_batch=batch_a_us_core.
OTC::AUKUF,AUKUF,OTC,ams AG,ams OSRAM AG,Common Stock,0.88,apply_twelvedata_name_identifier_supported,identifier,openfigi_only,BBG000QBLQK3,,OpenFIGI,batch_a_us_core,Twelve Data source adjudication apply-ready name update package 2: OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=openfigi_only; provider_supports_twelvedata=OpenFIGI; review_batch=batch_a_us_core.
OTC::BCTCF,BCTCF,OTC,BC Technology Group Limited,OSL Group Ltd,Common Stock,0.88,apply_twelvedata_name_identifier_supported,identifier,openfigi_only,BBG00ZJZ1X00,,OpenFIGI,batch_a_us_core,Twelve Data source adjudication apply-ready name update package 2: OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=openfigi_only; provider_supports_twelvedata=OpenFIGI; review_batch=batch_a_us_core.
