reason_code,priority,ticker,exchange,mic_code,local_name,twelvedata_name,twelvedata_type,name_score,candidate_action,validation_status,listing_key,asset_type,country,isin,review_batch
local_listing_not_seen_in_twelvedata|batch_a_us_core,P1,AAAA,BATS,,Amplius Aggressive Asset Allocation ETF,,,,validate_stale_or_mapping_gap,pending_second_source,BATS::AAAA,ETF,United States,US02072Q6897,batch_a_us_core
local_listing_not_seen_in_twelvedata|batch_a_us_core,P1,AAAU,BATS,,Goldman Sachs Physical Gold ETF,,,,validate_stale_or_mapping_gap,pending_second_source,BATS::AAAU,ETF,United States,US38150K1034,batch_a_us_core
local_listing_not_seen_in_twelvedata|batch_a_us_core,P1,AAOX,BATS,,Tradr 2X Long AAOI Daily ETF,,,,validate_stale_or_mapping_gap,pending_second_source,BATS::AAOX,ETF,United States,US46152A4296,batch_a_us_core
local_listing_not_seen_in_twelvedata|batch_a_us_core,P1,AAPR,BATS,,Innovator Equity Defined Protection ETF - 2 Yr To April 2026,,,,validate_stale_or_mapping_gap,pending_second_source,BATS::AAPR,ETF,United States,US45783Y3356,batch_a_us_core
local_listing_not_seen_in_twelvedata|batch_a_us_core,P1,AAPW,BATS,,Roundhill AAPL WeeklyPay ETF,,,,validate_stale_or_mapping_gap,pending_second_source,BATS::AAPW,ETF,United States,US77926X7912,batch_a_us_core
local_listing_not_seen_in_twelvedata|batch_a_us_core,P1,AAPX,BATS,,Etf Opportunities Trust - T Rex 2x Long Apple Daily Target Etf,,,,validate_stale_or_mapping_gap,pending_second_source,BATS::AAPX,ETF,United States,US26923N6296,batch_a_us_core
local_listing_not_seen_in_twelvedata|batch_a_us_core,P1,AAPY,BATS,,Kurv Yield Premium Strategy Apple (AAPL) ETF,,,,validate_stale_or_mapping_gap,pending_second_source,BATS::AAPY,ETF,United States,US78433H7254,batch_a_us_core
local_listing_not_seen_in_twelvedata|batch_a_us_core,P1,AAUM,BATS,,Tema Alternative Asset Managers ETF,,,,validate_stale_or_mapping_gap,pending_second_source,BATS::AAUM,ETF,United States,US87975E7922,batch_a_us_core
local_listing_not_seen_in_twelvedata|batch_a_us_core,P1,ABLG,BATS,,Abacus FCF International Leaders ETF,,,,validate_stale_or_mapping_gap,pending_second_source,BATS::ABLG,ETF,United States,US89628W4015,batch_a_us_core
local_listing_not_seen_in_twelvedata|batch_a_us_core,P1,ABLS,BATS,,Abacus FCF Small Cap Leaders ETF,,,,validate_stale_or_mapping_gap,pending_second_source,BATS::ABLS,ETF,United States,US89628W8800,batch_a_us_core
local_listing_not_seen_in_twelvedata|batch_a_us_core,P1,ABOT,BATS,,Abacus FCF Innovation Leaders ETF,,,,validate_stale_or_mapping_gap,pending_second_source,BATS::ABOT,ETF,United States,US89628W5004,batch_a_us_core
local_listing_not_seen_in_twelvedata|batch_a_us_core,P1,ABXB,BATS,,Abacus Flexible Bond Leaders ETF,,,,validate_stale_or_mapping_gap,pending_second_source,BATS::ABXB,ETF,United States,US89628W6093,batch_a_us_core
local_listing_not_seen_in_twelvedata|batch_a_us_core,P1,ACIO,BATS,,Aptus Collared Income Opportunity ETF,,,,validate_stale_or_mapping_gap,pending_second_source,BATS::ACIO,ETF,United States,US26922A2226,batch_a_us_core
local_listing_not_seen_in_twelvedata|batch_a_us_core,P1,ACSG,BATS,,American Century Small Cap Growth Insights ETF,,,,validate_stale_or_mapping_gap,pending_second_source,BATS::ACSG,ETF,United States,US02507A7054,batch_a_us_core
local_listing_not_seen_in_twelvedata|batch_a_us_core,P1,ACSI,BATS,,American Customer Satisfaction ETF,,,,validate_stale_or_mapping_gap,pending_second_source,BATS::ACSI,ETF,United States,US8863647108,batch_a_us_core
local_listing_not_seen_in_twelvedata|batch_a_us_core,P1,ACSV,BATS,,American Century Small Cap Value Insights ETF,,,,validate_stale_or_mapping_gap,pending_second_source,BATS::ACSV,ETF,United States,US02507A8045,batch_a_us_core
local_listing_not_seen_in_twelvedata|batch_a_us_core,P1,ACWV,BATS,,iShares MSCI Global Min Vol Factor ETF,,,,validate_stale_or_mapping_gap,pending_second_source,BATS::ACWV,ETF,United States,US4642865251,batch_a_us_core
local_listing_not_seen_in_twelvedata|batch_a_us_core,P1,ADFI,BATS,,Anfield Dynamic Fixed Income ETF,,,,validate_stale_or_mapping_gap,pending_second_source,BATS::ADFI,ETF,United States,US90214Q7253,batch_a_us_core
local_listing_not_seen_in_twelvedata|batch_a_us_core,P1,ADME,BATS,,Aptus Drawdown Managed Equity ETF,,,,validate_stale_or_mapping_gap,pending_second_source,BATS::ADME,ETF,United States,US26922A7845,batch_a_us_core
local_listing_not_seen_in_twelvedata|batch_a_us_core,P1,AEMS,BATS,,Anfield Enhanced Market ETF,,,,validate_stale_or_mapping_gap,pending_second_source,BATS::AEMS,ETF,United States,US90214Q4854,batch_a_us_core
local_listing_not_seen_in_twelvedata|batch_a_us_core,P1,AESR,BATS,,Anfield U.S. Equity Sector Rotation ETF,,,,validate_stale_or_mapping_gap,pending_second_source,BATS::AESR,ETF,United States,US90214Q7337,batch_a_us_core
local_listing_not_seen_in_twelvedata|batch_a_us_core,P1,AFIF,BATS,,Anfield Universal Fixed Income ETF,,,,validate_stale_or_mapping_gap,pending_second_source,BATS::AFIF,ETF,United States,US90214Q7667,batch_a_us_core
local_listing_not_seen_in_twelvedata|batch_a_us_core,P1,AFRU,BATS,,T-REX 2X Long AFRM Daily Target ETF,,,,validate_stale_or_mapping_gap,pending_second_source,BATS::AFRU,ETF,United States,US26923Q5493,batch_a_us_core
local_listing_not_seen_in_twelvedata|batch_a_us_core,P1,AIOO,BATS,,AllianzIM U.S. Equity Buffer100 Protection ETF,,,,validate_stale_or_mapping_gap,pending_second_source,BATS::AIOO,ETF,United States,US00888H4487,batch_a_us_core
local_listing_not_seen_in_twelvedata|batch_a_us_core,P1,AJAN,BATS,,Innovator Equity Defined Protection ETF - 2 Yr to January 2028,,,,validate_stale_or_mapping_gap,pending_second_source,BATS::AJAN,ETF,United States,US45783Y4180,batch_a_us_core
local_listing_not_seen_in_twelvedata|batch_a_us_core,P1,AJUL,BATS,,Innovator Equity Defined Protection ETF - 2 Yr to July 2026,,,,validate_stale_or_mapping_gap,pending_second_source,BATS::AJUL,ETF,United States,US45783Y2366,batch_a_us_core
local_listing_not_seen_in_twelvedata|batch_a_us_core,P1,AMDW,BATS,,Roundhill ETF Trust - Roundhill AMD Weeklypay ETF,,,,validate_stale_or_mapping_gap,pending_second_source,BATS::AMDW,ETF,United States,US77926X7839,batch_a_us_core
local_listing_not_seen_in_twelvedata|batch_a_us_core,P1,AMZO,BATS,,Tradr 2X Short AMZN Daily ETF,,,,validate_stale_or_mapping_gap,pending_second_source,BATS::AMZO,ETF,United States,US46152A3876,batch_a_us_core
local_listing_not_seen_in_twelvedata|batch_a_us_core,P1,AMZP,BATS,,Kurv Yield Premium Strategy Amazon (AMZN) ETF,,,,validate_stale_or_mapping_gap,pending_second_source,BATS::AMZP,ETF,United States,US5009484016,batch_a_us_core
local_listing_not_seen_in_twelvedata|batch_a_us_core,P1,AMZW,BATS,,Roundhill ETF Trust - Roundhill AMZN WeeklyPay ETF,,,,validate_stale_or_mapping_gap,pending_second_source,BATS::AMZW,ETF,United States,US77926X7755,batch_a_us_core
local_listing_not_seen_in_twelvedata|batch_a_us_core,P1,AOCT,BATS,,Innovator Equity Defined Protection ETF - 2 Yr to October 2026,,,,validate_stale_or_mapping_gap,pending_second_source,BATS::AOCT,ETF,United States,US45784N6013,batch_a_us_core
local_listing_not_seen_in_twelvedata|batch_a_us_core,P1,APHU,BATS,,T-Rex 2x Long Aph Daily Target ETF,,,,validate_stale_or_mapping_gap,pending_second_source,BATS::APHU,ETF,United States,US26923W1734,batch_a_us_core
local_listing_not_seen_in_twelvedata|batch_a_us_core,P1,APLX,BATS,,Tradr 2X Long APLD Daily ETF,,,,validate_stale_or_mapping_gap,pending_second_source,BATS::APLX,ETF,United States,US46092D6655,batch_a_us_core
local_listing_not_seen_in_twelvedata|batch_a_us_core,P1,APLZ,BATS,,Investment Managers Series Trust II - Tradr 2X Short APLD Daily ETF,,,,validate_stale_or_mapping_gap,pending_second_source,BATS::APLZ,ETF,United States,US46092D1862,batch_a_us_core
local_listing_not_seen_in_twelvedata|batch_a_us_core,P1,APOC,BATS,,Innovator Equity Defined Protection ETF - 6 Mo Apr/Oct,,,,validate_stale_or_mapping_gap,pending_second_source,BATS::APOC,ETF,United States,US45784N8829,batch_a_us_core
local_listing_not_seen_in_twelvedata|batch_a_us_core,P1,APRB,BATS,,Aptus April Buffer ETF,,,,validate_stale_or_mapping_gap,pending_second_source,BATS::APRB,ETF,United States,US2689618773,batch_a_us_core
local_listing_not_seen_in_twelvedata|batch_a_us_core,P1,APRH,BATS,,Innovator Premium Income 20 Barrier ETF - April,,,,validate_stale_or_mapping_gap,pending_second_source,BATS::APRH,ETF,United States,US45783Y6243,batch_a_us_core
local_listing_not_seen_in_twelvedata|batch_a_us_core,P1,APRJ,BATS,,Innovator Premium Income 30 Barrier ETF - April,,,,validate_stale_or_mapping_gap,pending_second_source,BATS::APRJ,ETF,United States,US45783Y6169,batch_a_us_core
local_listing_not_seen_in_twelvedata|batch_a_us_core,P1,APRP,BATS,,PGIM US Large-Cap Buffer 12 ETF - April,,,,validate_stale_or_mapping_gap,pending_second_source,BATS::APRP,ETF,United States,US69420N7003,batch_a_us_core
local_listing_not_seen_in_twelvedata|batch_a_us_core,P1,APRT,BATS,,AllianzIM U.S. Large Cap Buffer10 Apr ETF,,,,validate_stale_or_mapping_gap,pending_second_source,BATS::APRT,ETF,United States,US00888H1095,batch_a_us_core
local_listing_not_seen_in_twelvedata|batch_a_us_core,P1,APRW,BATS,,AllianzIM U.S. Large Cap Buffer20 Apr ETF,,,,validate_stale_or_mapping_gap,pending_second_source,BATS::APRW,ETF,United States,US00888H2085,batch_a_us_core
local_listing_not_seen_in_twelvedata|batch_a_us_core,P1,APRZ,BATS,,TrueShares Structured Outcome (April) ETF,,,,validate_stale_or_mapping_gap,pending_second_source,BATS::APRZ,ETF,United States,US53656F7309,batch_a_us_core
