listing_key,ticker,exchange,asset_type,name,gap_class,source_of_truth_outcome,core_action,fill_action,review_needed,recommended_next_source,source_gate,official_source_context,official_capability,official_masterfile_match,official_masterfile_sources,official_masterfile_sector_values,official_masterfile_exposes_sector,weak_sector_resolution_queue,residual_decision,review_bucket,review_priority,apply_eligibility,verification_evidence_required,review_strategy,recommended_next_action
NGX::ABCTRANS,ABCTRANS,NGX,Stock,ABC TRANSPORT PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Official sector value from ngx_company_profile_directory|ngx_equities_price_list plus canonical sector mapping.,Apply only after exact listing-key match and canonical sector normalization.,official_masterfile_sources=ngx_company_profile_directory|ngx_equities_price_list;official_sector_values=SERVICES,masterfile_match=true;masterfile_exposes_sector=true,true,ngx_company_profile_directory|ngx_equities_price_list,SERVICES,true,official_sector_candidate_normalization_review,official_sector_available_review_apply,official_sector_candidate_requires_normalization_gate,P1,blocked_until_canonical_sector_normalization_and_listing_key_gate,official_venue_sector_value_with_canonical_mapping_and_exact_listing_key_match,normalize_official_sector_candidate_before_apply,apply_only_after_official_sector_normalization_and_listing_key_gate
NGX::ACADEMY,ACADEMY,NGX,Stock,ACADEMY PRESS PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Official sector value from ngx_company_profile_directory|ngx_equities_price_list plus canonical sector mapping.,Apply only after exact listing-key match and canonical sector normalization.,official_masterfile_sources=ngx_company_profile_directory|ngx_equities_price_list;official_sector_values=SERVICES,masterfile_match=true;masterfile_exposes_sector=true,true,ngx_company_profile_directory|ngx_equities_price_list,SERVICES,true,official_sector_candidate_normalization_review,official_sector_available_review_apply,official_sector_candidate_requires_normalization_gate,P1,blocked_until_canonical_sector_normalization_and_listing_key_gate,official_venue_sector_value_with_canonical_mapping_and_exact_listing_key_match,normalize_official_sector_candidate_before_apply,apply_only_after_official_sector_normalization_and_listing_key_gate
NGX::AFROMEDIA,AFROMEDIA,NGX,Stock,AFROMEDIA PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Official sector value from ngx_company_profile_directory|ngx_equities_price_list plus canonical sector mapping.,Apply only after exact listing-key match and canonical sector normalization.,official_masterfile_sources=ngx_company_profile_directory|ngx_equities_price_list;official_sector_values=SERVICES,masterfile_match=true;masterfile_exposes_sector=true,true,ngx_company_profile_directory|ngx_equities_price_list,SERVICES,true,official_sector_candidate_normalization_review,official_sector_available_review_apply,official_sector_candidate_requires_normalization_gate,P1,blocked_until_canonical_sector_normalization_and_listing_key_gate,official_venue_sector_value_with_canonical_mapping_and_exact_listing_key_match,normalize_official_sector_candidate_before_apply,apply_only_after_official_sector_normalization_and_listing_key_gate
NGX::CAVERTON,CAVERTON,NGX,Stock,CAVERTON OFFSHORE SUPPORT GRP PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Official sector value from ngx_company_profile_directory|ngx_equities_price_list plus canonical sector mapping.,Apply only after exact listing-key match and canonical sector normalization.,official_masterfile_sources=ngx_company_profile_directory|ngx_equities_price_list;official_sector_values=SERVICES,masterfile_match=true;masterfile_exposes_sector=true,true,ngx_company_profile_directory|ngx_equities_price_list,SERVICES,true,official_sector_candidate_normalization_review,official_sector_available_review_apply,official_sector_candidate_requires_normalization_gate,P1,blocked_until_canonical_sector_normalization_and_listing_key_gate,official_venue_sector_value_with_canonical_mapping_and_exact_listing_key_match,normalize_official_sector_candidate_before_apply,apply_only_after_official_sector_normalization_and_listing_key_gate
NGX::CHELLARAM,CHELLARAM,NGX,Stock,CHELLARAMS PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Official sector value from ngx_company_profile_directory|ngx_equities_price_list plus canonical sector mapping.,Apply only after exact listing-key match and canonical sector normalization.,official_masterfile_sources=ngx_company_profile_directory|ngx_equities_price_list;official_sector_values=CONGLOMERATES,masterfile_match=true;masterfile_exposes_sector=true,true,ngx_company_profile_directory|ngx_equities_price_list,CONGLOMERATES,true,official_sector_candidate_normalization_review,official_sector_available_review_apply,official_sector_candidate_requires_normalization_gate,P1,blocked_until_canonical_sector_normalization_and_listing_key_gate,official_venue_sector_value_with_canonical_mapping_and_exact_listing_key_match,normalize_official_sector_candidate_before_apply,apply_only_after_official_sector_normalization_and_listing_key_gate
NGX::CILEASING,CILEASING,NGX,Stock,C & I LEASING PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Official sector value from ngx_company_profile_directory|ngx_equities_price_list plus canonical sector mapping.,Apply only after exact listing-key match and canonical sector normalization.,official_masterfile_sources=ngx_company_profile_directory|ngx_equities_price_list;official_sector_values=SERVICES,masterfile_match=true;masterfile_exposes_sector=true,true,ngx_company_profile_directory|ngx_equities_price_list,SERVICES,true,official_sector_candidate_normalization_review,official_sector_available_review_apply,official_sector_candidate_requires_normalization_gate,P1,blocked_until_canonical_sector_normalization_and_listing_key_gate,official_venue_sector_value_with_canonical_mapping_and_exact_listing_key_match,normalize_official_sector_candidate_before_apply,apply_only_after_official_sector_normalization_and_listing_key_gate
NGX::CUSTODIAN,CUSTODIAN,NGX,Stock,CUSTODIAN INVESTMENT PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Official sector value from ngx_company_profile_directory|ngx_equities_price_list plus canonical sector mapping.,Apply only after exact listing-key match and canonical sector normalization.,official_masterfile_sources=ngx_company_profile_directory|ngx_equities_price_list;official_sector_values=CONGLOMERATES,masterfile_match=true;masterfile_exposes_sector=true,true,ngx_company_profile_directory|ngx_equities_price_list,CONGLOMERATES,true,official_sector_candidate_normalization_review,official_sector_available_review_apply,official_sector_candidate_requires_normalization_gate,P1,blocked_until_canonical_sector_normalization_and_listing_key_gate,official_venue_sector_value_with_canonical_mapping_and_exact_listing_key_match,normalize_official_sector_candidate_before_apply,apply_only_after_official_sector_normalization_and_listing_key_gate
NGX::DAARCOMM,DAARCOMM,NGX,Stock,DAAR COMMUNICATIONS PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Official sector value from ngx_company_profile_directory|ngx_equities_price_list plus canonical sector mapping.,Apply only after exact listing-key match and canonical sector normalization.,official_masterfile_sources=ngx_company_profile_directory|ngx_equities_price_list;official_sector_values=SERVICES,masterfile_match=true;masterfile_exposes_sector=true,true,ngx_company_profile_directory|ngx_equities_price_list,SERVICES,true,official_sector_candidate_normalization_review,official_sector_available_review_apply,official_sector_candidate_requires_normalization_gate,P1,blocked_until_canonical_sector_normalization_and_listing_key_gate,official_venue_sector_value_with_canonical_mapping_and_exact_listing_key_match,normalize_official_sector_candidate_before_apply,apply_only_after_official_sector_normalization_and_listing_key_gate
NGX::EUNISELL,EUNISELL,NGX,Stock,EUNISELL INTERLINKED PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Official sector value from ngx_company_profile_directory|ngx_equities_price_list plus canonical sector mapping.,Apply only after exact listing-key match and canonical sector normalization.,official_masterfile_sources=ngx_company_profile_directory|ngx_equities_price_list;official_sector_values=SERVICES,masterfile_match=true;masterfile_exposes_sector=true,true,ngx_company_profile_directory|ngx_equities_price_list,SERVICES,true,official_sector_candidate_normalization_review,official_sector_available_review_apply,official_sector_candidate_requires_normalization_gate,P1,blocked_until_canonical_sector_normalization_and_listing_key_gate,official_venue_sector_value_with_canonical_mapping_and_exact_listing_key_match,normalize_official_sector_candidate_before_apply,apply_only_after_official_sector_normalization_and_listing_key_gate
NGX::IKEJAHOTEL,IKEJAHOTEL,NGX,Stock,IKEJA HOTELS PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Official sector value from ngx_company_profile_directory|ngx_equities_price_list plus canonical sector mapping.,Apply only after exact listing-key match and canonical sector normalization.,official_masterfile_sources=ngx_company_profile_directory|ngx_equities_price_list;official_sector_values=SERVICES,masterfile_match=true;masterfile_exposes_sector=true,true,ngx_company_profile_directory|ngx_equities_price_list,SERVICES,true,official_sector_candidate_normalization_review,official_sector_available_review_apply,official_sector_candidate_requires_normalization_gate,P1,blocked_until_canonical_sector_normalization_and_listing_key_gate,official_venue_sector_value_with_canonical_mapping_and_exact_listing_key_match,normalize_official_sector_candidate_before_apply,apply_only_after_official_sector_normalization_and_listing_key_gate
