isin,listing_key,reason
FR0000120966,Euronext::BB,"Reviewed Euronext Paris home listing for BIC ordinary shares; prevents LSE OTHERS-market line 0MGP from becoming canonical."
FR001400SUB7,LSE::0I76,"Ticker CBDG is occupied by a distinct OTC security (THC Farmaceuticals, US87243T1007). Keep LSE 0I76 as the global primary for Compagnie du Cambodge after accepting the official Euronext ISIN on Euronext::CBDG."
DE000A1DAHH0,XETRA::BNR,"Reviewed XETRA home listing for Brenntag ordinary shares; prevents LSE OTHERS-market line 0MPT from becoming canonical."
US03524A1088,NYSE::BUD,"Reviewed primary sponsored ADR listing for Anheuser-Busch InBev; LSE 0A22 is a secondary OTHERS-market quote."
US4593481082,OTC::ICAGY,"Reviewed primary OTC ADR listing for International Consolidated Airlines Group; LSE 0A2L is a secondary OTHERS-market quote."
US5004723038,NYSE::PHG,"Reviewed primary NY Registry Shares listing for Philips; LSE 0A2M is a secondary OTHERS-market quote."
US8793822086,OTC::TELFY,"Reviewed primary OTC ADR listing for Telefonica; LSE 0A2Y is a secondary OTHERS-market quote."
US82575P1075,NYSE::SBSW,"Reviewed primary ADS listing for Sibanye Stillwater; LSE 0A56 is a secondary OTHERS-market quote."
US0013172053,OTC::AAGIY,"Reviewed primary OTC ADR listing for AIA Group; LSE 0A6Q is a secondary OTHERS-market quote."
US54951L1098,OTC::LKNCY,"Reviewed primary OTC ADR listing for Luckin Coffee; LSE 0A6U is a secondary OTHERS-market quote."
US0003752047,OTC::ABBNY,"Reviewed primary OTC ADR listing for ABB; LSE 0A6W is a secondary OTHERS-market quote."
US29446M1027,NYSE::EQNR,"Reviewed primary ADR listing for Equinor; LSE 0A7F is a secondary OTHERS-market quote."
GB00BTK05J60,LSE::AAL,"Reviewed home listing for Anglo American's post-consolidation ordinary shares; prevents XETRA secondary listing NGL0 from becoming canonical."
FR0012333284,Euronext::ABVX,"Reviewed Euronext Paris home listing for Abivax ordinary shares; distinct from NASDAQ ABVX ADS and LSE/XETRA secondary listings."
CH0210483332,SIX::CFR,"Reviewed SIX Swiss home listing for Richemont ordinary shares; prevents LSE international line 0QMU from becoming canonical."
BE0003755692,Euronext::AGFB,"Reviewed Euronext Brussels home listing for Agfa-Gevaert ordinary shares; prevents LSE European Quoting Service line 0MFU from becoming canonical."
CA0977516065,TSX::BBD.PR.D,"Reviewed TSX home listing for Bombardier Series 3 preferred shares; prevents OTC BOMBF from becoming canonical."
