ticker,exchange,field,proposed_value,decision,source_name,source_url,evidence
BFRE,OTC,etf_category,Equity,accept,SEC,https://www.sec.gov/Archives/edgar/data/1545440/000158064225001682/umt-westwood_485b.htm,Prospectus identifies Westwood LBRTY Global Equity ETF as tracking the TOBAM LBRTY All World Equity Index.
BNOBF,OTC,etf_category,Equity,accept,OBAM Investment Management,https://obam.nl/uploads/files/reports/OBAM-N.V.-Share-Class-Classic-NL0006294035_EN_20240101.pdf,Issuer key information document states OBAM N.V. Classic is an equity fund.
BREJY,OTC,stock_sector,Financials,accept,mBank,https://www.mbank.pl/en/about-us/about-mbank/,"OTC Markets active screener maps BREJY to MBANK SA UNSP/ADR; issuer about page identifies mBank's banking services for individual, private-banking, SME, corporate, and business clients."
CRTHF,OTC,stock_sector,Health Care,accept,CARsgen Therapeutics,https://www.carsgen.com/en/about-us/company-overview/,OTC Markets active security profile maps CRTHF to CARsgen Therapeutics Holdings Limited; issuer company overview describes a biopharmaceutical company developing CAR T-cell therapies.
NPPSF,OTC,stock_sector,Industrials,accept,Nippon Sharyo,https://www.n-sharyo.co.jp/business/tetsudo_e/,"OTC Markets active security profile maps NPPSF to Nippon Sharyo Ltd.; issuer rolling-stock page describes railway rolling stock manufacturing including trains, metro, AGT, LRV, and monorail products."
XNJJY,OTC,stock_sector,Industrials,accept,Goldwind,https://www.goldwind.com/en/about/,OTC Markets active screener maps XNJJY to GOLDWIND SCI&TECH CO ADR; issuer about page describes Goldwind as specializing in wind power solutions and clean-energy infrastructure.
OPMNF,OTC,stock_sector,Energy,accept,Oriental Petroleum and Minerals,https://opmc.com.ph/,OTC Markets active security profile maps OPMNF to Oriental Petroleum & Mineral; issuer site identifies Oriental Petroleum and Minerals Corporation as an upstream petroleum exploration and production company.
FOACW,OTC,stock_sector,Financials,accept,Finance of America,https://www.financeofamerica.com/,OTC Markets active security profile maps FOACW to Finance of America Companies Inc.; issuer site identifies Finance of America as a reverse-mortgage and home-equity lending business.
RPTCV,OTC,stock_sector,Real Estate,accept,Rithm Property Trust,https://www.rithmpropertytrust.com/,OTC Markets news/security context maps RPTCV to Rithm Property Trust Series C preferred stock; issuer investor site identifies Rithm Property Trust as a real-estate investment platform.
SPMCP,OTC,stock_sector,Financials,accept,Sound Point Meridian Capital,https://www.soundpointmeridiancap.com/,OTC Markets security context maps SPMCP to Sound Point Meridian Capital preferred shares; issuer investor site identifies Sound Point Meridian Capital as a closed-end investment company.
SHCC,OTC,stock_sector,Industrials,accept,MarketScreener,https://www.marketscreener.com/quote/stock/SHI-CORPORATION-120787252/,"Exact OTC SHCC profile identifies Shi Corporation with ISIN US78423F1012 and classifies the company under Business Support Services, mapped conservatively to Industrials."
SDPMP,OTC,name,Sound Point Meridian Capital 8.5% Preferred Shares,missing_target_row,FINRA,https://www.finra.org/sites/default/files/2025-07/UPC-67-2025%20SDPMP.pdf,FINRA UPC advisory identifies SDPMP as Sound Point Meridian Cap with class of security 8.5% Preferred Shares.
SDPMV,OTC,name,Sound Point Meridian Capital Inc Preferred Shares 8.5%,missing_target_row,FINRA,https://www.finra.org/sites/default/files/2025-07/UPC-66-2025%20SDPMV.pdf,FINRA UPC advisory states symbol SDPMV was issued for Sound Point Meridian Cap Inc Preferred Shares 8.5% (When Issued).
MCSAV,OTC,name,MicroStrategy Inc 10% Perpetual Strife Preferred Series A,missing_target_row,FINRA,https://www.finra.org/sites/default/files/2025-03/UPC-31-2025-MCSAV%281%29.pdf,FINRA UPC advisory states symbol MCSAV was issued for MicroStrategy Inc 10% Perpetual Strife Preferred Series A (When Issued).
