ticker,exchange,field,proposed_value,decision,source_name,source_url,evidence
786,PSX,isin,PK0061101017,accept,TradingView / PSX,https://www.tradingview.com/symbols/PSX-786/,"TradingView PSX:786 profile identifies 786 Investments Limited with ISIN PK0061101017; official PSX page confirms the same 786 issuer/listing, explaining the local singular-name abbreviation."
ACIETF,PSX,isin,PK0088806069,accept,TradingView / PSX,https://www.tradingview.com/symbols/PSX-ACIETF/,TradingView PSX:ACIETF ETF profile identifies Alfalah Consumer Index ETF units with ISIN PK0088806069; official PSX ETF page confirms the same ACIETF product/listing.
FCEPL,PSX,isin,PK0096501017,accept,TradingView / PSX,https://www.tradingview.com/symbols/PSX-FCEPL/,Exact TradingView PSX:FCEPL profile identifies Frieslandcampina Engro Pakistan Limited with ISIN PK0096501017; official PSX page confirms the same FCEPL issuer/listing.
FDPL,PSX,isin,PK0063401019,accept,TradingView / PSX,https://www.tradingview.com/symbols/PSX-FDPL/,TradingView PSX:FDPL profile identifies First Dawood Properties Limited with ISIN PK0063401019; official PSX page confirms the same FDPL issuer/listing behind the local shortened name.
HRPL,PSX,isin,PK0026401015,accept,TradingView / PSX,https://www.tradingview.com/symbols/PSX-HRPL/,TradingView PSX:HRPL profile identifies Habib Rice Products Ltd. with ISIN PK0026401015; official PSX page confirms the same HRPL issuer/listing behind the local shortened name.
HBLTETF,PSX,isin,PK0086206072,accept,TradingView / PSX,https://www.tradingview.com/symbols/PSX-HBLTETF/,TradingView PSX:HBLTETF ETF profile identifies HBL Total Treasury ETF units with ISIN PK0086206072; official PSX ETF page confirms the same HBLTETF product/listing.
IGIHL,PSX,isin,PK0032601012,accept,TradingView / PSX,https://www.tradingview.com/symbols/PSX-IGIHL/,TradingView PSX:IGIHL profile identifies IGI Holdings Limited with ISIN PK0032601012; official PSX page confirms the same IGIHL issuer/listing.
IML,PSX,isin,PK0093001011,accept,TradingView / PSX,https://www.tradingview.com/symbols/PSX-IML/,TradingView PSX:IML profile identifies Imperial Limited with ISIN PK0093001011; official PSX page confirms the same IML issuer/listing behind the truncated local name.
IPAK,PSX,isin,PK0111801012,accept,TradingView / PSX,https://www.tradingview.com/symbols/PSX-IPAK/,TradingView PSX:IPAK profile identifies International Packaging Films Ltd. with ISIN PK0111801012; official PSX page confirms the same IPAK issuer/listing behind the local abbreviation.
JSGBETF,PSX,isin,PK0082806016,accept,TradingView / PSX,https://www.tradingview.com/symbols/PSX-JSGBETF/,TradingView PSX:JSGBETF ETF profile identifies JS Global Banking Sector ETF units with ISIN PK0082806016; official PSX ETF page confirms the same JSGBETF product/listing.
JSMFETF,PSX,isin,PK0086006035,accept,TradingView / PSX,https://www.tradingview.com/symbols/PSX-JSMFETF/,TradingView PSX:JSMFETF ETF profile identifies JS Momentum Factor ETF units with ISIN PK0086006035; official PSX ETF page confirms the same JSMFETF product/listing.
LCI,PSX,isin,PK0003101018,accept,TradingView / PSX,https://www.tradingview.com/symbols/PSX-LCI/,TradingView PSX:LCI profile identifies Lucky Core Industries Limited with ISIN PK0003101018; official PSX page confirms the same LCI issuer/listing behind the local abbreviation.
LSEFSL,PSX,isin,PK0104901019,accept,TradingView / PSX,https://www.tradingview.com/symbols/PSX-LSEFSL/,TradingView PSX:LSEFSL profile identifies LSE Financial Services Limited with ISIN PK0104901019; official PSX page confirms the same LSEFSL issuer/listing behind the local shortened name.
MCBIM,PSX,isin,PK0082101012,accept,TradingView / PSX,https://www.tradingview.com/symbols/PSX-MCBIM/,TradingView PSX:MCBIM profile identifies MCB Investment Management Limited with ISIN PK0082101012; official PSX page confirms the same MCBIM issuer/listing behind the local shortened name.
MIIETF,PSX,isin,PK0133706017,accept,TradingView / PSX,https://www.tradingview.com/symbols/PSX-MIIETF/,TradingView PSX:MIIETF ETF profile identifies Mahaana Islamic Index ETF units with ISIN PK0133706017; official PSX ETF page confirms the same MIIETF product/listing.
MZNPETF,PSX,isin,PK0087306053,accept,TradingView / PSX,https://www.tradingview.com/symbols/PSX-MZNPETF/,TradingView PSX:MZNPETF ETF profile identifies Meezan Pakistan ETF units with ISIN PK0087306053; official PSX ETF page confirms the same MZNPETF product/listing.
NBPGETF,PSX,isin,PK0089106048,accept,TradingView / PSX,https://www.tradingview.com/symbols/PSX-NBPGETF/,TradingView PSX:NBPGETF ETF profile identifies NBP Pakistan Growth ETF units with ISIN PK0089106048; official PSX ETF page confirms the same NBPGETF product/listing.
NITGETF,PSX,isin,PK0096106015,accept,TradingView / PSX,https://www.tradingview.com/symbols/PSX-NITGETF/,TradingView PSX:NITGETF ETF profile identifies NIT Pakistan Gateway ETF units with ISIN PK0096106015; official PSX ETF page confirms the same NITGETF product/listing.
PIAHCLA,PSX,isin,PK0146501017,accept,TradingView / PSX,https://www.tradingview.com/symbols/PSX-PIAHCLA/,Exact TradingView PSX:PIAHCLA profile identifies PIA Holding Company Limited Class A with ISIN PK0146501017; official PSX page confirms the same PIAHCLA issuer/listing.
PIAHCLB,PSX,isin,PK0146501025,accept,CDC Pakistan / PSX,https://www.cdcpakistan.com/assets/uploads/2025/12/ISIN-with-CFI-Code-as-of-December-23-2025.pdf,Official CDC Pakistan ISIN/CFI list identifies PIA Holding Company Limited - Class B / PIAHCLB with ISIN PK0146501025; official PSX page confirms the same PIAHCLB issuer/listing.
STYLERS,PSX,isin,PK0143701016,accept,TradingView / PSX,https://www.tradingview.com/symbols/PSX-STYLERS/,TradingView PSX:STYLERS profile identifies Stylers International Limited with ISIN PK0143701016; official PSX page confirms the same STYLERS issuer/listing behind the local abbreviated name.
UBLPETF,PSX,name,UBL Pakistan Enterprise ETF,accept,PSX / TradingView,https://dps.psx.com.pk/etf/UBLPETF,"Official PSX ETF page identifies UBLPETF as UBL Pakistan Enterprise Exchange Traded Fund; TradingView/OpenFIGI use the same UBL Pakistan Enterprise ETF identity, replacing the compressed local name."
UBLPETF,PSX,isin,PK0087206139,accept,TradingView / PSX,https://www.tradingview.com/symbols/PSX-UBLPETF/,TradingView PSX:UBLPETF ETF profile identifies UBL Pakistan Enterprise ETF units with ISIN PK0087206139; official PSX ETF page confirms the same UBLPETF product/listing.
WAFI,PSX,isin,PK0016701010,accept,TradingView / PSX,https://www.tradingview.com/symbols/PSX-WAFI/,TradingView PSX:WAFI profile identifies Wafi Energy Pakistan Limited with ISIN PK0016701010; official PSX page confirms the same WAFI issuer/listing behind the local abbreviated name.
WASL,PSX,isin,PK0042801016,accept,TradingView / PSX,https://www.tradingview.com/symbols/PSX-WASL/,TradingView PSX:WASL profile identifies Wasl Mobility Modaraba with ISIN PK0042801016; official PSX page confirms the same WASL issuer/listing behind the local shortened name.
WAVESAPP,PSX,isin,PK0068401014,accept,TradingView / PSX,https://www.tradingview.com/symbols/PSX-WAVESAPP/,TradingView PSX:WAVESAPP profile identifies Waves Home Appliances Ltd with ISIN PK0068401014; official PSX page confirms the same WAVESAPP issuer/listing behind the local shortened name.
