ticker,exchange,asset_type,name,sec_security_type,sec_name,sec_symbol,sec_isin_local,decision
A,SET,Stock,AREEYA PROPERTY PUBLIC COMPANY LIMITED,,,,,no_sec_isin_match
ACE,SET,Stock,ABSOLUTE CLEAN ENERGY PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท แอ๊บโซลูท คลีน เอ็นเนอร์จี้ จำกัด (มหาชน),ACE,TH8906010005,accept
ADB,SET,Stock,APPLIED DB PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท แอ็พพลาย ดีบี จำกัด (มหาชน),ADB,TH8295010004,accept
AF,SET,Stock,AIRA FACTORING PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท ไอร่า แฟคตอริ่ง จำกัด (มหาชน),AF,TH0787010Z02,accept
AHC,SET,Stock,AIKCHOL HOSPITAL PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท โรงพยาบาลเอกชล จำกัด (มหาชน),AHC,TH0281010Z06,accept
AI,SET,Stock,ASIAN INSULATORS PUBLIC COMPANY LIMITED,,,,,no_sec_isin_match
AIE,SET,Stock,AI ENERGY PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท เอไอ เอนเนอร์จี จำกัด (มหาชน),AIE,TH5085A10Z00,accept
AIT,SET,Stock,"ADVANCED INFORMATION TECHNOLOGY PUBLIC CO.,LTD.",หุ้นสามัญ,บริษัท แอ็ดวานซ์อินฟอร์เมชั่นเทคโนโลยี จำกัด (มหาชน),AIT,TH0712010Z00,accept
AJA,SET,Stock,AJ ADVANCE TECHNOLOGY PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท เอเจ แอดวานซ์ เทคโนโลยี จำกัด (มหาชน),AJA,TH5178010Y00,accept
AKP,SET,Stock,AKKHIE PRAKARN PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท อัคคีปราการ จำกัด (มหาชน),AKP,TH4109010009,accept
AKR,SET,Stock,EKARAT ENGINEERING PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท เอกรัฐวิศวกรรม จำกัด (มหาชน),AKR,TH0914010Z02,accept
ALT,SET,Stock,ALT TELECOM PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท เอแอลที เทเลคอม จำกัด (มหาชน),ALT,TH7312010005,accept
AMA,SET,Stock,AMA MARINE PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท อาม่า มารีน จำกัด (มหาชน),AMA,TH7631010009,accept
AP,SET,Stock,AP (THAILAND) PUBLIC COMPANY LIMITED,,,,,no_sec_isin_match
APP,SET,Stock,APPLICAD PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท แอพพลิแคด จำกัด (มหาชน),APP,TH9527010002,accept
ASN,SET,Stock,ASN BROKER PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท เอเอสเอ็น โบรกเกอร์ จำกัด (มหาชน),ASN,TH7188010006,accept
