listing_key,ticker,exchange,asset_type,name,country,country_code,isin,sector,status,reason,official_reference_name,official_reference_source,covered_by_official_directory,cik,figi,lei
ADX::ADNIC,ADNIC,ADX,Stock,Abu Dhabi National Insurance Company,United Arab Emirates,AE,AEA001101012,Financials,verified,Matched active official exchange directory listing.,Abu Dhabi National Insurance Company,adx_market_watch,True,,BBG000FTS9F3,
ADX::AGILITY,AGILITY,ADX,Stock,Agility Global PLC,United Arab Emirates,AE,AEE01376A248,Industrials,verified,Matched active official exchange directory listing.,Agility Global PLC,adx_market_watch,True,,BBG01MFJQ156,
ADX::AWNIC,AWNIC,ADX,Stock,Al Wathba National Insurance Co,United Arab Emirates,AE,AEA001601011,Financials,verified,Matched active official exchange directory listing.,Al Wathba National Insurance Co,adx_market_watch,True,,BBG000H2PPT2,
ADX::EASYLEASE,EASYLEASE,ADX,Stock,Easy Lease Motorcycle Rental PJSC,United Arab Emirates,AE,AEE002801018,Industrials,verified,Matched active official exchange directory listing.,Easy Lease Motorcycle Rental PJSC,adx_market_watch,True,,BBG00YNM0BW1,
ADX::GHITHA,GHITHA,ADX,Stock,GHITHA HOLDING P.J.S.C,United Arab Emirates,AE,AEZ000101010,Consumer Staples,verified,Matched active official exchange directory listing.,GHITHA HOLDING P.J.S.C,adx_market_watch,True,,BBG00YJLTVG1,
ADX::MBME,MBME,ADX,Stock,MBME GROUP Private Joint Stock Company,United Arab Emirates,AE,AEE01201M235,Information Technology,verified,Matched active official exchange directory listing.,MBME GROUP Private Joint Stock Company,adx_market_watch,True,,BBG01G6J9TR3,
ADX::PRESIGHT,PRESIGHT,ADX,Stock,PRESIGHT AI HOLDING PLC,United Arab Emirates,AE,AEE01200P230,Information Technology,verified,Matched active official exchange directory listing.,PRESIGHT AI HOLDING PLC,adx_market_watch,True,,BBG01FS27J92,
ADX::SAWAEED,SAWAEED,ADX,Stock,Sawaeed Holding P.J.S.C,United Arab Emirates,AE,AES001101014,Financials,verified,Matched active official exchange directory listing.,Sawaeed Holding P.J.S.C,adx_market_watch,True,,BBG00XYFF8G5,
AMS::AALB,AALB,AMS,Stock,AALBERTS NV,Netherlands,NL,NL0000852564,Industrials,verified,Matched active official exchange directory listing.,AALBERTS NV,euronext_equities,True,,BBG000BB3HV7,
AMS::ALLFG,ALLFG,AMS,Stock,ALLFUNDS GROUP,United Kingdom,GB,GB00BNTJ3546,Financials,verified,Matched active official exchange directory listing.,ALLFUNDS GROUP,euronext_equities,True,,BBG00ZXRMB70,
AMS::BESI,BESI,AMS,Stock,BE SEMICONDUCTOR,Netherlands,NL,NL0012866412,Information Technology,verified,Matched active official exchange directory listing.,BE SEMICONDUCTOR,euronext_equities,True,,BBG000FT9SV4,
AMS::CTPNV,CTPNV,AMS,Stock,CTP,Netherlands,NL,NL00150006R6,Real Estate,verified,Matched active official exchange directory listing.,CTP,euronext_equities,True,,BBG00ZJRH897,
AMS::EBUS,EBUS,AMS,Stock,EBUSCO HOLDING,Netherlands,NL,NL0015002AG2,,verified,Matched active official exchange directory listing.,EBUSCO HOLDING,euronext_equities,True,,BBG0132LZR87,
AMS::HAVAS,HAVAS,AMS,Stock,HAVAS,Netherlands,NL,NL0015002K83,,verified,Matched active official exchange directory listing.,HAVAS,euronext_equities,True,,BBG01R6YFT26,
AMS::INGA,INGA,AMS,Stock,ING Groep NV,Netherlands,NL,NL0011821202,Financials,verified,Matched active official exchange reference via same-exchange ISIN.,ING GROEP N.V.,euronext_equities,True,,BBG000BFKWP3,
AMS::MORE,MORE,AMS,Stock,MOREFIELD GROUP,Netherlands,NL,CWN814651014,Industrials,verified,Matched active official exchange directory listing.,MOREFIELD GROUP,euronext_equities,True,,BBG000BC1BH6,
AMS::PORF,PORF,AMS,Stock,PORCELEYNE FLES,Netherlands,NL,NL0000378669,Consumer Staples,verified,Matched active official exchange directory listing.,PORCELEYNE FLES,euronext_equities,True,,BBG000BC9VT1,
AMS::SBMO,SBMO,AMS,Stock,SBM OFFSHORE,Netherlands,NL,NL0000360618,Energy,verified,Matched active official exchange directory listing.,SBM OFFSHORE,euronext_equities,True,,BBG000BC4NF9,
AMS::UMG,UMG,AMS,Stock,UMG,Netherlands,NL,NL0015000IY2,Consumer Staples,verified,Matched active official exchange directory listing.,UMG,euronext_equities,True,,BBG012J967J2,
ASX::10X,10X,ASX,Stock,EXULTANT MINING LIMITED,Australia,AU,AU0000430449,Materials,verified,Matched active official exchange directory listing.,EXULTANT MINING LIMITED,asx_listed_companies,False,,BBG01Y9ML2T7,
ASX::360,360,ASX,Stock,LIFE360 INC.,Australia,AU,AU0000045098,Information Technology,verified,Matched active official exchange directory listing.,LIFE360 INC.,asx_listed_companies,False,,BBG00NV88703,
ASX::5GN,5GN,ASX,Stock,5G NETWORKS LIMITED.,Australia,AU,AU0000005GN9,Information Technology,verified,Matched active official exchange directory listing.,5G NETWORKS LIMITED.,asx_listed_companies,False,,BBG00P46TD79,
ASX::A2M,A2M,ASX,Stock,THE A2 MILK COMPANY LIMITED,New Zealand,NZ,NZATME0002S8,Consumer Staples,verified,Matched active official exchange directory listing.,THE A2 MILK COMPANY LIMITED,asx_listed_companies,False,,BBG0089XM0W0,
ASX::ABV,ABV,ASX,Stock,ADVANCED BRAKING TECHNOLOGY LTD,Australia,AU,AU000000ABV7,Consumer Discretionary,verified,Matched active official exchange directory listing.,ADVANCED BRAKING TECHNOLOGY LTD,asx_listed_companies,False,,BBG000BKCB68,
ASX::ADO,ADO,ASX,Stock,ANTEOTECH LTD,Australia,AU,AU000000ADO8,Health Care,verified,Matched active official exchange directory listing.,ANTEOTECH LTD,asx_listed_companies,False,,BBG000CGT4P3,
ASX::AGC,AGC,ASX,Stock,AUSTRALIAN GOLD AND COPPER LTD,Australia,AU,AU0000122194,Financials,verified,Matched active official exchange directory listing.,AUSTRALIAN GOLD AND COPPER LTD,asx_listed_companies,False,,BBG00Y2K6GG9,
ASX::AHX,AHX,ASX,Stock,Apiam Animal Health Ltd,Australia,AU,AU000000AHX0,Consumer Discretionary,reference_gap,This exchange is only partially covered by the current official reference layer.,,,False,,BBG00BGQN638,
ASX::AKO,AKO,ASX,Stock,AKORA RESOURCES LIMITED,Australia,AU,AU0000113698,Materials,verified,Matched active official exchange directory listing.,AKORA RESOURCES LIMITED,asx_listed_companies,False,,BBG00Y26L2W6,
ASX::AMX,AMX,ASX,Stock,AEROMETREX LIMITED,Australia,AU,AU0000064560,Information Technology,verified,Matched active official exchange directory listing.,AEROMETREX LIMITED,asx_listed_companies,False,,BBG00QTW6KJ9,
ASX::AQI,AQI,ASX,Stock,ALICANTO MINERALS LIMITED,Australia,AU,AU000000AQI2,Materials,verified,Matched active official exchange directory listing.,ALICANTO MINERALS LIMITED,asx_listed_companies,False,,BBG00360TRF9,
ASX::ARN,ARN,ASX,Stock,ALDORO RESOURCES LIMITED,Australia,AU,AU0000017733,Materials,verified,Matched active official exchange directory listing.,ALDORO RESOURCES LIMITED,asx_listed_companies,False,,BBG00L7647L9,
ASX::ASQ,ASQ,ASX,Stock,AUSTRALIAN SILICA QUARTZ GROUP LTD,Australia,AU,AU0000066169,Materials,verified,Matched active official exchange directory listing.,AUSTRALIAN SILICA QUARTZ GROUP LTD,asx_listed_companies,False,,BBG000L0N1T6,
ASX::AUE,AUE,ASX,Stock,AURUM RESOURCES LIMITED,Australia,AU,AU0000173478,Materials,verified,Matched active official exchange directory listing.,AURUM RESOURCES LIMITED,asx_listed_companies,False,,BBG012F48V39,
ASX::AVL,AVL,ASX,Stock,AUSTRALIAN VANADIUM LIMITED,Australia,AU,AU000000AVL6,Materials,verified,Matched active official exchange directory listing.,AUSTRALIAN VANADIUM LIMITED,asx_listed_companies,False,,BBG000DB55Q5,
ASX::AXN,AXN,ASX,Stock,ALLIANCE NICKEL LIMITED,Australia,AU,AU0000265381,Materials,verified,Matched active official exchange directory listing.,ALLIANCE NICKEL LIMITED,asx_listed_companies,False,,BBG000BB4W07,
ASX::B4P,B4P,ASX,Stock,BEFOREPAY GROUP LIMITED,Australia,AU,AU0000190803,Financials,verified,Matched active official exchange directory listing.,BEFOREPAY GROUP LIMITED,asx_listed_companies,False,,BBG00YXL2Y05,
ASX::BEO,BEO,ASX,Stock,BEONIC LTD,Australia,AU,AU0000306292,Information Technology,verified,Matched active official exchange directory listing.,BEONIC LTD,asx_listed_companies,False,,BBG000C462Y9,
ASX::BLG,BLG,ASX,Stock,BLUGLASS LIMITED,Australia,AU,AU000000BLG5,Information Technology,verified,Matched active official exchange directory listing.,BLUGLASS LIMITED,asx_listed_companies,False,,BBG000PHH513,
ASX::BOE,BOE,ASX,Stock,BOSS ENERGY LTD,Australia,AU,AU000000BOE4,Materials,verified,Matched active official exchange directory listing.,BOSS ENERGY LTD,asx_listed_companies,False,0001320375,BBG000RFMW29,9845000ED0A5F908A057
ASX::BSA,BSA,ASX,Stock,BSA LIMITED,Australia,AU,AU000000BSA3,Financials,verified,Matched active official exchange directory listing.,BSA LIMITED,asx_listed_companies,False,,BBG000C3C7M6,
ASX::BWN,BWN,ASX,Stock,BHAGWAN MARINE LIMITED,Australia,AU,AU0000340663,Industrials,verified,Matched active official exchange directory listing.,BHAGWAN MARINE LIMITED,asx_listed_companies,False,,BBG00B2RHMG9,
ASX::CAA,CAA,ASX,Stock,CAPRAL LIMITED,Australia,AU,AU000000CAA9,Materials,verified,Matched active official exchange directory listing.,CAPRAL LIMITED,asx_listed_companies,False,,BBG000DPXP43,
ASX::CCV,CCV,ASX,Stock,CASH CONVERTERS INTERNATIONAL,Australia,AU,AU000000CCV1,Financials,verified,Matched active official exchange directory listing.,CASH CONVERTERS INTERNATIONAL,asx_listed_companies,False,,BBG000HS0W71,
ASX::CHN,CHN,ASX,Stock,CHALICE MINING LIMITED,Australia,AU,AU000000CHN7,Financials,verified,Matched active official exchange directory listing.,CHALICE MINING LIMITED,asx_listed_companies,False,,BBG000MVBFP3,
ASX::CMA,CMA,ASX,Stock,CARMA LIMITED,Australia,AU,AU0000428088,Financials,verified,Matched active official exchange directory listing.,CARMA LIMITED,asx_listed_companies,False,,BBG013XZNWK0,
ASX::COB,COB,ASX,Stock,COBALT BLUE HOLDINGS LIMITED,Australia,AU,AU000000COB8,Materials,verified,Matched active official exchange directory listing.,COBALT BLUE HOLDINGS LIMITED,asx_listed_companies,False,,BBG00F7QTMG4,
ASX::CR3,CR3,ASX,Stock,CORE ENERGY MINERALS LTD,Australia,AU,AU0000373722,Materials,verified,Matched active official exchange directory listing.,CORE ENERGY MINERALS LTD,asx_listed_companies,False,,BBG000CCK6L0,
ASX::CTQ,CTQ,ASX,Stock,CARETEQ LIMITED,Australia,AU,AU0000195240,Health Care,verified,Matched active official exchange directory listing.,CARETEQ LIMITED,asx_listed_companies,False,,BBG013ZKBY57,
ASX::CWP,CWP,ASX,Stock,CEDAR WOODS PROPERTIES LIMITED,Australia,AU,AU000000CWP1,Real Estate,verified,Matched active official exchange directory listing.,CEDAR WOODS PROPERTIES LIMITED,asx_listed_companies,False,,BBG000DDCL79,
ASX::CYP,CYP,ASX,Stock,CYNATA THERAPEUTICS LIMITED,Australia,AU,AU000000CYP7,Health Care,verified,Matched active official exchange directory listing.,CYNATA THERAPEUTICS LIMITED,asx_listed_companies,False,,BBG000TKBT89,
ASX::DDT,DDT,ASX,Stock,DATADOT TECHNOLOGY LIMITED,Australia,AU,AU000000DDT1,Financials,verified,Matched active official exchange directory listing.,DATADOT TECHNOLOGY LIMITED,asx_listed_companies,False,0000028917,BBG000QP09J5,
ASX::DMG,DMG,ASX,Stock,DRAGON MOUNTAIN GOLD LIMITED,Australia,AU,AU000000DMG9,Materials,verified,Matched active official exchange directory listing.,DRAGON MOUNTAIN GOLD LIMITED,asx_listed_companies,False,,BBG000RGT1Y3,
ASX::DTZ,DTZ,ASX,Stock,DOTZ NANO LIMITED,Australia,AU,AU000000DTZ4,Materials,verified,Matched active official exchange directory listing.,DOTZ NANO LIMITED,asx_listed_companies,False,,BBG000TX8NR7,
ASX::DXI,DXI,ASX,Stock,DEXUS INDUSTRIA REIT.,Australia,AU,AU0000192833,Real Estate,verified,Matched active official exchange directory listing.,DEXUS INDUSTRIA REIT.,asx_listed_companies,False,,BBG005KPLPB9,
ASX::ECP,ECP,ASX,Stock,ECP EMERGING GROWTH LIMITED,Australia,AU,AU0000067514,Financials,verified,Matched active official exchange directory listing.,ECP EMERGING GROWTH LIMITED,asx_listed_companies,False,,BBG006S5M535,
ASX::EHL,EHL,ASX,Stock,EMECO HOLDINGS LIMITED,Australia,AU,AU000000EHL7,Industrials,verified,Matched active official exchange directory listing.,EMECO HOLDINGS LIMITED,asx_listed_companies,False,,BBG000BVHXT6,
ASX::EMU,EMU,ASX,Stock,EMU NL,Australia,AU,AU000000EMU8,Materials,verified,Matched active official exchange directory listing.,EMU NL,asx_listed_companies,False,,BBG000TD8R38,
