listing_key,ticker,exchange,asset_type,name,country,country_code,isin,sector,status,reason,official_reference_name,official_reference_source,covered_by_official_directory,cik,figi,lei
ADX::ADNOCDRILL,ADNOCDRILL,ADX,Stock,ADNOC Drilling Company PJSC,United Arab Emirates,AE,AEA007301012,Energy,verified,Matched active official exchange directory listing.,ADNOC Drilling Company PJSC,adx_market_watch,True,,BBG00M6JJSK9,
ADX::AKIC,AKIC,ADX,Stock,Al Khazna Insurance Co,United Arab Emirates,AE,AEA000401017,Financials,verified,Matched active official exchange directory listing.,Al Khazna Insurance Co,adx_market_watch,True,,BBG000HKZXP8,
ADX::BOROUGE,BOROUGE,ADX,Stock,Borouge PLC,United Arab Emirates,AE,AEE01072B225,Materials,verified,Matched active official exchange directory listing.,Borouge PLC,adx_market_watch,True,,BBG001KJ0HN0,
ADX::ESHRAQ,ESHRAQ,ADX,Stock,ESHRAQ INVESTMENTS P.J.S.C,United Arab Emirates,AE,AEE000901018,Real Estate,verified,Matched active official exchange directory listing.,ESHRAQ INVESTMENTS P.J.S.C,adx_market_watch,True,,BBG001CXKD28,
ADX::HAYAH,HAYAH,ADX,Stock,Hayah Insurance Company P.J.S.C,United Arab Emirates,AE,AEG000801015,Financials,verified,Matched active official exchange directory listing.,Hayah Insurance Company P.J.S.C,adx_market_watch,True,,BBG000C2PVT4,
ADX::MODON,MODON,ADX,Stock,Modon Holding PSC,United Arab Emirates,AE,AEA006501018,Real Estate,verified,Matched active official exchange directory listing.,Modon Holding PSC,adx_market_watch,True,,BBG000Q6QNJ8,
ADX::RAKBANK,RAKBANK,ADX,Stock,The National Bank of Ras Al Khaimah,United Arab Emirates,AE,AEN000601015,Financials,verified,Matched active official exchange directory listing.,The National Bank of Ras Al Khaimah,adx_market_watch,True,,BBG000DKT0R9,
ADX::SIB,SIB,ADX,Stock,Sharjah Islamic Bank,United Arab Emirates,AE,AES000201013,Financials,verified,Matched active official exchange directory listing.,Sharjah Islamic Bank,adx_market_watch,True,,BBG000HL4ML8,
AMS::ACOMO,ACOMO,AMS,Stock,ACOMO,Netherlands,NL,NL0000313286,Consumer Staples,verified,Matched active official exchange directory listing.,ACOMO,euronext_equities,True,,BBG000BBKW63,
AMS::ARCAD,ARCAD,AMS,Stock,ARCADIS,Netherlands,NL,NL0006237562,Industrials,verified,Matched active official exchange directory listing.,ARCADIS,euronext_equities,True,,BBG000JKR7Q1,
AMS::BNJW,BNJW,AMS,Stock,BANIJAY GROUP WARR,Netherlands,NL,NL0015000H56,,verified,Matched active official exchange directory listing.,BANIJAY GROUP WARR,euronext_equities,True,,BBG0140CFGR2,
AMS::DSC2S,DSC2S,AMS,Stock,CABKA DSC2 TS,Netherlands,NL,NL00150002R5,,verified,Matched active official exchange directory listing.,CABKA DSC2 TS,euronext_equities,True,,BBG00Y7D0T96,
AMS::ECT,ECT,AMS,Stock,EUROCASTLE INVEST.,United Kingdom,GB,GB00B94QM994,Financials,verified,Matched active official exchange directory listing.,EUROCASTLE INVEST.,euronext_equities,True,,BBG000BDHJQ0,
AMS::HEIJM,HEIJM,AMS,Stock,HEIJMANS KON,Netherlands,NL,NL0009269109,Industrials,verified,Matched active official exchange directory listing.,HEIJMANS KON,euronext_equities,True,,BBG000BKL213,
AMS::INPST,INPST,AMS,Stock,INPOST,Luxembourg,LU,LU2290522684,Industrials,verified,Matched active official exchange directory listing.,INPOST,euronext_equities,True,,BBG00Z0FZ8R3,
AMS::NEDAP,NEDAP,AMS,Stock,NEDAP,Netherlands,NL,NL0000371243,Information Technology,verified,Matched active official exchange directory listing.,NEDAP,euronext_equities,True,,BBG000BC8HN9,
AMS::PPLAB,PPLAB,AMS,Stock,PPLA CLASS B,Bermuda,BM,BMG7209L1182,,verified,Matched active official exchange directory listing.,PPLA CLASS B,euronext_equities,True,,BBG00JMVYCV7,
AMS::SIFG,SIFG,AMS,Stock,SIF HOLDING,Netherlands,NL,NL0011660485,Industrials,verified,Matched active official exchange directory listing.,SIF HOLDING,euronext_equities,True,,BBG00BYKRKD5,
AMS::VALUE,VALUE,AMS,Stock,VALUE8,Netherlands,NL,NL0010661864,Financials,verified,Matched active official exchange directory listing.,VALUE8,euronext_equities,True,,BBG000BWV9Q4,
ASX::1AE,1AE,ASX,Stock,AURORA ENERGY METALS LIMITED,Australia,AU,AU0000216889,Materials,verified,Matched active official exchange directory listing.,AURORA ENERGY METALS LIMITED,asx_listed_companies,False,,BBG016MC7PV7,
ASX::3DP,3DP,ASX,Stock,POINTERRA LIMITED,Australia,AU,AU0000003DP6,Information Technology,verified,Matched active official exchange directory listing.,POINTERRA LIMITED,asx_listed_companies,False,,BBG000R0PFP1,
ASX::8CO,8CO,ASX,Stock,8COMMON LIMITED,Australia,AU,AU0000008CO0,Information Technology,verified,Matched active official exchange directory listing.,8COMMON LIMITED,asx_listed_companies,False,,BBG006XWY4F7,
ASX::A4N,A4N,ASX,Stock,ALPHA HPA LIMITED,Australia,AU,AU0000033060,Materials,verified,Matched active official exchange directory listing.,ALPHA HPA LIMITED,asx_listed_companies,False,,BBG000F2BH17,
ASX::ACF,ACF,ASX,Stock,ACROW LIMITED,Australia,AU,AU0000006124,Industrials,verified,Matched active official exchange directory listing.,ACROW LIMITED,asx_listed_companies,False,,BBG000CNWJ71,
ASX::AEG,AEG,ASX,Stock,ALAND EQUITY GROUP LIMITED,Australia,AU,AU0000449209,Financials,verified,Matched active official exchange directory listing.,ALAND EQUITY GROUP LIMITED,asx_listed_companies,False,,BBG01587FYV8,
ASX::AGE,AGE,ASX,Stock,ALLIGATOR ENERGY LIMITED,Australia,AU,AU000000AGE2,Health Care,verified,Matched active official exchange directory listing.,ALLIGATOR ENERGY LIMITED,asx_listed_companies,False,,BBG0019R3Q43,
ASX::AIH,AIH,ASX,Stock,ADVANCED INNERGY HOLDINGS LIMITED,United States,US,US00809M1045,Health Care,verified,Matched active official exchange directory listing.,ADVANCED INNERGY HOLDINGS LIMITED,asx_listed_companies,False,,BBG00QG40Q17,
ASX::AL3,AL3,ASX,Stock,AML3D LIMITED,Australia,AU,AU0000079212,Industrials,verified,Matched active official exchange directory listing.,AML3D LIMITED,asx_listed_companies,False,,BBG00RYGK656,
ASX::AN3,AN3,ASX,Stock,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED.,Australia,AU,,,verified,Matched active official exchange directory listing.,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED.,asx_listed_companies,False,,,
ASX::AQZ,AQZ,ASX,Stock,ALLIANCE AVIATION SERVICES LIMITED,Australia,AU,AU000000AQZ6,Industrials,verified,Matched active official exchange directory listing.,ALLIANCE AVIATION SERVICES LIMITED,asx_listed_companies,False,,BBG0029TR2P1,
ASX::AS1,AS1,ASX,Stock,ASARA RESOURCES LIMITED,Australia,AU,AU000000AS16,Consumer Staples,verified,Matched active official exchange directory listing.,ASARA RESOURCES LIMITED,asx_listed_companies,False,,,
ASX::ASX,ASX,ASX,Stock,ASX LIMITED,Australia,AU,AU000000ASX7,Financials,verified,Matched active official exchange directory listing.,ASX LIMITED,asx_listed_companies,False,,BBG000BQ3V25,
ASX::AUI,AUI,ASX,Stock,AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED,Australia,AU,AU000000AUI4,Financials,verified,Matched active official exchange directory listing.,AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED,asx_listed_companies,False,,BBG000BM8SH0,
ASX::AVW,AVW,ASX,Stock,AVIRA RESOURCES LTD,Australia,AU,AU000000AVW3,Materials,verified,Matched active official exchange directory listing.,AVIRA RESOURCES LTD,asx_listed_companies,False,,BBG0014K80D5,
ASX::AYU,AYU,ASX,Stock,AUSTRALIAN UNITY LIMITED,Australia,AU,AU0000059933,,verified,Matched active official exchange directory listing.,AUSTRALIAN UNITY LIMITED,asx_listed_companies,False,,BBG00QD4Z466,
ASX::BBL,BBL,ASX,Stock,BRISBANE BRONCOS LIMITED,Australia,AU,AU000000BBL6,Materials,verified,Matched active official exchange directory listing.,BRISBANE BRONCOS LIMITED,asx_listed_companies,False,,BBG000BTL1K5,
ASX::BFG,BFG,ASX,Stock,BELL FINANCIAL GROUP LIMITED,Australia,AU,AU000000BFG7,Financials,verified,Matched active official exchange directory listing.,BELL FINANCIAL GROUP LIMITED,asx_listed_companies,False,,BBG000TW16L9,
ASX::BM1,BM1,ASX,Stock,BALLARD MINING LIMITED,Australia,AU,AU0000400376,Materials,verified,Matched active official exchange directory listing.,BALLARD MINING LIMITED,asx_listed_companies,False,,BBG01TRCDQF1,
ASX::BOT,BOT,ASX,Stock,BOTANIX PHARMACEUTICALS LTD,Australia,AU,AU000000BOT2,Health Care,verified,Matched active official exchange directory listing.,BOTANIX PHARMACEUTICALS LTD,asx_listed_companies,False,,BBG000BB1Y88,
ASX::BTN,BTN,ASX,Stock,BUTN LIMITED,Australia,AU,AU0000156317,Consumer Discretionary,verified,Matched active official exchange directory listing.,BUTN LIMITED,asx_listed_companies,False,,BBG00YRDQSW2,
ASX::BXB,BXB,ASX,Stock,BRAMBLES LIMITED,Australia,AU,AU000000BXB1,Industrials,verified,Matched active official exchange directory listing.,BRAMBLES LIMITED,asx_listed_companies,False,,BBG000Q8XH27,
ASX::CAY,CAY,ASX,Stock,CANYON RESOURCES LIMITED,Australia,AU,AU000000CAY9,Materials,verified,Matched active official exchange directory listing.,CANYON RESOURCES LIMITED,asx_listed_companies,False,,BBG000QVFFL9,
ASX::CDM,CDM,ASX,Stock,CADENCE CAPITAL LIMITED,Australia,AU,AU000000CDM8,Financials,verified,Matched active official exchange directory listing.,CADENCE CAPITAL LIMITED,asx_listed_companies,False,,BBG000HFQNK6,
ASX::CIN,CIN,ASX,Stock,CARLTON INVESTMENTS LIMITED,Australia,AU,AU000000CIN5,Financials,verified,Matched active official exchange directory listing.,CARLTON INVESTMENTS LIMITED,asx_listed_companies,False,,BBG000BMD218,
ASX::CMD,CMD,ASX,Stock,CASSIUS MINING LIMITED,Australia,AU,AU000000CMD8,Health Care,verified,Matched active official exchange directory listing.,CASSIUS MINING LIMITED,asx_listed_companies,False,,BBG000P37LR2,
ASX::COI,COI,ASX,Stock,COMET RIDGE LIMITED,Australia,AU,AU000000COI3,Energy,verified,Matched active official exchange directory listing.,COMET RIDGE LIMITED,asx_listed_companies,False,,BBG000LHFM12,
ASX::CRR,CRR,ASX,Stock,CRITICAL RESOURCES LIMITED,Australia,AU,AU0000155335,Materials,verified,Matched active official exchange directory listing.,CRITICAL RESOURCES LIMITED,asx_listed_companies,False,,BBG0016V3ZB9,
ASX::CUF,CUF,ASX,Stock,CUFE LTD,Australia,AU,AU0000196891,Materials,verified,Matched active official exchange directory listing.,CUFE LTD,asx_listed_companies,False,,BBG000C3FG52,
ASX::CXL,CXL,ASX,Stock,CALIX LIMITED,Australia,AU,AU0000017840,Materials,verified,Matched active official exchange directory listing.,CALIX LIMITED,asx_listed_companies,False,,BBG0032WNXX6,
ASX::CZN,CZN,ASX,Stock,CORAZON MINING LIMITED,Australia,AU,AU000000CZN9,Materials,verified,Matched active official exchange directory listing.,CORAZON MINING LIMITED,asx_listed_companies,False,,BBG000BSVN64,
ASX::DGH,DGH,ASX,Stock,DESANE GROUP HOLDINGS LIMITED,Australia,AU,AU000000DGH9,Real Estate,verified,Matched active official exchange directory listing.,DESANE GROUP HOLDINGS LIMITED,asx_listed_companies,False,,BBG000BM63X9,
ASX::DRE,DRE,ASX,Stock,DREADNOUGHT RESOURCES LTD,Australia,AU,AU0000040297,Real Estate,verified,Matched active official exchange directory listing.,DREADNOUGHT RESOURCES LTD,asx_listed_companies,False,,BBG000BLN2T9,
ASX::DUI,DUI,ASX,Stock,DIVERSIFIED UNITED INVESTMENT LIMITED,Australia,AU,AU000000DUI8,Financials,verified,Matched active official exchange directory listing.,DIVERSIFIED UNITED INVESTMENT LIMITED,asx_listed_companies,False,,BBG000BNXBR6,
ASX::DYL,DYL,ASX,Stock,DEEP YELLOW LIMITED,Australia,AU,AU000000DYL4,Materials,verified,Matched active official exchange directory listing.,DEEP YELLOW LIMITED,asx_listed_companies,False,,BBG000BRP027,
ASX::EDE,EDE,ASX,Stock,EDEN INNOVATIONS LTD,Australia,AU,AU000000EDE1,Industrials,verified,Matched active official exchange directory listing.,EDEN INNOVATIONS LTD,asx_listed_companies,False,,BBG000NH8CY4,
ASX::EL8,EL8,ASX,Stock,ELEVATE URANIUM LTD,Australia,AU,AU0000156416,Financials,verified,Matched active official exchange directory listing.,ELEVATE URANIUM LTD,asx_listed_companies,False,,BBG000BMF886,
ASX::ENN,ENN,ASX,Stock,ELANOR INVESTORS GROUP,Australia,AU,AU000000ENN1,Financials,verified,Matched active official exchange directory listing.,ELANOR INVESTORS GROUP,asx_listed_companies,False,,BBG006NM3YB2,
ASX::ETM,ETM,ASX,Stock,ENERGY TRANSITION MINERALS LTD,Australia,AU,AU0000250250,Materials,verified,Matched active official exchange directory listing.,ENERGY TRANSITION MINERALS LTD,asx_listed_companies,False,,BBG000PGZXN0,
ASX::EZZ,EZZ,ASX,Stock,EZZ LIFE SCIENCE HOLDINGS LIMITED,Australia,AU,AU0000130569,Consumer Staples,verified,Matched active official exchange directory listing.,EZZ LIFE SCIENCE HOLDINGS LIMITED,asx_listed_companies,False,,BBG00YQ2L7D9,
ASX::FFG,FFG,ASX,Stock,FATFISH GROUP LIMITED,Australia,AU,AU000000FFG8,Financials,verified,Matched active official exchange directory listing.,FATFISH GROUP LIMITED,asx_listed_companies,False,,BBG000KC44K5,
ASX::FOS,FOS,ASX,Stock,FOS CAPITAL LTD,Australia,AU,AU0000149312,Industrials,verified,Matched active official exchange directory listing.,FOS CAPITAL LTD,asx_listed_companies,False,,BBG010W1PPR8,
ASX::G6M,G6M,ASX,Stock,GROUP 6 METALS LIMITED,Australia,AU,AU0000188021,Materials,verified,Matched active official exchange directory listing.,GROUP 6 METALS LIMITED,asx_listed_companies,False,,BBG000BLWQZ9,
ASX::GDF,GDF,ASX,Stock,GARDA PROPERTY GROUP,Australia,AU,AU000000GDF3,Real Estate,verified,Matched active official exchange directory listing.,GARDA PROPERTY GROUP,asx_listed_companies,False,,BBG009BRWRV9,
ASX::GHY,GHY,ASX,Stock,GOLD HYDROGEN LIMITED,Australia,AU,AU0000253171,Financials,verified,Matched active official exchange directory listing.,GOLD HYDROGEN LIMITED,asx_listed_companies,False,0001554697,BBG01BVW5QG9,
ASX::GNM,GNM,ASX,Stock,GREAT NORTHERN MINERALS LIMITED,Australia,AU,AU0000067092,Materials,verified,Matched active official exchange directory listing.,GREAT NORTHERN MINERALS LIMITED,asx_listed_companies,False,,BBG000RK8ZV5,
ASX::GSN,GSN,ASX,Stock,GREAT SOUTHERN MINING LIMITED,Australia,AU,AU0000017543,Materials,verified,Matched active official exchange directory listing.,GREAT SOUTHERN MINING LIMITED,asx_listed_companies,False,,BBG001K73684,
ASX::GWR,GWR,ASX,Stock,GWR GROUP LIMITED,Australia,AU,AU000000GWR8,Materials,verified,Matched active official exchange directory listing.,GWR GROUP LIMITED,asx_listed_companies,False,,BBG000QBBBK7,
ASX::HDN,HDN,ASX,Stock,HOMECO DAILY NEEDS REIT,Australia,AU,AU0000113136,Real Estate,verified,Matched active official exchange directory listing.,HOMECO DAILY NEEDS REIT,asx_listed_companies,False,,BBG00XVDH1K1,
ASX::HLO,HLO,ASX,Stock,HELLOWORLD TRAVEL LIMITED,Australia,AU,AU000000HLO6,Consumer Discretionary,verified,Matched active official exchange directory listing.,HELLOWORLD TRAVEL LIMITED,asx_listed_companies,False,,BBG000DZ2V51,
ASX::HRN,HRN,ASX,Stock,HORIZON GOLD LIMITED,Australia,AU,AU000000HRN5,Materials,verified,Matched active official exchange directory listing.,HORIZON GOLD LIMITED,asx_listed_companies,False,,BBG00F32XY07,
ASX::HZN,HZN,ASX,Stock,HORIZON OIL LIMITED,Australia,AU,AU000000HZN8,Consumer Discretionary,verified,Matched active official exchange directory listing.,HORIZON OIL LIMITED,asx_listed_companies,False,,BBG000BKZLV3,
ASX::ID8,ID8,ASX,Stock,IDENTITII LIMITED,Australia,AU,AU0000021800,Information Technology,verified,Matched active official exchange directory listing.,IDENTITII LIMITED,asx_listed_companies,False,,BBG00LTTCF83,
ASX::IG6,IG6,ASX,Stock,INTERNATIONAL GRAPHITE LIMITED,Australia,AU,AU0000210957,Industrials,verified,Matched active official exchange directory listing.,INTERNATIONAL GRAPHITE LIMITED,asx_listed_companies,False,,BBG015N71GL6,
ASX::IMU,IMU,ASX,Stock,IMUGENE LIMITED,Australia,AU,AU000000IMU9,Health Care,verified,Matched active official exchange directory listing.,IMUGENE LIMITED,asx_listed_companies,False,,BBG000BZ3T48,
