listing_key,ticker,exchange,asset_type,name,country,country_code,isin,sector,status,reason,official_reference_name,official_reference_source,covered_by_official_directory,cik,figi,lei
CSE_MA::SOTHEMA,SOTHEMA,CSE_MA,Stock,SOTHEMA,Morocco,MA,MA0000011645,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
LSE::0V90,0V90,LSE,Stock,New Gold Inc.,Canada,CA,CA6445351068,Materials,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,BBG01XXH1CK2,
LSE::ROQ,ROQ,LSE,Stock,Roquefort Investments PLC,United Kingdom,GB,GB00BMDQ2T15,Health Care,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,BBG00ZRWTQ85,
LSE::SHRS,SHRS,LSE,Stock,Shires Income,United Kingdom,GB,GB0008052507,Financials,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,BBG000BFYS40,
LSE::WG,WG,LSE,Stock,John Wood Group PLC,United Kingdom,GB,GB00B5N0P849,Energy,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,BBG000BC7D04,
NASDAQ::AYTU,AYTU,NASDAQ,Stock,Aytu BioScience Inc,United States,US,US0547548745,Health Care,name_mismatch,Dataset name does not match official exchange directory name.,"Aytu BioPharma, Inc.  - Common Stock",nasdaq_listed,True,0001385818,BBG00ZR239W0,549300SMWHEALCU7Q019
NASDAQ::XBPEW,XBPEW,NASDAQ,Stock,XBP Europe Holdings Inc,United States,US,US98400V1199,,name_mismatch,Dataset name does not match official exchange directory name.,"XBP Global Holdings, Inc. - Warrant",nasdaq_listed,True,0001839530,BBG00ZDSGV00,984500BE0P94C4CD8C71
OTC::AACAF,AACAF,OTC,Stock,AAC Technologies Holdings Inc,United States,US,XS2341038656,Information Technology,name_mismatch,Dataset name does not match official exchange directory name.,AAC TECHS HLDGS INC ORD,otc_markets_stock_screener,True,,BBG0116T1XB0,
OTC::AAUKF,AAUKF,OTC,Stock,Anglo American plc,United States,US,USG037641002,Materials,name_mismatch,Dataset name does not match official exchange directory name.,ANGLO AMER PLC,otc_markets_stock_screener,True,,,
OTC::AEPLF,AEPLF,OTC,Stock,Anglo-Eastern Plantations Plc,United States,US,US0255371017,Consumer Staples,name_mismatch,Dataset name does not match official exchange directory name.,ANGLO ESTRN PLNTION ORD,otc_markets_stock_screener,True,,BBG000BB9KF2,
OTC::AFFL,AFFL,OTC,Stock,Affiliated Resources Corp,United States,US,US00827A1088,Consumer Discretionary,name_mismatch,Dataset name does not match official exchange directory name.,AFFILIATED RES CORP,otc_markets_stock_screener,True,,BBG000BKFC27,
OTC::ALVOF,ALVOF,OTC,Stock,Alvopetro Energy Ltd,Canada,CA,CA02255Q2099,Energy,name_mismatch,Dataset name does not match official exchange directory name.,ALVOPETRO ENEGY LTD,otc_markets_stock_screener,True,,BBG005PCMSD4,
OTC::AMOIF,AMOIF,OTC,Stock,Anemoi International Ltd,United States,US,VGG0419A1057,,name_mismatch,Dataset name does not match official exchange directory name.,ANEMOI INTL LTD,otc_markets_stock_screener,True,,BBG01ZZTS972,
OTC::ARRRF,ARRRF,OTC,Stock,Ardea Resources Limited,Australia,AU,AU000000ARL4,Materials,name_mismatch,Dataset name does not match official exchange directory name.,ARDEA RES LTD,otc_markets_stock_screener,True,,BBG00FZBPYZ3,
OTC::AWLRF,AWLRF,OTC,Stock,Awale Resources Limited,Canada,CA,CA05455R2081,,name_mismatch,Dataset name does not match official exchange directory name.,AWALE RES LTD,otc_markets_stock_screener,True,,BBG01M2TV1T6,
OTC::BGOUF,BGOUF,OTC,Stock,Bang & Olufsen a/s,Denmark,DK,DK0010218429,Information Technology,name_mismatch,Dataset name does not match official exchange directory name.,BANG & OULFSEN B ORD,otc_markets_stock_screener,True,,BBG000BVYSC6,
OTC::BKHPF,BKHPF,OTC,Stock,Bank Hapoalim B.M,United States,US,,,name_mismatch,Dataset name does not match official exchange directory name.,BANK HAPOLAM BM ORD,otc_markets_stock_screener,True,,,
OTC::BOVNF,BOVNF,OTC,Stock,BioInvent International AB (publ),Sweden,SE,SE0015244520,Health Care,name_mismatch,Dataset name does not match official exchange directory name.,BIOINVENT INTL NEW,otc_markets_stock_screener,True,,BBG000PQR2X4,
OTC::BYRG,BYRG,OTC,Stock,Buyer Group International Inc,United States,US,US12428A3041,Materials,name_mismatch,Dataset name does not match official exchange directory name.,BUYER GROUP INTL INC,otc_markets_stock_screener,True,,BBG000VDZZ73,
OTC::CABJF,CABJF,OTC,Stock,Carlsberg A/S,Denmark,DK,DK0010181759,Consumer Staples,name_mismatch,Dataset name does not match official exchange directory name.,CARLSBURG AS B ORD,otc_markets_stock_screener,True,,BBG000BWLNF6,
OTC::CAIB,CAIB,OTC,Stock,California International Bank N.A,United States,US,US1303421085,Financials,name_mismatch,Dataset name does not match official exchange directory name.,CALIFORNIA INTL BANK,otc_markets_stock_screener,True,,BBG000LCCBN6,
OTC::CCLLF,CCLLF,OTC,Stock,CCL Industries Inc,Canada,CA,CA1249003098,,name_mismatch,Dataset name does not match official exchange directory name.,CCL INDUS INC CL (A) ORD,otc_markets_stock_screener,True,,BBG000FL7N17,
OTC::CITLF,CITLF,OTC,Stock,Critical Infrastructure Technologies Ltd.,Canada,CA,CA2267401081,,name_mismatch,Dataset name does not match official exchange directory name.,CRITICAL INFRASTUCTRE TCH,otc_markets_stock_screener,True,,BBG01GCX1QV4,
OTC::CLDHF,CLDHF,OTC,Stock,CapitaLand China Trust,United States,US,,Real Estate,name_mismatch,Dataset name does not match official exchange directory name.,Retail China Tr.,otc_markets_security_profile,True,,,
OTC::CNAF,CNAF,OTC,Stock,Commercial National Financial Corp,United States,US,US2022171050,Financials,name_mismatch,Dataset name does not match official exchange directory name.,COMML NATL FINCL CORP PA,otc_markets_stock_screener,True,,BBG000BHV3W3,
OTC::CNVIF,CNVIF,OTC,Stock,Conavi Medical Corp.,Canada,CA,CA2059531020,,name_mismatch,Dataset name does not match official exchange directory name.,CONAVI MED CORP,otc_markets_stock_screener,True,,BBG01QG21ZK8,
OTC::COBJF,COBJF,OTC,Stock,Comba Telecom Systems Holdings Limited,Cayman Islands,KY,KYG229721140,Information Technology,name_mismatch,Dataset name does not match official exchange directory name.,COMBA TLCM SYS HLDGS ORD,otc_markets_stock_screener,True,,BBG000LG34D4,
OTC::CZAVF,CZAVF,OTC,Stock,CEZ a. s,Czech Republic,CZ,CZ0005112300,Utilities,name_mismatch,Dataset name does not match official exchange directory name.,CESKE ENERGTICKE ZA,otc_markets_stock_screener,True,,BBG000BM0HM6,
OTC::DBORF,DBORF,OTC,Stock,Diablo Resources Limited,Australia,AU,AU0000172009,,name_mismatch,Dataset name does not match official exchange directory name.,DIABLO RES LTD,otc_markets_stock_screener,True,,BBG013379HB4,
OTC::DCHRF,DCHRF,OTC,Stock,Discovery Harbour Resources Corp,Canada,CA,CA25470W3057,Materials,name_mismatch,Dataset name does not match official exchange directory name.,DISCOVERY HARBR RES CORP,otc_markets_stock_screener,True,,BBG00R4YDKX6,
OTC::DIIBF,DIIBF,OTC,Stock,Dorel Industries Inc,United States,US,US25822C2052,Consumer Discretionary,name_mismatch,Dataset name does not match official exchange directory name.,DOREL INDUS INC B,otc_markets_stock_screener,True,,,
OTC::DNGFF,DNGFF,OTC,Stock,Dongfang Electric Corporation Limited,China,CN,CNE100000304,Industrials,name_mismatch,Dataset name does not match official exchange directory name.,Dong Fang Electric Mach Co.,otc_markets_security_profile,True,,BBG000PQM2H7,
OTC::DPXCF,DPXCF,OTC,Stock,DelphX Capital Markets Inc,Canada,CA,CA24721L1013,Financials,name_mismatch,Dataset name does not match official exchange directory name.,DELPHX CAP MKTS INC,otc_markets_stock_screener,True,,BBG00KVDY3Y1,
OTC::DTRK,DTRK,OTC,Stock,DATATRAK International Inc,United States,US,US2381342094,Health Care,name_mismatch,Dataset name does not match official exchange directory name.,DATATRAK INTL INC,otc_markets_stock_screener,True,,BBG000BJ9Z35,
OTC::DUNNF,DUNNF,OTC,Stock,Duni AB (publ),Sweden,SE,SE0000616716,Consumer Staples,name_mismatch,Dataset name does not match official exchange directory name.,DUNI AB ORD,otc_markets_stock_screener,True,,BBG01JLHFTN1,
OTC::DVCMY,DVCMY,OTC,Stock,Davide Campari-Milano N.V,United States,US,US23857X1037,,name_mismatch,Dataset name does not match official exchange directory name.,DAVIDE CMPRI MIL UNSP/ADR,otc_markets_stock_screener,True,,BBG00XR2NHT9,
OTC::EGHSF,EGHSF,OTC,Stock,Enghouse Systems Limited,Canada,CA,CA2929491041,Information Technology,name_mismatch,Dataset name does not match official exchange directory name.,ENGHOUSE SYS LTD,otc_markets_stock_screener,True,,BBG000QJ9YK3,
