listing_key,ticker,exchange,asset_type,name,country,country_code,isin,sector,status,reason,official_reference_name,official_reference_source,covered_by_official_directory,cik,figi,lei
ADX::ADNOCDIST,ADNOCDIST,ADX,Stock,Abu Dhabi National Oil Company For Distribution,United Arab Emirates,AE,AEA006101017,Energy,verified,Matched active official exchange directory listing.,Abu Dhabi National Oil Company For Distribution,adx_market_watch,True,,BBG00J771JC9,
ADX::ALAIN,ALAIN,ADX,Stock,Al Ain Alahlia Insurance Co,United Arab Emirates,AE,AEA000101013,Financials,verified,Matched active official exchange directory listing.,Al Ain Alahlia Insurance Co,adx_market_watch,True,,BBG000FTSBX8,
ADX::DRIVE,DRIVE,ADX,Stock,Emirates Driving Company,United Arab Emirates,AE,AEE000601014,Consumer Discretionary,verified,Matched active official exchange reference via same-exchange ISIN.,Emirates Mobility Company,adx_market_watch,True,,BBG000K06L12,
ADX::GCEM,GCEM,ADX,Stock,Gulf Cement Co,United Arab Emirates,AE,AEG000101010,Industrials,verified,Matched active official exchange directory listing.,Gulf Cement Co,adx_market_watch,True,,BBG000JBC910,
ADX::METHAQ,METHAQ,ADX,Stock,Methaq Takaful Insurance Company,United Arab Emirates,AE,AEM000201016,Financials,verified,Matched active official exchange directory listing.,Methaq Takaful Insurance Company,adx_market_watch,True,,BBG000DN3M57,
ADX::RAKCEC,RAKCEC,ADX,Stock,RAK Ceramics PJSC,United Arab Emirates,AE,AER000301013,Industrials,verified,Matched active official exchange directory listing.,RAK Ceramics PJSC,adx_market_watch,True,,BBG000HLTG98,
ADX::UAB,UAB,ADX,Stock,United Arab Bank,United Arab Emirates,AE,AEU000601010,Financials,verified,Matched active official exchange directory listing.,United Arab Bank,adx_market_watch,True,,BBG000HL5S70,
AMS::ALFEN,ALFEN,AMS,Stock,ALFEN,Netherlands,NL,NL0012817175,Industrials,verified,Matched active official exchange directory listing.,ALFEN,euronext_equities,True,,BBG00K6TB4Z6,
AMS::BEVER,BEVER,AMS,Stock,BEVER HOLDING,Netherlands,NL,NL0000285278,Real Estate,verified,Matched active official exchange directory listing.,BEVER HOLDING,euronext_equities,True,,BBG000BBX407,
AMS::DSCW2,DSCW2,AMS,Stock,CABKA EUR 12W,Netherlands,NL,NL00150000U3,,verified,Matched active official exchange directory listing.,CABKA EUR 12W,euronext_equities,True,,BBG00Y912135,
AMS::FERGR,FERGR,AMS,Stock,FERRARI GROUP,United Kingdom,GB,GB00BN0VZ646,,verified,Matched active official exchange directory listing.,FERRARI GROUP,euronext_equities,True,,BBG01S0TXQR0,
AMS::IMCD,IMCD,AMS,Stock,IMCD,Netherlands,NL,NL0010801007,Materials,verified,Matched active official exchange directory listing.,IMCD,euronext_equities,True,,BBG002J9NNP2,
AMS::MTRK,MTRK,AMS,Stock,MOTORK,United Kingdom,GB,GB00BMXH3352,,verified,Matched active official exchange directory listing.,MOTORK,euronext_equities,True,,BBG0133C7DH8,
AMS::PREVA,PREVA,AMS,Stock,Value8 N.V,Netherlands,NL,NL0015118803,Financials,verified,Matched active official exchange directory listing.,VALUE8 CUM PREF,euronext_equities,True,,BBG002D4H174,
AMS::THEON,THEON,AMS,Stock,THEON INTERNAT,Cyprus,CY,CY0200751713,,verified,Matched active official exchange directory listing.,THEON INTERNAT,euronext_equities,True,,BBG01K8KYKP2,
AMS::WKL,WKL,AMS,Stock,WOLTERS KLUWER,Netherlands,NL,NL0000395903,Communication Services,verified,Matched active official exchange directory listing.,WOLTERS KLUWER,euronext_equities,True,,BBG000BCHRW7,
ASX::3DA,3DA,ASX,Stock,AMAERO LTD,Australia,AU,AU0000064578,Industrials,verified,Matched active official exchange directory listing.,AMAERO LTD,asx_listed_companies,False,,BBG00QTW6QR7,
ASX::8IH,8IH,ASX,Stock,8I HOLDINGS LTD,Australia,AU,AU0000008IH1,Financials,verified,Matched active official exchange directory listing.,8I HOLDINGS LTD,asx_listed_companies,False,,BBG007QSTCZ8,
ASX::AAI,AAI,ASX,Stock,ALCOA CORPORATION,United States,US,US0138721065,Materials,verified,Matched active official exchange directory listing.,ALCOA CORPORATION,asx_listed_companies,False,,BBG00B3T3HD3,
ASX::ADH,ADH,ASX,Stock,ADAIRS LIMITED,Australia,AU,AU000000ADH2,Consumer Discretionary,verified,Matched active official exchange directory listing.,ADAIRS LIMITED,asx_listed_companies,False,,BBG009BJSP55,
ASX::AGD,AGD,ASX,Stock,AUSTRAL GOLD LIMITED,Australia,AU,AU000000AGD4,Financials,verified,Matched active official exchange directory listing.,AUSTRAL GOLD LIMITED,asx_listed_companies,False,0001362481,BBG000BR2TQ3,
ASX::AJL,AJL,ASX,Stock,AJ LUCAS GROUP LIMITED,Australia,AU,AU000000AJL1,Materials,verified,Matched active official exchange directory listing.,AJ LUCAS GROUP LIMITED,asx_listed_companies,False,,BBG000BK4S60,
ASX::AMA,AMA,ASX,Stock,AMA GROUP LIMITED,Australia,AU,AU000000AMA8,Consumer Discretionary,verified,Matched active official exchange directory listing.,AMA GROUP LIMITED,asx_listed_companies,False,,BBG000BRYKK3,
ASX::AQD,AQD,ASX,Stock,AUSQUEST LIMITED,Australia,AU,AU000000AQD3,Materials,verified,Matched active official exchange directory listing.,AUSQUEST LIMITED,asx_listed_companies,False,,BBG000C3JCW7,
ASX::ARV,ARV,ASX,Stock,ARTEMIS RESOURCES LIMITED,Australia,AU,AU000000ARV3,Materials,verified,Matched active official exchange directory listing.,ARTEMIS RESOURCES LIMITED,asx_listed_companies,False,,BBG000QX6SW5,
