listing_key,ticker,exchange,asset_type,name,country,country_code,isin,sector,status,reason,official_reference_name,official_reference_source,covered_by_official_directory,cik,figi,lei
BSE_IN::ACEENGITEC,ACEENGITEC,BSE_IN,Stock,Ace Engitech Ltd,India,IN,INE035401020,Information Technology,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,BBG000FDDJB6,
BSE_IN::ASYL,ASYL,BSE_IN,Stock,Advance Syntex Ltd,India,IN,INE184U01012,Consumer Discretionary,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,BBG00D7FG7C4,
BSE_IN::BCLENTERPR,BCLENTERPR,BSE_IN,Stock,BCL Enterprises Ltd,India,IN,INE368E01023,Industrials,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,BBG007W0Y867,
BSE_IN::FILTRON,FILTRON,BSE_IN,Stock,Filtron Engineers Ltd,India,IN,INE589N01017,Industrials,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,BBG000FRFDL5,
BSE_IN::GOLKONDA,GOLKONDA,BSE_IN,Stock,Golkonda Aluminium Extrusions Ltd-$,India,IN,INE327C01031,Industrials,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,BBG000D67GC5,
BSE_IN::INTERDIGI,INTERDIGI,BSE_IN,Stock,Interworld Digital Ltd-$,India,IN,INE177D01020,Information Technology,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,BBG000HMVR80,
BSE_IN::JDL,JDL,BSE_IN,Stock,Jaisukh Dealers Ltd,India,IN,INE190P01019,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,BBG005ZNNSB0,
BSE_IN::LADIAMO,LADIAMO,BSE_IN,Stock,Laser Diamonds Ltd,India,IN,INE995E01015,Consumer Discretionary,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,BBG000BNVLZ7,
BSE_IN::OSWAYRN,OSWAYRN,BSE_IN,Stock,Oswal Yarns Ltd,India,IN,INE670H01017,Consumer Discretionary,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,BBG000DX6JK2,
BSE_IN::PITHP,PITHP,BSE_IN,Stock,Pithampur Poly Products Ltd,India,IN,INE747D01012,Materials,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,BBG000BYB4K9,
BSE_IN::RASSIREF,RASSIREF,BSE_IN,Stock,Raasi Refractories Ltd-$,India,IN,INE858D01017,Materials,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,BBG000CY8YJ8,
BSE_IN::SHRINIWAS,SHRINIWAS,BSE_IN,Stock,Shri Niwas Leasing And Finance Ltd,India,IN,INE201F01015,Financials,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,BBG007X4BX86,
BSE_IN::SRDAPRT,SRDAPRT,BSE_IN,Stock,Sarda Proteins Ltd,India,IN,INE995U01011,Materials,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,BBG000D7KRP0,
BSE_IN::SW1,SW1,BSE_IN,Stock,SW Investments Ltd,India,IN,INE948K01011,Financials,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,BBG000DMD8W9,
BSE_IN::TIAANC,TIAANC,BSE_IN,Stock,Tiaan Consumer Ltd,India,IN,INE864T01011,Health Care,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,BBG00DW1W7P5,
CSE_MA::ENNAKL,ENNAKL,CSE_MA,Stock,ENNAKL,Morocco,MA,MA0000011942,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,BBG000R3TDX7,
CSE_MA::REBAB-COMP,REBAB-COMP,CSE_MA,Stock,REBAB COMPANY,Morocco,MA,MA0000010993,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,BBG000BQF663,
CSE_MA::SOTHEMA,SOTHEMA,CSE_MA,Stock,SOTHEMA,Morocco,MA,MA0000011645,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
IDX::LPPF,LPPF,IDX,Stock,Matahari Department Store Tbk,Indonesia,ID,ID1000113301,Consumer Discretionary,name_mismatch,Dataset name does not match official exchange directory name.,PT MDS Retailing Tbk,idx_company_profiles,True,,BBG000BBK6T5,
IDX::MORA,MORA,IDX,Stock,Mora Telematika Indonesia,Indonesia,ID,,Communication Services,name_mismatch,Dataset name does not match official exchange directory name.,PT Ekamas Mora Republik Tbk,idx_company_profiles,True,,,
KOSDAQ::455910,455910,KOSDAQ,Stock,455910,South Korea,KR,,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,,
LSE::CAU,CAU,LSE,Stock,Centaur Media,United Kingdom,GB,GB0034291418,Communication Services,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,BBG000R4SHZ5,
LSE::CYK,CYK,LSE,Stock,Cykel AI PLC,United Kingdom,GB,GB00BJ9MHH56,,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,BBG00QG0BKZ9,
LSE::ROQ,ROQ,LSE,Stock,Roquefort Investments PLC,United Kingdom,GB,GB00BMDQ2T15,Health Care,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,BBG00ZRWTQ85,
LSE::WG,WG,LSE,Stock,John Wood Group PLC,United Kingdom,GB,GB00B5N0P849,Energy,missing_from_official,Symbol is absent from the active official exchange directory for this exchange.,,,True,,BBG000BC7D04,
NASDAQ::BPRN,BPRN,NASDAQ,Stock,Bank Of Princeton,United States,US,US0645201098,Financials,name_mismatch,Dataset name does not match official exchange directory name.,"Princeton Bancorp, Inc. - Common Stock",nasdaq_listed,True,0001913971,BBG00ZR23F01,
NASDAQ::OIO,OIO,NASDAQ,Stock,ESGL Holdings Limited,United States,US,,Industrials,name_mismatch,Dataset name does not match official exchange directory name.,OIO Group - Ordinary Shares,nasdaq_listed,True,0001957538,,
