ticker,exchange,asset_type,name,stockanalysis_symbol,stockanalysis_name,stockanalysis_isin,stockanalysis_sector,stockanalysis_industry,isin_update,sector_update,decision,source_url
AN3,ASX,Stock,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED.,,,,,,,,no_symbol_match,
AYU,ASX,Stock,AUSTRALIAN UNITY LIMITED,,,,,,,,no_symbol_match,
BP1,ASX,Stock,BP CAPITAL MARKETS P.L.C.,,,,,,,,no_symbol_match,
DMN,ASX,Stock,DOMINION INVESTMENT GROUP LIMITED,,,,,,,,no_symbol_match,
DXA,ASX,Stock,CAISSE FRANCAISE DE FINANCEMENT LOCAL,,,,,,,,no_symbol_match,
EEL,ASX,Stock,Enrg Elements Ltd,,,,,,,,no_symbol_match,
EMS,ASX,Stock,Eastern Metals Ltd,,,,,,,,no_symbol_match,
HCF,ASX,Stock,H&G HIGH CONVICTION LIMITED,,,,,,,,no_symbol_match,
IF1,ASX,Stock,"IBERDROLA FINANZAS, S.A.U.",,,,,,,,no_symbol_match,
IRX,ASX,Stock,Inhalerx Ltd,,,,,,,,no_symbol_match,
KFW,ASX,Stock,KFW,,,,,,,,no_symbol_match,
LO1,ASX,Stock,LLOYDS BANKING GROUP PLC,,,,,,,,no_symbol_match,
LP1,ASX,Stock,LIBERTY PRIME SERIES 2021-1,,,,,,,,no_symbol_match,
MA2,ASX,Stock,MA CREDIT PORTFOLIO HOLDINGS LIMITED,,,,,,,,no_symbol_match,
MBL,ASX,Stock,MACQUARIE BANK LIMITED,,,,,,,,no_symbol_match,
MRI,ASX,Stock,My Rewards International Ltd,,,,,,,,no_symbol_match,
QNB,ASX,Stock,QNB FINANCE LTD,,,,,,,,no_symbol_match,
RA2,ASX,Stock,RESIMAC PREMIER SERIES 2020-1,,,,,,,,no_symbol_match,
RA3,ASX,Stock,RESIMAC SERIES 2024-1NC,,,,,,,,no_symbol_match,
RAMHA,ASX,Stock,RAMHA,,,,,,,,no_symbol_match,
RG1,ASX,Stock,REGAL PARTNERS GLOBAL INVESTMENTS LIMITED,,,,,,,,no_symbol_match,
RG8,ASX,Stock,REGAL ASIAN INVESTMENTS LIMITED,,,,,,,,no_symbol_match,
SC1,ASX,Stock,"SHINHAN CARD CO., LTD.",,,,,,,,no_symbol_match,
SET,ASX,Stock,SOLARIS AUSTRALIAN EQUITY INCOME PLUS LIMITED,,,,,,,,no_symbol_match,
SFV,ASX,Stock,SANTOS FINANCE LIMITED,,,,,,,,no_symbol_match,
SHZ,ASX,Stock,SHINHAN BANK.,,,,,,,,no_symbol_match,
TA1,ASX,Stock,TRANSURBAN FINANCE COMPANY PTY LTD,,,,,,,,no_symbol_match,
XCL,ASX,Stock,AUSTRALIAN COMMONWEALTH GOVERNMENT LOANS,,,,,,,,no_symbol_match,
XNC,ASX,Stock,NEW SOUTH WALES TREASURY CORPORATION,,,,,,,,no_symbol_match,
XQL,ASX,Stock,QUEENSLAND TREASURY CORPORATION,,,,,,,,no_symbol_match,
XVG,ASX,Stock,TREASURY CORPORATION OF VICTORIA,,,,,,,,no_symbol_match,
ZOR,ASX,Stock,ORDINARY (UNLISTED/LISTED - COSACS),,,,,,,,no_symbol_match,
2WAV3,B3,Stock,2W ECOBANK S.A.,,,,,,,,no_symbol_match,
A6OP3,B3,Stock,ACESSOPAR INVESTIMENTOS E PARTICIPAÇÕES S.A.,,,,,,,,no_symbol_match,
ADMF3,B3,Stock,CIABRASF CIA BRASILEIRA DE SERVIÇOS FINANCEIROS SA,,,,,,,,no_symbol_match,
AGBK4,B3,Stock,BANCO AGIBANK S.A.,,,,,,,,no_symbol_match,
AGRA4,B3,Stock,AGRALE S/A,,,,,,,,no_symbol_match,
AMZG3,B3,Stock,AMAZONAS DISTRIBUIDORA DE ENERGIA S.A.,,,,,,,,no_symbol_match,
ATEA3,B3,Stock,ATHENA SAUDE BRASIL S.A.,,,,,,,,no_symbol_match,
AUAU99,B3,Stock,UNIÃO PET PARTICIPAÇÕES S.A.,,,,,,,,no_symbol_match,
BCEE3,B3,Stock,BANCO BESA S/A,,,,,,,,no_symbol_match,
BCEE5,B3,Stock,BANCO BESA S/A,,,,,,,,no_symbol_match,
BCPS3,B3,Stock,CLARO S.A.,,,,,,,,no_symbol_match,
BCPS4,B3,Stock,CLARO S.A.,,,,,,,,no_symbol_match,
BEGB4,B3,Stock,BANCO BERJ S.A.,,,,,,,,no_symbol_match,
BETP3,B3,Stock,BETAPART PARTICIPACOES S.A.,,,,,,,,no_symbol_match,
BFFT3,B3,Stock,Bluefit Academias de Ginástica e Participações S.A,,,,,,,,no_symbol_match,
BNAC3,B3,Stock,BANCO NACIONAL S/A,,,,,,,,no_symbol_match,
BNAC4,B3,Stock,BANCO NACIONAL S/A,,,,,,,,no_symbol_match,
BNRG3,B3,Stock,BRAZIL ENERGY S.A.,,,,,,,,no_symbol_match,
BRBI3,B3,Stock,BRBI BR PARTNERS S.A.,,,,,,,,no_symbol_match,
BRBI4,B3,Stock,BRBI BR PARTNERS S.A.,,,,,,,,no_symbol_match,
BVEN3,B3,Stock,BOA VISTA ENERGIA S.A.,,,,,,,,no_symbol_match,
C1GT3,B3,Stock,CELG TRANSMISSÃO S.A. - CELG T,,,,,,,,no_symbol_match,
C3RP3,B3,Stock,COTRASA PARTICIPACOES S.A.,,,,,,,,no_symbol_match,
CATA3,B3,Stock,CIA INDUSTRIAL CATAGUASES,,,,,,,,no_symbol_match,
CATA4,B3,Stock,CIA INDUSTRIAL CATAGUASES,,,,,,,,no_symbol_match,
CBOH3,B3,Stock,CBO HOLDING S.A.,,,,,,,,no_symbol_match,
CCAT3,B3,Stock,COMFIO COMPANHIA CATARINENSE DE FIACAO,,,,,,,,no_symbol_match,
CCAT4,B3,Stock,COMFIO COMPANHIA CATARINENSE DE FIACAO,,,,,,,,no_symbol_match,
CEAC3,B3,Stock,ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A,,,,,,,,no_symbol_match,
CEAC4,B3,Stock,ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A,,,,,,,,no_symbol_match,
CEAG3,B3,Stock,CIA DE ENTREPOSTOS E ARMAZENS GERAIS SP,,,,,,,,no_symbol_match,
CEAL3,B3,Stock,EQUATORIAL ALAGOAS - DISTRIBUIDORA DE ENERGIA S.A.,,,,,,,,no_symbol_match,
CEAL4,B3,Stock,EQUATORIAL ALAGOAS - DISTRIBUIDORA DE ENERGIA S.A.,,,,,,,,no_symbol_match,
CEAP3,B3,Stock,COMPANHIA DE ELETRICIDADE DO AMAPÁ - CEA,,,,,,,,no_symbol_match,
CEBD3,B3,Stock,Neoenergia Distribuicao Brasilia S.A,,,,,,,,no_symbol_match,
CEEP3,B3,Stock,CIA EST. DE ENERG. ELETRICA PARTICIPAÇÕES CEEE-PAR,,,,,,,,no_symbol_match,
CERO3,B3,Stock,ENERGISA RONDONIA - DISTRIBUIDORA DE ENERGIA S/A,,,,,,,,no_symbol_match,
CESA3,B3,Stock,CIA ESTADUAL DE SILOS E ARMAZENS,,,,,,,,no_symbol_match,
CFHO3,B3,Stock,CARVALHO HOLDINGS SA,,,,,,,,no_symbol_match,
CFHO4,B3,Stock,CARVALHO HOLDINGS SA,,,,,,,,no_symbol_match,
CGOS3,B3,Stock,EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S/A,,,,,,,,no_symbol_match,
CLNT3,B3,Stock,CLARANET TECHNOLOGY S.A.,,,,,,,,no_symbol_match,
CMNS3,B3,Stock,CMN SOLUTIONS AO18 PARTICIPACOES S.A.,,,,,,,,no_symbol_match,
CNRT5,B3,Stock,CICANORTE IND CONSERVAS ALIMENTICIAS S.A,,,,,,,,no_symbol_match,
COCN5,B3,Stock,CIA DE COCOS DO NORDESTE,,,,,,,,no_symbol_match,
CONX3,B3,Stock,TRIPLE PLAY BRASIL PARTICIPAÇÕES S.A.,,,,,,,,no_symbol_match,
CPCH3,B3,Stock,CAPITAL CENTER HOTEIS S.A.,,,,,,,,no_symbol_match,
CPCH7,B3,Stock,CAPITAL CENTER HOTEIS S.A.,,,,,,,,no_symbol_match,
CPIS12,B3,Stock,EQUATORIAL PIAUI DISTRIBUIDORA DE ENERGIA S.A,,,,,,,,no_symbol_match,
CPIS3,B3,Stock,EQUATORIAL PIAUI DISTRIBUIDORA DE ENERGIA S.A,,,,,,,,no_symbol_match,
CPIS4,B3,Stock,EQUATORIAL PIAUI DISTRIBUIDORA DE ENERGIA S.A,,,,,,,,no_symbol_match,
CPNO7,B3,Stock,COPENOR - CIA PETROQUIMICA DO NORDESTE,,,,,,,,no_symbol_match,
CRML4,B3,Stock,CARBOMIL S.A.,,,,,,,,no_symbol_match,
CRPC4,B3,Stock,CRP CADERI CAPITAL DE RISCO S/A,,,,,,,,no_symbol_match,
CRTE3,B3,Stock,CONC RIO-TERESOPOLIS S.A.,,,,,,,,no_symbol_match,
CRTE5,B3,Stock,CONC RIO-TERESOPOLIS S.A.,,,,,,,,no_symbol_match,
CSAL4,B3,Stock,CIA ABASTEC. D'AGUA E SAN. EST. ALAGOAS,,,,,,,,no_symbol_match,
CSAM3,B3,Stock,COSAMA - CIA DE SANEAMENTO DA AMAZONIA,,,,,,,,no_symbol_match,
CSAM4,B3,Stock,COSAMA - CIA DE SANEAMENTO DA AMAZONIA,,,,,,,,no_symbol_match,
DASS3,B3,Stock,DASS NORDESTE CALÇADOS E ARTIGOS ESPORTIVOS SA,,,,,,,,no_symbol_match,
DNEN3B,B3,Stock,DINAMICA ENERGIA S.A.,,,,,,,,no_symbol_match,
DTEN3,B3,Stock,DETEN QUIMICA S.A.,,,,,,,,no_symbol_match,
DTEN6,B3,Stock,DETEN QUIMICA S.A.,,,,,,,,no_symbol_match,
