ticker,exchange,asset_type,name,stockanalysis_symbol,stockanalysis_name,stockanalysis_isin,stockanalysis_sector,stockanalysis_industry,stockanalysis_category,isin_update,sector_update,category_update,decision,source_url
AC2,ASX,ETF,ALLIED CREDIT ABS TRUST 2025-1P,,,,,,,,,,no_symbol_match,
AC3,ASX,ETF,ALLIED CREDIT ABS TRUST 2025-2,,,,,,,,,,no_symbol_match,
AF2,ASX,ETF,ANGLE ASSET FINANCE - RADIAN TRUST 2025-1,,,,,,,,,,no_symbol_match,
AF4,ASX,ETF,AFG 2024-1 TRUST IN RESPECT OF SERIES 2024-1,,,,,,,,,,no_symbol_match,
AF5,ASX,ETF,AFG 2025-1NC TRUST IN RESPECT OF SERIES 2025-1NC,,,,,,,,,,no_symbol_match,
AF6,ASX,ETF,AFG 2025-1 TRUST IN RESPECT OF SERIES 2025-1,,,,,,,,,,no_symbol_match,
AF7,ASX,ETF,ANGLE ASSET FINANCE - RADIAN TRUST 2025-2,,,,,,,,,,no_symbol_match,
AN3,ASX,Stock,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED.,,,,,,,,,,no_symbol_match,
AO2,ASX,ETF,APOLLO SERIES 2017-2 TRUST,,,,,,,,,,no_symbol_match,
AO3,ASX,ETF,APOLLO SERIES 2018-1 TRUST,,,,,,,,,,no_symbol_match,
AYU,ASX,Stock,AUSTRALIAN UNITY LIMITED,,,,,,,,,,no_symbol_match,
BA2,ASX,ETF,SERIES 2019-1 REDS TRUST,,,,,,,,,,no_symbol_match,
BP1,ASX,Stock,BP CAPITAL MARKETS P.L.C.,,,,,,,,,,no_symbol_match,
BS1,ASX,ETF,BLUESTONE PRIME 2024-1 TRUST,,,,,,,,,,no_symbol_match,
BW6,ASX,ETF,BLACKWATTLE SERIES RMBS TRUST NO.6,,,,,,,,,,no_symbol_match,
CDO,ASX,ETF,CADENCE OPPORTUNITIES FUND LIMITED.,,,,,,,,,,no_symbol_match,
D10,ASX,ETF,DRIVER AUSTRALIA TEN TRUST,,,,,,,,,,no_symbol_match,
DA8,ASX,ETF,DRIVER AUSTRALIA EIGHT TRUST,,,,,,,,,,no_symbol_match,
DA9,ASX,ETF,DRIVER AUSTRALIA NINE TRUST,,,,,,,,,,no_symbol_match,
DMN,ASX,Stock,DOMINION INVESTMENT GROUP LIMITED,,,,,,,,,,no_symbol_match,
DN1,ASX,ETF,DOMINION INCOME TRUST 1,,,,,,,,,,no_symbol_match,
DXA,ASX,Stock,CAISSE FRANCAISE DE FINANCEMENT LOCAL,,,,,,,,,,no_symbol_match,
EBTC,ASX,ETF,Global X 21Shares Bitcoin ETF,,,,,,,,,,no_symbol_match,
EEL,ASX,Stock,Enrg Elements Ltd,,,,,,,,,,no_symbol_match,
EMS,ASX,Stock,Eastern Metals Ltd,,,,,,,,,,no_symbol_match,
FM1,ASX,ETF,FIRSTMAC MORTGAGE FUNDING TRUST NO.4 SERIES 4-2019,,,,,,,,,,no_symbol_match,
FM2,ASX,ETF,FIRSTMAC MORTGAGE FUNDING TRUST NO.4 SERIES 2-2019,,,,,,,,,,no_symbol_match,
FM3,ASX,ETF,FIRSTMAC MORTGAGE FUNDING TRUST NO. 4 SERIES 1-2020,,,,,,,,,,no_symbol_match,
FM5,ASX,ETF,FIRSTMAC MORTGAGE FUNDING TRUST NO.4 SERIES 2-2020,,,,,,,,,,no_symbol_match,
HC1,ASX,ETF,HOUSEHOLD CAPITAL 2025-1 RMBS TRUST,,,,,,,,,,no_symbol_match,
HCF,ASX,Stock,H&G HIGH CONVICTION LIMITED,,,,,,,,,,no_symbol_match,
IF1,ASX,Stock,"IBERDROLA FINANZAS, S.A.U.",,,,,,,,,,no_symbol_match,
IRX,ASX,Stock,Inhalerx Ltd,,,,,,,,,,no_symbol_match,
KFW,ASX,Stock,KFW,,,,,,,,,,no_symbol_match,
KI1,ASX,ETF,KINGFISHER TRUST 2019-1,,,,,,,,,,no_symbol_match,
KIG,ASX,ETF,KINGFISHER TRUST 2016-1,,,,,,,,,,no_symbol_match,
LI8,ASX,ETF,LION SERIES 2020-1 TRUST,,,,,,,,,,no_symbol_match,
LN1,ASX,ETF,LION SERIES 2022-1 TRUST,,,,,,,,,,no_symbol_match,
LN2,ASX,ETF,LION SERIES 2023-1 TRUST,,,,,,,,,,no_symbol_match,
LN3,ASX,ETF,LION SERIES 2024-1 TRUST,,,,,,,,,,no_symbol_match,
LO1,ASX,Stock,LLOYDS BANKING GROUP PLC,,,,,,,,,,no_symbol_match,
LP1,ASX,Stock,LIBERTY PRIME SERIES 2021-1,,,,,,,,,,no_symbol_match,
LR1,ASX,ETF,LA TROBE FINANCIAL CAPITAL MARKETS TRUST 2023-1,,,,,,,,,,no_symbol_match,
LR3,ASX,ETF,LA TROBE FINANCIAL CAPITAL MARKETS TRUST 2024-1,,,,,,,,,,no_symbol_match,
LR4,ASX,ETF,LA TROBE FINANCIAL CAPITAL MARKETS TRUST 2023-2,,,,,,,,,,no_symbol_match,
LR5,ASX,ETF,LA TROBE FINANCIAL CAPITAL MARKETS TRUST 2024-2,,,,,,,,,,no_symbol_match,
LR6,ASX,ETF,LA TROBE FINANCIAL CAPITAL MARKETS TRUST 2024-3,,,,,,,,,,no_symbol_match,
LT9,ASX,ETF,LA TROBE FINANCIAL CAPITAL MARKETS TRUST 2022-2,,,,,,,,,,no_symbol_match,
MA2,ASX,Stock,MA CREDIT PORTFOLIO HOLDINGS LIMITED,,,,,,,,,,no_symbol_match,
MBL,ASX,Stock,MACQUARIE BANK LIMITED,,,,,,,,,,no_symbol_match,
MF3,ASX,ETF,METRO FINANCE 2023-1 TRUST,,,,,,,,,,no_symbol_match,
MF4,ASX,ETF,METRO FINANCE 2024-1 TRUST,,,,,,,,,,no_symbol_match,
MF5,ASX,ETF,METRO FINANCE 2023-2 TRUST,,,,,,,,,,no_symbol_match,
MF6,ASX,ETF,METRO FINANCE 2025-1 TRUST,,,,,,,,,,no_symbol_match,
ML2,ASX,ETF,MA MONEY RESIDENTIAL SECURITISATION TRUST 2025-1,,,,,,,,,,no_symbol_match,
MM2,ASX,ETF,MME AUTOPAY ABS 2024-1 TRUST,,,,,,,,,,no_symbol_match,
MM4,ASX,ETF,MME PL 2025-1 TRUST,,,,,,,,,,no_symbol_match,
