ticker,exchange,current_name,stockanalysis_name,stockanalysis_url,stockanalysis_isin,stockanalysis_sector,stockanalysis_industry,accepted_isin,accepted_stock_sector,decision
00021,HKEX,GREAT CHI HLDGS,Great China Holdings (Hong Kong),https://stockanalysis.com/quote/hkg/0021/company/,HK0000132420,Real Estate,Real Estate Services,,,name_mismatch
00025,HKEX,CHEVALIER INT'L,Chevalier International Holdings,https://stockanalysis.com/quote/hkg/0025/company/,BMG2097Z1471,Industrials,Conglomerates,,,name_mismatch
00036,HKEX,FE HLDGS INTL,Far East Holdings International,https://stockanalysis.com/quote/hkg/0036/company/,HK0036029863,Real Estate,Real Estate Services,,,name_mismatch
00039,HKEX,CH BEIDAHUANG,China Beidahuang Industry Group Holdings,https://stockanalysis.com/quote/hkg/0039/company/,KYG2117W1087,Consumer Staples,Grocery Stores,,,name_mismatch
00042,HKEX,NE ELECTRIC,Northeast Electric Development Company,https://stockanalysis.com/quote/hkg/0042/company/,CNE1000003V0,Consumer Discretionary,Lodging,,,name_mismatch
00046,HKEX,COMPUTER & TECH,Computer And Technologies Holdings,https://stockanalysis.com/quote/hkg/0046/company/,BMG2335C1082,Technology,Information Technology Services,,,name_mismatch
00048,HKEX,C AUTO INT DECO,China Automotive Interior Decoration Holdings,https://stockanalysis.com/quote/hkg/0048/company/,KYG211351500,Consumer Discretionary,Textile Manufacturing,,,name_mismatch
00050,HKEX,HK FERRY (HOLD),Hong Kong Ferry (Holdings) Company,https://stockanalysis.com/quote/hkg/0050/company/,HK0050000345,Real Estate,Real Estate - Diversified,,,name_mismatch
00058,HKEX,SUNWAY INT'L,Sunway International Holdings,https://stockanalysis.com/quote/hkg/0058/company/,BMG858331389,Materials,Building Materials,,,name_mismatch
00060,HKEX,HK FOOD INV,Hong Kong Food Investment Holdings,https://stockanalysis.com/quote/hkg/0060/company/,HK0060028229,Consumer Staples,Food Distribution,,,name_mismatch
00062,HKEX,TRANSPORT INT'L,Transport International Holdings,https://stockanalysis.com/quote/hkg/0062/company/,BMG9031M1082,Industrials,Railroads,,,name_mismatch
00078,HKEX,REGAL INT'L,Regal Hotels International Holdings,https://stockanalysis.com/quote/hkg/0078/company/,BMG7475M1626,Consumer Discretionary,Lodging,,,name_mismatch
00085,HKEX,CE HUADA TECH,China Electronics Huada Technology Company,https://stockanalysis.com/quote/hkg/0085/company/,BMG2122L1054,Technology,Semiconductors,,,name_mismatch
00099,HKEX,WONG'S INT'L,Wong's International Holdings,https://stockanalysis.com/quote/hkg/0099/company/,BMG9738G1078,Technology,Consumer Electronics,,,name_mismatch
00104,HKEX,ASIA COMM HOLD,Asia Commercial Holdings,https://stockanalysis.com/quote/hkg/0104/company/,BMG0532V2009,Consumer Discretionary,Specialty Retail,,,name_mismatch
00106,HKEX,LANDSEA MGMT,Landsea Green Management,https://stockanalysis.com/quote/hkg/0106/company/,BMG5370A1018,Real Estate,Real Estate - Development,,,name_mismatch
00120,HKEX,COSMOPOL INT'L,Cosmopolitan International Holdings,https://stockanalysis.com/quote/hkg/0120/company/,KYG2445L1547,Real Estate,Real Estate - Diversified,,,name_mismatch
