ticker,exchange,current_name,stockanalysis_name,stockanalysis_url,stockanalysis_isin,stockanalysis_sector,stockanalysis_industry,accepted_isin,accepted_stock_sector,decision
AAQL,OTC,Antiaging Quantum Living Inc.,Antiaging Quantum Living,https://stockanalysis.com/quote/otc/AAQL/company/,US00449Q1013,Consumer Discretionary,Internet Retail,,Consumer Discretionary,accept
ADAD,OTC,Huaizhong Health Group Inc,Huaizhong Health Group,https://stockanalysis.com/quote/otc/ADAD/company/,US44332X1046,Financials,Shell Companies,,Financials,accept
ADTI,OTC,"Adapti, Inc.",Adapti,https://stockanalysis.com/quote/otc/ADTI/company/,US8139241074,Consumer Staples,Household & Personal Products,,Consumer Staples,accept
PAWH,OTC,Pennsylvania Warehousing Safe Deposit,Pennsylvania Warehousing Safe Deposit,https://stockanalysis.com/quote/otc/PAWH/company/,US7092911087,Industrials,Conglomerates,US7092911087,,accept
PBKC,OTC,Pioneer Bankcorp Inc,Pioneer Bankcorp,https://stockanalysis.com/quote/otc/PBKC/company/,US7236062086,Financials,Banks - Regional,,Financials,accept
PEHD,OTC,Perigee Holdings Inc.,Perigee Holdings,https://stockanalysis.com/quote/otc/PEHD/company/,US71383R1086,Financials,Shell Companies,,Financials,accept
PEMC,OTC,Pacific Energy & Mining Company,Pacific Energy & Mining Company,https://stockanalysis.com/quote/otc/PEMC/company/,US6942252023,Energy,Oil & Gas Integrated,US6942252023,,accept
PGFF,OTC,PGFF,Pioneer Green Farms,https://stockanalysis.com/quote/otc/PGFF/company/,,,Medicinal Chemicals and Botanical Products,,,name_mismatch
PGFY,OTC,Pingify International Inc,Pingify International,https://stockanalysis.com/quote/otc/PGFY/company/,US72341V1089,Technology,Software - Application,US72341V1089,,accept
PHCFF,OTC,Puhui Wealth Investment Management Co. Ltd.,Puhui Wealth Investment Management,https://stockanalysis.com/quote/otc/PHCFF/company/,KYG7306H1193,Financials,Asset Management,,Financials,accept
PHYTF,OTC,Pyrophyte Acquisition Corp.,Pyrophyte Acquisition,https://stockanalysis.com/quote/otc/PHYTF/company/,,Financials,Shell Companies,,Financials,accept
PIKM,OTC,Kidpik Corp,Kidpik,https://stockanalysis.com/quote/otc/PIKM/company/,,Consumer Discretionary,Internet Retail,,Consumer Discretionary,accept
PITEF,OTC,Heramba Electric plc,Heramba Electric,https://stockanalysis.com/quote/otc/PITEF/company/,,Industrials,Industrial Distribution,,Industrials,accept
PIUTQ,OTC,Paiute Oil & Mining Corp,Paiute Oil & Mining,https://stockanalysis.com/quote/otc/PIUTQ/company/,,Energy,Oil & Gas Drilling,,Energy,accept
PKLE,OTC,"PickleJar Entertainment Group, Inc.",PickleJar Entertainment Group,https://stockanalysis.com/quote/otc/PKLE/company/,US85179A1034,Technology,Software - Application,,Information Technology,accept
PLNTQ,OTC,Proliance International Inc,Proliance International,https://stockanalysis.com/quote/otc/PLNTQ/company/,US74340R1041,Consumer Discretionary,Auto Parts,US74340R1041,,accept
PLQC,OTC,Plains Acquisition Corporation,Plains Acquisition,https://stockanalysis.com/quote/otc/PLQC/company/,US7265021078,Financials,Banks - Regional,,Financials,accept
PLVFF,OTC,Plant Veda Foods Ltd,Plant Veda Foods,https://stockanalysis.com/quote/otc/PLVFF/company/,CA7273511088,Consumer Staples,Beverages - Non-Alcoholic,,Consumer Staples,accept
PMDP,OTC,Plateau Mineral Development Inc,Plateau Mineral Development,https://stockanalysis.com/quote/otc/PMDP/company/,US7276341077,Energy,Oil & Gas Exploration & Production,US7276341077,,accept
PNYG,OTC,Pony Group Inc.,Pony Group,https://stockanalysis.com/quote/otc/PNYG/company/,US7327751019,Industrials,Railroads,,Industrials,accept
POLCQ,OTC,Polished.com Inc,Polished.com,https://stockanalysis.com/quote/otc/POLCQ/company/,US28252C2089,Consumer Discretionary,Specialty Retail,,Consumer Discretionary,accept
PORCF,OTC,POWER ONE RES CORP,Power One Resources,https://stockanalysis.com/quote/otc/PORCF/company/,,Materials,Other Industrial Metals & Mining,,Materials,accept
POTRF,OTC,SOPerior Fertilizer Corp,SOPerior Fertilizer,https://stockanalysis.com/quote/otc/POTRF/company/,CA83577W1086,Materials,Other Industrial Metals & Mining,CA83577W1086,,accept
PPBGF,OTC,Inturai Ventures Corp.,Inturai Ventures,https://stockanalysis.com/quote/otc/PPBGF/company/,,,Prepackaged Software,,Information Technology,accept
PREM,OTC,Premier Air Charter Holdings Inc.,Premier Air Charter Holdings,https://stockanalysis.com/quote/otc/PREM/company/,US02138A3068,Industrials,Airlines,US02138A3068,,accept
PRMD,OTC,Primemd Inc,Primemd,https://stockanalysis.com/quote/otc/PRMD/company/,US74167A1016,Healthcare,Medical Care Facilities,,Health Care,accept
