ticker,exchange,asset_type,name,stockanalysis_symbol,stockanalysis_name,stockanalysis_sector,stockanalysis_industry,sector_update,decision,source_url
09II,LSE,Stock,DR ING HC F PORSCHE AG DR. ING. H.C. F. PORSCHE AG INHABER-VOR,,,,,,no_symbol_match,
0A0J,LSE,Stock,AAK AB,0A0J,AAK AB (publ.),,Fats And Oils,,unsupported_sector,https://stockanalysis.com/quote/lon/0A0J/
0A2T,LSE,Stock,High Templar Tech Limited,0A2T,High Templar Tech Limited,,Personal Credit Institutions,,unsupported_sector,https://stockanalysis.com/quote/lon/0A2T/
0A2Y,LSE,Stock,"Telefónica, S.A.",0A2Y,"Telefónica, S.A.",,Radiotelephone Communications,,unsupported_sector,https://stockanalysis.com/quote/lon/0A2Y/
0A3S,LSE,Stock,Novavax Inc.,0A3S,"Novavax, Inc.",,"Biological Products, Except Diagnostic Substances",,unsupported_sector,https://stockanalysis.com/quote/lon/0A3S/
0A45,LSE,Stock,Moderna Inc.,0A45,"Moderna, Inc.",,"Biological Products, Except Diagnostic Substances",,unsupported_sector,https://stockanalysis.com/quote/lon/0A45/
0A6B,LSE,Stock,DuPont de Nemours Inc.,0A6B,"DuPont de Nemours, Inc.",,"Plastics Materials And Synthetic Resins, Synthetic Rubber, Cellulosic And Other Manmade Fibers, Except Glass",,unsupported_sector,https://stockanalysis.com/quote/lon/0A6B/
0A6Y,LSE,Stock,Xerox Holdings Corp.,0A6Y,Xerox Holdings Corporation,Technology,Information Technology Services,Information Technology,accept,https://stockanalysis.com/quote/lon/0A6Y/
0A77,LSE,Stock,Cigna Corp.,0A77,The Cigna Group,,Hospital and Medical Service Plans,,unsupported_sector,https://stockanalysis.com/quote/lon/0A77/
0A8D,LSE,Stock,"Q/C Technologies, Inc.",0A8D,"Q/C Technologies, Inc.",,Pharmaceutical Preparations,,unsupported_sector,https://stockanalysis.com/quote/lon/0A8D/
0A90,LSE,Stock,0A90,,,,,,no_symbol_match,
0A9N,LSE,Stock,NACON SASU,0A9N,Nacon S.A.,,"Computer Peripheral Equipment, not elsewhere classified",,unsupported_sector,https://stockanalysis.com/quote/lon/0A9N/
0A9W,LSE,Stock,Organon & Co.,0A9W,Organon & Co.,,Pharmaceutical Preparations,,unsupported_sector,https://stockanalysis.com/quote/lon/0A9W/
0A9Z,LSE,Stock,Acast AB,0A9Z,Acast AB (publ),,"Computer Programming, Data Processing, And Other Computer Related Services",,unsupported_sector,https://stockanalysis.com/quote/lon/0A9Z/
0AA5,LSE,Stock,Antin Infrastructure Partners,0AA5,Antin Infrastructure Partners SAS,,"Investors, not elsewhere classified",,unsupported_sector,https://stockanalysis.com/quote/lon/0AA5/
0AA7,LSE,Stock,Truecaller AB Series B,0AA7,Truecaller AB (publ),,Prepackaged Software,,unsupported_sector,https://stockanalysis.com/quote/lon/0AA7/
0AA9,LSE,Stock,Storskogen Group AB Series B,0AA9,Storskogen Group AB (publ),,Conglomerates,,unsupported_sector,https://stockanalysis.com/quote/lon/0AA9/
0AAA,LSE,Stock,Aramis Group SAS,0AAA,Aramis Group SAS,,Catalog and Mail-Order Houses,,unsupported_sector,https://stockanalysis.com/quote/lon/0AAA/
0AAB,LSE,Stock,Netel Holding AB,0AAB,Netel Holding AB (publ),,Heavy Construction Other Than Building Construction Contractors,,unsupported_sector,https://stockanalysis.com/quote/lon/0AAB/
0AAE,LSE,Stock,AutoStore Holdings Ltd.,0AAE,AutoStore Holdings Ltd.,,"General Industrial Machinery and Equipment, Not Elsewhere",,unsupported_sector,https://stockanalysis.com/quote/lon/0AAE/
0AAK,LSE,Stock,Volvo Car AB Series B,0AAK,Volvo Car AB (publ.),,Motor Vehicles and Passenger Car Bodies,,unsupported_sector,https://stockanalysis.com/quote/lon/0AAK/
0AAN,LSE,Stock,OVH Groupe SAS,0AAN,OVH Groupe S.A.,,"Computer Programming, Data Processing, And Other Computer Related Services",,unsupported_sector,https://stockanalysis.com/quote/lon/0AAN/
0AAR,LSE,Stock,INTERCOS SPA INTERCOS ORD SHS,0AAR,Intercos S.p.A.,,"Perfumes, Cosmetics, and Other Toilet Preparations",,unsupported_sector,https://stockanalysis.com/quote/lon/0AAR/
0AAS,LSE,Stock,Samhaellsbyggnadsbolaget i Norden AB,0AAS,Samhällsbyggnadsbolaget i Norden AB (publ),,Operators of Apartment Buildings,,unsupported_sector,https://stockanalysis.com/quote/lon/0AAS/
0AAT,LSE,Stock,Bike24 Holding AG,0AAT,Bike24 Holding AG,,Nonstore Retailers,,unsupported_sector,https://stockanalysis.com/quote/lon/0AAT/
0AAV,LSE,Stock,Sdiptech AB,0AAV,Sdiptech AB (publ),,Sanitary Services,,unsupported_sector,https://stockanalysis.com/quote/lon/0AAV/
0AAY,LSE,Stock,Var Energi ASA NOK,0AAY,Vår Energi ASA,,Crude Petroleum and Natural Gas,,unsupported_sector,https://stockanalysis.com/quote/lon/0AAY/
0AB0,LSE,Stock,Poujoulat S.A.,0AB0,Poujoulat SA,,Sheet Metal Work,,unsupported_sector,https://stockanalysis.com/quote/lon/0AB0/
0AB3,LSE,Stock,Elopak ASA NOK,0AB3,Elopak ASA,,Paperboard Containers And Boxes,,unsupported_sector,https://stockanalysis.com/quote/lon/0AB3/
0AB5,LSE,Stock,Iveco Group N.V.,0AB5,Iveco Group N.V.,,Motor Vehicles and Passenger Car Bodies,,unsupported_sector,https://stockanalysis.com/quote/lon/0AB5/
0AB7,LSE,Stock,Technoprobe S.p.A.,0AB7,Technoprobe S.p.A.,,Semiconductors and Related Devices,,unsupported_sector,https://stockanalysis.com/quote/lon/0AB7/
0ABE,LSE,Stock,Ariston Holding N.V.,0ABE,Ariston Holding N.V.,,Industrial and Commercial Fans and Blowers and Air Purification Equipment,,unsupported_sector,https://stockanalysis.com/quote/lon/0ABE/
0ABG,LSE,Stock,Swedencare AB SEK,0ABG,Swedencare AB (publ),,Pharmaceutical Preparations,,unsupported_sector,https://stockanalysis.com/quote/lon/0ABG/
0ABH,LSE,Stock,Verallia SAS,0ABH,Verallia Société Anonyme,,Glass Containers,,unsupported_sector,https://stockanalysis.com/quote/lon/0ABH/
0ABJ,LSE,Stock,Alleima AB (publ),0ABJ,Alleima AB (publ),Materials,Steel,Materials,accept,https://stockanalysis.com/quote/lon/0ABJ/
0ABP,LSE,Stock,NOVEM GROUP SA NOVEM GROUP ORD SHS,0ABP,Novem Group S.A.,,Motor Vehicle Parts and Accessories,,unsupported_sector,https://stockanalysis.com/quote/lon/0ABP/
