ticker,exchange,asset_type,name,stockanalysis_symbol,stockanalysis_name,stockanalysis_isin,stockanalysis_sector,stockanalysis_industry,stockanalysis_category,isin_update,sector_update,category_update,decision,source_url
001366,SZSE,Stock,Boen Group Co. Ltd. Cl A,001366,"Boen Group Co., Ltd.",,Consumer Staples,Farm Products,,,,,name_mismatch,https://stockanalysis.com/quote/she/001366/
09II,LSE,Stock,DR ING HC F PORSCHE AG DR. ING. H.C. F. PORSCHE AG INHABER-VOR,,,,,,,,,,no_symbol_match,
0A0J,LSE,Stock,AAK AB,0A0J,AAK AB (publ.),SE0011337708,,Fats And Oils,,,,,name_mismatch,https://stockanalysis.com/quote/lon/0A0J/
0A3S,LSE,Stock,Novavax Inc.,0A3S,"Novavax, Inc.",,,"Biological Products, Except Diagnostic Substances",,,,,no_update,https://stockanalysis.com/quote/lon/0A3S/
0A45,LSE,Stock,Moderna Inc.,0A45,"Moderna, Inc.",,,"Biological Products, Except Diagnostic Substances",,,,,no_update,https://stockanalysis.com/quote/lon/0A45/
0A6B,LSE,Stock,DuPont de Nemours Inc.,0A6B,"DuPont de Nemours, Inc.",,,"Plastics Materials And Synthetic Resins, Synthetic Rubber, Cellulosic And Other Manmade Fibers, Except Glass",,,,,no_update,https://stockanalysis.com/quote/lon/0A6B/
0A77,LSE,Stock,Cigna Corp.,0A77,The Cigna Group,,,Hospital and Medical Service Plans,,,,,no_update,https://stockanalysis.com/quote/lon/0A77/
0A8D,LSE,Stock,"Q/C Technologies, Inc.",0A8D,"Q/C Technologies, Inc.",US62856X3008,,Pharmaceutical Preparations,,,,,name_mismatch,https://stockanalysis.com/quote/lon/0A8D/
0A9N,LSE,Stock,NACON SASU,0A9N,Nacon S.A.,,,"Computer Peripheral Equipment, not elsewhere classified",,,,,name_mismatch,https://stockanalysis.com/quote/lon/0A9N/
0A9W,LSE,Stock,Organon & Co.,0A9W,Organon & Co.,US68622V1061,,Pharmaceutical Preparations,,,,,no_update,https://stockanalysis.com/quote/lon/0A9W/
0A9Z,LSE,Stock,Acast AB,0A9Z,Acast AB (publ),SE0015960935,,"Computer Programming, Data Processing, And Other Computer Related Services",,,,,no_update,https://stockanalysis.com/quote/lon/0A9Z/
0AA5,LSE,Stock,Antin Infrastructure Partners,0AA5,Antin Infrastructure Partners S.A.,FR0014005AL0,,"Investors, not elsewhere classified",,,,,no_update,https://stockanalysis.com/quote/lon/0AA5/
0AA7,LSE,Stock,Truecaller AB Series B,0AA7,Truecaller AB (publ),SE0016787071,,Prepackaged Software,,,,,name_mismatch,https://stockanalysis.com/quote/lon/0AA7/
0AA9,LSE,Stock,Storskogen Group AB Series B,0AA9,Storskogen Group AB (publ),SE0016797732,,Conglomerates,,,,,name_mismatch,https://stockanalysis.com/quote/lon/0AA9/
0AAA,LSE,Stock,Aramis Group SAS,0AAA,Aramis Group SAS,,,Catalog and Mail-Order Houses,,,,,no_update,https://stockanalysis.com/quote/lon/0AAA/
