ticker,exchange,asset_type,name,tmx_symbol,tmx_name,tmx_exchange,tmx_sector,tmx_subsector,sector_update,decision
AAA.P,TSXV,Stock,First Tidal Acquisition Corp.,AAA.P,First Tidal Acquisition Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
AAAJ.P,TSXV,Stock,AAJ Capital 3 Corp.,AAAJ.P,AAJ Capital 3 Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
AB-H,TSXV,Stock,Asbestos Corporation Limited,,,,,,,no_tmx_symbol_match
ACAP.P,TSXV,Stock,Atlas One Capital Corporation,ACAP.P,Atlas One Capital Corporation,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
ACL,TSXV,Stock,A.C.L. Construction Ltd.,ACL,A.C.L. Construction Ltd.,TSXV,Industrial Products & Services,,Industrials,accept
ADAD.P,TSXV,Stock,Adagio 2 Capital Inc.,ADAD.P,Adagio 2 Capital Inc.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
ADJ.P,TSXV,Stock,AD4 Capital Corp.,ADJ.P,AD4 Capital Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
AFR,TSXV,Stock,AFR NuVenture Resources Inc.,AFR,AFR NuVenture Resources Inc.,TSXV,Mining,,Materials,accept
AFV.P,TSXV,Stock,Apolo V Acquisition Corp.,AFV.P,Apolo V Acquisition Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
AGET,TSXV,Stock,AGEDB Technology Ltd.,AGET,AGEDB Technology Ltd.,TSXV,Technology,,Information Technology,accept
AGF,TSX,Stock,AGF Management Limited,AGF,AGF Management Limited,TSX,Financial Services,,Financials,accept
AGMR,TSXV,Stock,Silver Mountain Resources Inc.,,,,,,,no_tmx_symbol_match
ALBT.P,TSXV,Stock,Albatros Acquisition Corporation Inc.,ALBT.P,Albatros Acquisition Corporation Inc.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
ALDD.P,TSXV,Stock,ALDD Ventures Corp.,ALDD.P,ALDD Ventures Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
ALFA-UN,TSXV,Stock,Margaux Real Estate Investment Trust,ALFA,Margaux Real Estate Investment Trust,TSXV,Real Estate,,Real Estate,accept
ALTR.P,TSXV,Stock,Alterego Ventures 24 Corp.,ALTR.P,Alterego Ventures 24 Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
AMG.P,TSXV,Stock,AMG Acquisition Corp.,AMG.P,AMG Acquisition Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
AMV.P,TSXV,Stock,AMV II Capital Corporation,AMV.P,AMV II Capital Corporation,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
AMYA.P,TSXV,Stock,Amaya Big Sky Capital Corp.,AMYA.P,Amaya Big Sky Capital Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
AOCC.P,TSXV,Stock,Artrari One Capital Corp.,AOCC.P,Artrari One Capital Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
AQR.P,TSXV,Stock,Anquiro Ventures Ltd.,AQR.P,Anquiro Ventures Ltd.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
ARGH,TSXV,Stock,Argo Corporation,ARGH,Argo Corporation,TSXV,Technology,,Information Technology,accept
AROC.P,TSXV,Stock,Argo Opportunity Corp.,AROC.P,Argo Opportunity Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
ATLH.P,TSXV,Stock,Atlantic Horizon Capital Corp.,ATLH.P,Atlantic Horizon Capital Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
ATR.P,TSXV,Stock,Aster Acquisition Corp.,ATR.P,Aster Acquisition Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
AUNK.P,TSXV,Stock,Ankh II Capital Inc.,AUNK.P,Ankh II Capital Inc.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
AUUA,TSXV,Stock,Aluula Composites Inc.,AUUA,Aluula Composites Inc.,TSXV,Industrial Products & Services,,Industrials,accept
AVII.P,TSXV,Stock,Antera Ventures II Corp.,AVII.P,Antera Ventures II Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
AXET.P,TSXV,Stock,Axe2 Acquisitions Inc.,AXET.P,Axe2 Acquisitions Inc.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
AXO,TSXV,Stock,AXO Copper Corp.,AXO,AXO Copper Corp.,TSXV,Mining,,Materials,accept
AZC.P,TSXV,Stock,A2ZCryptocap Inc.,AZC.P,A2ZCryptocap Inc.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
BAQ.P,TSXV,Stock,Bluewater Acquisition Corp.,BAQ.P,Bluewater Acquisition Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
BBD,TSX,Stock,Bombardier Inc.,BBD,Bombardier Inc.,TSX,Industrial Products & Services,,Industrials,accept
BEK,TSX,Stock,Becker Milk Company Ltd. (The),BEK,Becker Milk Company Ltd. (The),TSX,Real Estate,,Real Estate,accept
BENZ,TSX,Stock,Mercedes-Benz CDR (CAD Hedged),BENZ,Mercedes-Benz CDR (CAD Hedged),TSX,CDR,,,unsupported_or_ambiguous_tmx_sector
BGI-UN,TSX,Stock,Brookfield Global Infrastructure Securities Income Fund,BGI,Brookfield Global Infrastructure Securities Income Fund,TSX,Closed-End Funds,,,unsupported_or_ambiguous_tmx_sector
BLCC.P,TSXV,Stock,Bow Lake Capital Corp.,BLCC.P,Bow Lake Capital Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
BLTC.P,TSXV,Stock,Baltic I Acquisition Corp.,BLTC.P,Baltic I Acquisition Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
BOFA,TSX,Stock,Bank of America CDR (CAD Hedged),BOFA,Bank of America CDR (CAD Hedged),TSX,CDR,,,unsupported_or_ambiguous_tmx_sector
BPO,TSX,Stock,Brookfield Office Properties Inc.,BPO,Brookfield Office Properties Inc.,TSX,Real Estate,,Real Estate,accept
BRCB.P,TSXV,Stock,Brachium2 Capital Corp.,BRCB.P,Brachium2 Capital Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
BUZ.P,TSXV,Stock,Buzz Capital Inc.,BUZ.P,Buzz Capital Inc.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
BUZH.P,TSXV,Stock,Buzz Capital 2 Inc.,BUZH.P,Buzz Capital 2 Inc.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
CAC.P,TSXV,Stock,Cinaport Acquisition Corp. III,CAC.P,Cinaport Acquisition Corp. III,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
CAPL.P,TSXV,Stock,Caplink Ventures Inc.,CAPL.P,Caplink Ventures Inc.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
CBAR.P,TSXV,Stock,Castlebar Capital Corp.,CBAR.P,Castlebar Capital Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
CCIC.P,TSXV,Stock,Chicane Capital I Corp.,CCIC.P,Chicane Capital I Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
CCZ.P,TSXV,Stock,Chablis Capital Corp.,CCZ.P,Chablis Capital Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
CEGS,TSX,Stock,Constellation Energy CDR (CAD Hedged),CEGS,Constellation Energy CDR (CAD Hedged),TSX,CDR,,,unsupported_or_ambiguous_tmx_sector
CES.P,TSXV,Stock,Celestial Acquisition Corp.,CES.P,Celestial Acquisition Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
CHII.P,TSXV,Stock,Chicane Capital II Corp.,CHII.P,Chicane Capital II Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
CIU,TSX,Stock,CU Inc.,CIU,CU Inc.,TSX,Utilities & Pipelines,,Utilities,accept
CNCO,TSXV,Stock,Core Nickel Corp.,,,,,,,no_tmx_symbol_match
CNJ.P,TSXV,Stock,CNJ Capital Investments Inc.,CNJ.P,CNJ Capital Investments Inc.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
CNST.P,TSXV,Stock,Constellation Capital Corp.,CNST.P,Constellation Capital Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
COLL.P,TSXV,Stock,Collingwood Resources Corp.,COLL.P,Collingwood Resources Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
COP-U,TSX,Stock,Sprott Physical Copper Trust,COP,Sprott Physical Copper Trust,TSX,Closed-End Funds,,,unsupported_or_ambiguous_tmx_sector
COP-UN,TSX,Stock,Sprott Physical Copper Trust,COP,Sprott Physical Copper Trust,TSX,Closed-End Funds,,,unsupported_or_ambiguous_tmx_sector
CSPN,TSXV,Stock,"CareSpan Health, Inc.",CSPN,"CareSpan Health, Inc.",TSXV,Life Sciences,,Health Care,accept
CT.P,TSXV,Stock,CarbonTech Capital Corp.,CT.P,CarbonTech Capital Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
CTH,TSXV,Stock,CoTec Holdings Corp.,CTH,CoTec Holdings Corp.,TSXV,Financial Services,Mining Services,Financials,accept
CTRL,TSXV,Stock,Edge Total Intelligence Inc.,CTRL,Edge Total Intelligence Inc.,TSXV,Technology,,Information Technology,accept
DAQ.P,TSXV,Stock,Dominus Acquisition Corp.,DAQ.P,Dominus Acquisition Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
DAY,TSX,Stock,"Dayforce, Inc.",,,,,,,no_tmx_symbol_match
DGL.P,TSXV,Stock,DGL Investments No. 1 Inc.,DGL.P,DGL Investments No. 1 Inc.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
DNTL,TSX,Stock,dentalcorp Holdings Ltd.,,,,,,,no_tmx_symbol_match
DPF,TSXV,Stock,Dr. Phone Fix Canada Corporation,DPF,Dr. Phone Fix Canada Corporation,TSXV,Consumer Products & Services,,,unsupported_or_ambiguous_tmx_sector
DRAX.P,TSXV,Stock,Draxos Capital Corp.,DRAX.P,Draxos Capital Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
DVX.P,TSXV,Stock,Drummond Ventures Corp.,DVX.P,Drummond Ventures Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
ECAP.P,TSXV,Stock,Endurance Capital Corp.,ECAP.P,Endurance Capital Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
