ticker,exchange,name,tv_symbol,tv_name,tv_exchange,tv_type,tv_subtype,tv_isin,tv_asset_class,category_update,decision
00728,TWSE,FSITC Taiwan Industry Elite 30 ETF,00728,FSITC Taiwan Industry Elite 30 ETF,TWSE,fund,etf,TW0000072800,c05f85d35d1cd0be6ebb2af4be16e06a,Equity,accept
00735,TWSE,Cathay Korea/taiwan IT Premier,00735,Cathay Korea/Taiwan IT Premier ETF,TWSE,fund,etf,TW0000073501,c05f85d35d1cd0be6ebb2af4be16e06a,Equity,accept
00894,TWSE,CTBC TIP Customized Investor Movement Aristocrats 30 ETF,00894,CTBC TIP Customized Investor Movement Aristocrats 30 ETF,TWSE,fund,etf,TW0000089408,c05f85d35d1cd0be6ebb2af4be16e06a,Equity,accept
00938,TWSE,KGI Taiwan Premium Selection 30 ETF,00938,KGI Taiwan Premium Selection 30 ETF Units,TWSE,fund,etf,TW0000093806,c05f85d35d1cd0be6ebb2af4be16e06a,Equity,accept
00945B,TWSE,KGI SECURITIES INVT TST CO LTD,00945B,KGI US Premium Selection High Yield Bond ETF Units,TWSE,fund,etf,TW00000945B5,b6e443a6c4a8a2e7918c5dbf3d45c796,,name_mismatch
ATCL,NYSE ARCA,REX ETF Trust,ATCL,REX Autocallable Income ETF,AMEX,fund,etf,US7615628598,4071518f1736a5a43dae51b47590322f,,name_mismatch
BCGD,NYSE,Baron ETF Trust,BCGD,Baron Global Durable Advantage ETF,NYSE,fund,etf,US06829D2062,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
BCSM,NYSE,Baron ETF Trust,BCSM,Baron SMID Cap ETF,NYSE,fund,etf,US06829D3052,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
BEEX,NASDAQ,The Beehive ETF,BEEX,Beehive ETF,NASDAQ,fund,etf,US45259A7616,c05f85d35d1cd0be6ebb2af4be16e06a,Equity,accept
BENJ,NYSE ARCA,Horizon Landmark ETF,BENJ,Horizon Landmark ETF,AMEX,fund,etf,US44053A6221,b6e443a6c4a8a2e7918c5dbf3d45c796,Fixed Income,accept
BPRO,NYSE ARCA,Bitwise Proficio Currency Debasement ETF,BPRO,Bitwise Proficio Currency Debasement ETF,AMEX,fund,etf,US09174D2018,b090e99b8d95f5837ec178c2d3d3fc50,,unsupported_asset_class
BQGE,XETRA,Ossiam Lux Barclays Quantic Global E NR,BQGE,Barclays Quantic Global E NR ETF Capitalisation - UCITS ETF 1C-,XETR,fund,etf,LU2491211004,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
BSET100,SET,BCAP SET100,BSET100,BCAP SET100 ETF,SET,fund,etf,TH8092010009,c05f85d35d1cd0be6ebb2af4be16e06a,Equity,accept
C9DY,XETRA,UmweltBank UCITS-ETF - Global SDG Focus,C9DY,UmweltBank UCITS-ETF FCP - Global SDG Focus,XETR,fund,etf,LU2679277744,c05f85d35d1cd0be6ebb2af4be16e06a,Equity,accept
CDO,ASX,CADENCE OPPORTUNITIES FUND LIMITED.,CDO,Cadence Opportunities Fund Ltd.,ASX,fund,closedend,AU0000186165,,,asset_type_mismatch
CFND,NYSE,C1 Fund Inc.,CFND,"C1 Fund, Inc.",NYSE,stock,common,US12673Q1031,,,asset_type_mismatch
CLCV,NYSE ARCA,Crossmark ETF Trust,CLCV,Crossmark Large Cap Value ETF,AMEX,fund,etf,US22767F2020,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
CLOB,NYSE ARCA,VanEck ETF Trust,CLOB,VanEck AA-BB CLO ETF,AMEX,fund,etf,US92189H6568,b6e443a6c4a8a2e7918c5dbf3d45c796,,name_mismatch
CMBG,LSE,UBS AG LONDON CERT PERP(CMDJGMT IDX),CMBG,UBS Bloomberg Constant Maturity Composite ETC GBP,LSE,fund,etf,CH0348206365,8fe80395f389e29e3ea42210337f0350,,name_mismatch
CPII,NYSE ARCA,American Beacon Select Funds,CPII,American Beacon Ionic Inflation Protection ETF,AMEX,fund,etf,US02368W5076,b6e443a6c4a8a2e7918c5dbf3d45c796,,name_mismatch
CSIO,NYSE ARCA,Cohen & Steers ETF Trust,CSIO,Cohen & Steers Infrastructure Opportunities Active ETF,AMEX,fund,etf,US19249U5002,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
CSPF,NYSE ARCA,Cohen & Steers ETF Trust,CSPF,Cohen & Steers Preferred and Income Opportunities Active ETF,AMEX,fund,etf,US19249U2033,b6e443a6c4a8a2e7918c5dbf3d45c796,,name_mismatch
CSSD,NYSE ARCA,Cohen & Steers ETF Trust,CSSD,Cohen & Steers Short Duration Preferred and Income Active ETF,AMEX,fund,etf,US19249U4013,b6e443a6c4a8a2e7918c5dbf3d45c796,,name_mismatch
D26G,LSE,ISHARES V PLC ISH IBONDS DEC 2026 TRM $ CRP GBP H,D26G,iShares iBonds Dec 2026 Term USD Corp UCITS ETF Hedged GBP,LSE,fund,etf,IE000KM34187,b6e443a6c4a8a2e7918c5dbf3d45c796,,name_mismatch
