ticker,exchange,name,tv_symbol,tv_name,tv_exchange,tv_type,tv_subtype,tv_isin,tv_asset_class,category_update,decision
00945B,TWSE,KGI SECURITIES INVT TST CO LTD,00945B,KGI US Premium Selection High Yield Bond ETF Units,TWSE,fund,etf,TW00000945B5,b6e443a6c4a8a2e7918c5dbf3d45c796,,name_mismatch
ATCL,NYSE ARCA,REX ETF Trust,ATCL,REX Autocallable Income ETF,AMEX,fund,etf,US7615628598,4071518f1736a5a43dae51b47590322f,,name_mismatch
BCGD,NYSE,Baron ETF Trust,BCGD,Baron Global Durable Advantage ETF,NYSE,fund,etf,US06829D2062,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
BCSM,NYSE,Baron ETF Trust,BCSM,Baron SMID Cap ETF,NYSE,fund,etf,US06829D3052,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
BPRO,NYSE ARCA,Bitwise Proficio Currency Debasement ETF,BPRO,Bitwise Proficio Currency Debasement ETF,AMEX,fund,etf,US09174D2018,b090e99b8d95f5837ec178c2d3d3fc50,,unsupported_asset_class
BQGE,XETRA,Ossiam Lux Barclays Quantic Global E NR,BQGE,Barclays Quantic Global E NR ETF Capitalisation - UCITS ETF 1C-,XETR,fund,etf,LU2491211004,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
CDO,ASX,CADENCE OPPORTUNITIES FUND LIMITED.,CDO,Cadence Opportunities Fund Ltd.,ASX,fund,closedend,AU0000186165,,,asset_type_mismatch
CFND,NYSE,C1 Fund Inc.,CFND,"C1 Fund, Inc.",NYSE,stock,common,US12673Q1031,,,asset_type_mismatch
CLCV,NYSE ARCA,Crossmark ETF Trust,CLCV,Crossmark Large Cap Value ETF,AMEX,fund,etf,US22767F2020,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
CLOB,NYSE ARCA,VanEck ETF Trust,CLOB,VanEck AA-BB CLO ETF,AMEX,fund,etf,US92189H6568,b6e443a6c4a8a2e7918c5dbf3d45c796,,name_mismatch
CMBG,LSE,UBS AG LONDON CERT PERP(CMDJGMT IDX),CMBG,UBS Bloomberg Constant Maturity Composite ETC GBP,LSE,fund,etf,CH0348206365,8fe80395f389e29e3ea42210337f0350,,name_mismatch
CPII,NYSE ARCA,American Beacon Select Funds,CPII,American Beacon Ionic Inflation Protection ETF,AMEX,fund,etf,US02368W5076,b6e443a6c4a8a2e7918c5dbf3d45c796,,name_mismatch
CSIO,NYSE ARCA,Cohen & Steers ETF Trust,CSIO,Cohen & Steers Infrastructure Opportunities Active ETF,AMEX,fund,etf,US19249U5002,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
CSPF,NYSE ARCA,Cohen & Steers ETF Trust,CSPF,Cohen & Steers Preferred and Income Opportunities Active ETF,AMEX,fund,etf,US19249U2033,b6e443a6c4a8a2e7918c5dbf3d45c796,,name_mismatch
CSSD,NYSE ARCA,Cohen & Steers ETF Trust,CSSD,Cohen & Steers Short Duration Preferred and Income Active ETF,AMEX,fund,etf,US19249U4013,b6e443a6c4a8a2e7918c5dbf3d45c796,,name_mismatch
D26G,LSE,ISHARES V PLC ISH IBONDS DEC 2026 TRM $ CRP GBP H,D26G,iShares iBonds Dec 2026 Term USD Corp UCITS ETF Hedged GBP,LSE,fund,etf,IE000KM34187,b6e443a6c4a8a2e7918c5dbf3d45c796,,name_mismatch
D28G,LSE,ISHARES V PLC ISH IBONDS DEC 2028 TRM $ CRP GBP H,D28G,iShares iBonds Dec 2028 Term USD Corp UCITS ETF Hedged GBP,LSE,fund,etf,IE000VVQWC23,b6e443a6c4a8a2e7918c5dbf3d45c796,,name_mismatch
DABS,NYSE ARCA,DoubleLine ETF Trust,DABS,Doubleline ABS ETF,AMEX,fund,etf,US25861R8088,b6e443a6c4a8a2e7918c5dbf3d45c796,,name_mismatch
DESK,NYSE ARCA,VanEck ETF Trust,DESK,VanEck Office and Commercial REIT ETF,AMEX,fund,etf,US92189H7145,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
DFNX,LSE,INVESCO MARKETS II PLC INVESCO,DFNX,Invesco Defence Innovation UCITS ETF AccumUSD,LSE,fund,etf,IE000BRM9046,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
DHLX,NYSE ARCA,Diamond Hill Funds,DHLX,Diamond Hill Large Cap Concentrated ETF,AMEX,fund,etf,US25264S3206,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
DN1,ASX,DOMINION INCOME TRUST 1,DN1,Dominion Income Trust 1,ASX,stock,common,AU0000381113,,,asset_type_mismatch
DSCF,BATS,Discipline Fund ETF,,,,,,,,,no_tradingview_match
DSPY,NYSE ARCA,Tema ETF Trust,DSPY,Tema S&P 500 Historical Weight ETF Strategy,AMEX,fund,etf,US87975E8268,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
EBRK11,B3,INVESTO BLUESTAR US LISTED E-BROKERS ETF FDO INV,,,,,,,,,no_tradingview_match
EIRE.P,TSXV,Monaghan Capital Fund Ltd.,EIRE.P,Monaghan Capital Fund Ltd,TSXV,stock,common,CA6090021008,,,asset_type_mismatch
EMPB,NYSE ARCA,Efficient Market Portfolio Plus ETF,EMPB,Efficient Market Portfolio Plus ETF Trust Units,AMEX,fund,etf,US02072Q8877,b090e99b8d95f5837ec178c2d3d3fc50,,unsupported_asset_class
ETC.U,TSX,Evolve Cryptocurrencies ETF,ETC.U,Evolve Cryptocurrencies ETF Unhedged Units USD (Canada),TSX,fund,etf,CA3005341043,1af0389838508d7016a9841eb6273962,,name_mismatch
FEU,NYSE ARCA,SPDR STOXX Europe 50 ETF,,,,,,,,,no_tradingview_match
GBXA,BATS,Goldman Sachs ETF Trust Goldman,,,,,,,,,no_tradingview_match
GDMA,BATS,Alpha Architect Gdsdn Dynmc Mlt-Asst ETF,GDMA,Gadsden Dynamic Multi-Asset ETF,CBOE,fund,etf,US02072L8708,b090e99b8d95f5837ec178c2d3d3fc50,,name_mismatch
GMOC,NYSE ARCA,GMO ETF Trust (Name to be changed from The 2023 ETF Series Trust II),GMOC,GMO Ultra-Short Income ETF,AMEX,fund,etf,US90139K8861,b6e443a6c4a8a2e7918c5dbf3d45c796,,name_mismatch
GMOD,NYSE ARCA,GMO Dynamic Allocation ETF,GMOD,GMO Dynamic Allocation ETF,AMEX,fund,etf,US90139K8788,b090e99b8d95f5837ec178c2d3d3fc50,,unsupported_asset_class
GMP,LSE,Gabelli Merchant Partners PLC,GMP,Gabelli Merchant Partners PLC,LSE,fund,closedend,GB00BD8P0741,,,asset_type_mismatch
GQI,NYSE ARCA,Natixis ETF Trust,GQI,Natixis Gateway Quality Income ETF,AMEX,fund,etf,US63873X3070,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
GSOV,XETRA,Franklin Sust Euro Green Sov ETF EUR Acc,GSOV,Franklin Sustainable Euro Green Sovereign UCITS ETF AccumEUR,XETR,fund,etf,IE000P0R7WK6,b6e443a6c4a8a2e7918c5dbf3d45c796,,name_mismatch
HAKY,NYSE ARCA,Amplify ETF Trust,HAKY,Amplify HACK Cybersecurity Covered Call ETF,AMEX,fund,etf,US0321083596,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
