ticker,exchange,name,tv_symbol,tv_name,tv_exchange,tv_type,tv_subtype,tv_isin,tv_asset_class,category_update,decision
00945B,TWSE,KGI SECURITIES INVT TST CO LTD,00945B,KGI US Premium Selection High Yield Bond ETF Units,TWSE,fund,etf,TW00000945B5,b6e443a6c4a8a2e7918c5dbf3d45c796,Fixed Income,accept
BPRO,NYSE ARCA,Bitwise Proficio Currency Debasement ETF,BPRO,Bitwise Proficio Currency Debasement ETF,AMEX,fund,etf,US09174D2018,b090e99b8d95f5837ec178c2d3d3fc50,Alternative,accept
BQGE,XETRA,Ossiam Lux Barclays Quantic Global E NR,BQGE,Barclays Quantic Global E NR ETF Capitalisation - UCITS ETF 1C-,XETR,fund,etf,LU2491211004,c05f85d35d1cd0be6ebb2af4be16e06a,Equity,accept
CDO,ASX,CADENCE OPPORTUNITIES FUND LIMITED.,CDO,Cadence Opportunities Fund Ltd.,ASX,fund,closedend,AU0000186165,,,asset_type_mismatch
CFND,NYSE,C1 Fund Inc.,CFND,"C1 Fund, Inc.",NYSE,stock,common,US12673Q1031,,,asset_type_mismatch
CMBG,LSE,UBS AG LONDON CERT PERP(CMDJGMT IDX),CMBG,UBS Bloomberg Constant Maturity Composite ETC GBP,LSE,fund,etf,CH0348206365,8fe80395f389e29e3ea42210337f0350,Commodity,accept
D26G,LSE,ISHARES V PLC ISH IBONDS DEC 2026 TRM $ CRP GBP H,D26G,iShares iBonds Dec 2026 Term USD Corp UCITS ETF Hedged GBP,LSE,fund,etf,IE000KM34187,b6e443a6c4a8a2e7918c5dbf3d45c796,Fixed Income,accept
D28G,LSE,ISHARES V PLC ISH IBONDS DEC 2028 TRM $ CRP GBP H,D28G,iShares iBonds Dec 2028 Term USD Corp UCITS ETF Hedged GBP,LSE,fund,etf,IE000VVQWC23,b6e443a6c4a8a2e7918c5dbf3d45c796,Fixed Income,accept
DFNX,LSE,INVESCO MARKETS II PLC INVESCO,DFNX,Invesco Defence Innovation UCITS ETF AccumUSD,LSE,fund,etf,IE000BRM9046,c05f85d35d1cd0be6ebb2af4be16e06a,Equity,accept
DN1,ASX,DOMINION INCOME TRUST 1,DN1,Dominion Income Trust 1,ASX,stock,common,AU0000381113,,,asset_type_mismatch
DSCF,BATS,Discipline Fund ETF,,,,,,,,,no_tradingview_match
EBRK11,B3,INVESTO BLUESTAR US LISTED E-BROKERS ETF FDO INV,,,,,,,,,no_tradingview_match
EIRE.P,TSXV,Monaghan Capital Fund Ltd.,EIRE.P,Monaghan Capital Fund Ltd,TSXV,stock,common,CA6090021008,,,asset_type_mismatch
EMPB,NYSE ARCA,Efficient Market Portfolio Plus ETF,EMPB,Efficient Market Portfolio Plus ETF Trust Units,AMEX,fund,etf,US02072Q8877,b090e99b8d95f5837ec178c2d3d3fc50,Alternative,accept
ETC.U,TSX,Evolve Cryptocurrencies ETF,ETC.U,Evolve Cryptocurrencies ETF Unhedged Units USD (Canada),TSX,fund,etf,CA3005341043,1af0389838508d7016a9841eb6273962,,unsupported_asset_class
FEU,NYSE ARCA,SPDR STOXX Europe 50 ETF,,,,,,,,,no_tradingview_match
GBXA,BATS,Goldman Sachs ETF Trust Goldman,,,,,,,,,no_tradingview_match
