ticker,exchange,asset_type,name,tv_symbol,tv_name,tv_exchange,tv_type,tv_subtype,tv_isin,tv_sector,tv_industry,tv_country,name_match,peer_name_match,decision
001229,SZSE,Stock,Guangdong AVCiT Tech Hldg Co,001229,Guangdong Avcit Technology Holding Co Ltd. Class A,SZSE,stock,common,CNE100005JC1,Consumer Durables,Electronics/Appliances,China,False,True,name_mismatch
001239,SZSE,Stock,Xiangtan Yongda Mach Mnfg Co,001239,"Xiangtan Yongda Machinery Manufacturing Co., Ltd. Class A",SZSE,stock,common,CNE100006CJ9,Producer Manufacturing,Metal Fabrication,China,False,True,name_mismatch
001255,SZSE,Stock,Zhejiang Bofay Elec Co Ltd,001255,"Zhejiang Bofay Electric Co., Ltd. Class A",SZSE,stock,common,CNE100005KS5,Process Industries,Industrial Specialties,China,False,True,name_mismatch
001316,SZSE,Stock,Zhejiang XiaSha Precision,001316,"Lubair Aviation Technology Co., Ltd. Class A",SZSE,stock,common,CNE100005DM3,Distribution Services,Wholesale Distributors,China,False,True,name_mismatch
001366,SZSE,Stock,Boen Group Co. Ltd. Cl A,001366,"Boen Group Co., Ltd. Class A",SZSE,stock,common,CNE1000061K1,Process Industries,Agricultural Commodities/Milling,China,False,True,name_mismatch
001387,SZSE,Stock,Hefei Snowky Elec Co Ltd,001387,"Hefei Snowky Electric Co., Ltd. Class A",SZSE,stock,common,CNE100006D83,Consumer Durables,Electronics/Appliances,China,False,True,name_mismatch
001388,SZSE,Stock,Shandong Senter Electn Co Ltd,001388,"Shandong Senter Electronic Co., Ltd. Class A",SZSE,stock,common,CNE1000071J2,Electronic Technology,Aerospace & Defense,China,False,True,name_mismatch
159001,SZSE,ETF,货币ETF易方达,159001,E FUND MANAGEMENT CO LTD,SZSE,fund,etf,,Miscellaneous,Investment Trusts/Mutual Funds,China,False,False,missing_isin
159003,SZSE,ETF,招商快线ETF,159003,CHINA MERCHANTS FUND MANAGEMENT CO,SZSE,fund,etf,,Miscellaneous,Investment Trusts/Mutual Funds,China,False,False,missing_isin
159005,SZSE,ETF,快钱ETF汇添富,159005,China Universal Income fast money Money market Fund Class A Units,SZSE,fund,etf,CNE1000039J9,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159150,SZSE,ETF,深证50ETF易方达,159150,E Fund Shenzhen 50 Index ETF,SZSE,fund,etf,CNE100006B28,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159350,SZSE,ETF,深证50ETF富国,159350,Fullgoal Shenzhen Securities 50 ETF,SZSE,fund,etf,CNE100006B85,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159367,SZSE,ETF,China Securities Tech Innovation and Entrepreneurship 50 ETF,159367,ChinaAMC GEM 50 Units,SZSE,fund,etf,CNE100006T77,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,name_mismatch
159501,SZSE,ETF,纳指ETF嘉实,159501,Harvest Nasdaq 100 Exchange Traded Fund Units,SZSE,fund,etf,CNE1000062L7,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159502,SZSE,ETF,标普生物科技ETF嘉实,159502,Harvest S&P Biotechnology Select Industry ETF,SZSE,fund,etf,CNE100006CZ5,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159505,SZSE,ETF,国证2000ETF博时,159505,Bosera CNI 2000 ETF,SZSE,fund,etf,CNE1000069F4,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159506,SZSE,ETF,港股通医疗ETF富国,159506,Hang Seng Healthcare ETF,SZSE,fund,etf,CNE100006368,Miscellaneous,Investment Trusts/Mutual Funds,Hong Kong,False,True,accept
159507,SZSE,ETF,通信ETF广发,159507,GF Guozheng Communication ETF,SZSE,fund,etf,CNE1000062Y0,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159508,SZSE,ETF,生物医药ETF华安,159508,Huaan Guozheng Biomedical ETF,SZSE,fund,etf,CNE1000063X0,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159509,SZSE,ETF,纳指科技ETF景顺,159509,INVESCO Great Wall Nasdaq Technology Market Cap Weighted Exchange Traded Fund Units,SZSE,fund,etf,CNE1000063Y8,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159510,SZSE,ETF,沪深300价值ETF华夏,159510,ChinaAMC CSI Smart Selected 300 Value Stable Exchange Traded Fund Units,SZSE,fund,etf,CNE1000065Z0,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159511,SZSE,ETF,通信ETF南方,159511,China Southern CSI Communication Services Exchange Traded Fund Units,SZSE,fund,etf,CNE100006608,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159512,SZSE,ETF,汽车ETF广发,159512,GF CSI All Share Automobiles ETF,SZSE,fund,etf,CNE1000063Z5,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
