ticker,exchange,asset_type,name,tv_symbol,tv_name,tv_exchange,tv_type,tv_subtype,tv_isin,tv_sector,tv_industry,tv_country,name_match,peer_name_match,decision
786,PSX,Stock,786 Investment Limited,786,786 Investments Limited,PSX,stock,common,PK0061101017,Finance,Investment Managers,Pakistan,False,True,name_mismatch
ACIETF,PSX,ETF,Alfalah Consumer Index ETF,,,,,,,,,,False,False,no_tradingview_match
DHPL,PSX,Stock,DH Partners Ltd.,,,,,,,,,,False,False,no_tradingview_match
DMTX,PSX,Stock,D. M. Textile Mills Limited,,,,,,,,,,False,False,no_tradingview_match
ELCM,PSX,Stock,Elahi Cotton Mills Limited,ELCM,Elahi Cotton Mills Limited,PSX,stock,common,PK0020501018,Process Industries,Textiles,Pakistan,True,True,accept
FDPL,PSX,Stock,First Dawood Prop,FDPL,First Dawood Properties Limited,PSX,stock,common,PK0063401019,Finance,Investment Banks/Brokers,Pakistan,False,True,name_mismatch
GEMSPNL,PSX,Stock,Supernet Ltd.,,,,,,,,,,False,False,no_tradingview_match
HBLTETF,PSX,ETF,HBL Total TreasuryXD,,,,,,,,,,False,False,no_tradingview_match
HRPL,PSX,Stock,Habib Rice Prod,HRPL,Habib Rice Products Ltd.,PSX,stock,common,PK0026401015,Process Industries,Agricultural Commodities/Milling,Pakistan,False,True,name_mismatch
IGIHL,PSX,Stock,IGI Holdings,IGIHL,IGI Holdings Limited,PSX,stock,common,PK0032601012,Finance,Multi-Line Insurance,Pakistan,False,True,name_mismatch
IML,PSX,Stock,Imperial Limite,IML,Imperial Limited,PSX,stock,common,PK0093001011,Process Industries,Agricultural Commodities/Milling,Pakistan,False,True,name_mismatch
IPAK,PSX,Stock,Int. Packaging Films,IPAK,International Packaging Films Ltd.,PSX,stock,common,PK0111801012,Process Industries,Containers/Packaging,Pakistan,False,True,name_mismatch
JSGBETF,PSX,ETF,JS Global Banking,,,,,,,,,,False,False,no_tradingview_match
JSMFETF,PSX,ETF,JS Momentum,,,,,,,,,,False,False,no_tradingview_match
LCI,PSX,Stock,Lucky Core Ind. Ltd,LCI,Lucky Core Industries Limited,PSX,stock,common,PK0003101018,Process Industries,Chemicals: Specialty,Pakistan,False,True,name_mismatch
LSEFSL,PSX,Stock,LSE Fin. Ser. Ld,LSEFSL,LSE Financial Services Limited,PSX,stock,common,PK0104901019,Finance,Finance/Rental/Leasing,Pakistan,False,True,name_mismatch
MCBIM,PSX,Stock,MCB Investment Manag,MCBIM,MCB Investment Management Limited,PSX,stock,common,PK0082101012,Finance,Investment Managers,Pakistan,False,True,name_mismatch
MIIETF,PSX,ETF,Mahanna Islamic Inde,,,,,,,,,,False,False,no_tradingview_match
MZNPETF,PSX,ETF,Meezan Pakistan,,,,,,,,,,False,False,no_tradingview_match
NBPGETF,PSX,ETF,NBP Pakistan G ETFXD,,,,,,,,,,False,False,no_tradingview_match
NITGETF,PSX,ETF,NIT PakistanXD,,,,,,,,,,False,False,no_tradingview_match
STL,PSX,Stock,Supernet Technologie,STL,Supernet Technologies Limited,PSX,stock,common,PK0119101019,Finance,Property/Casualty Insurance,Pakistan,False,True,name_mismatch
STYLERS,PSX,Stock,Stylers Int.,STYLERS,Stylers International Limited,PSX,stock,common,PK0143701016,Consumer Non-Durables,Apparel/Footwear,Pakistan,False,True,name_mismatch
TPLRF1,PSX,Stock,TPL Reit Fund 1,,,,,,,,,,False,False,no_tradingview_match
UBLPETF,PSX,ETF,UBLPakistanETF XD,,,,,,,,,,False,False,no_tradingview_match
WAFI,PSX,Stock,Wafi Energy Pak Ltd.,WAFI,Wafi Energy Pakistan Limited,PSX,stock,common,PK0016701010,Distribution Services,Wholesale Distributors,Pakistan,False,True,name_mismatch
WASL,PSX,Stock,Wasi Mobility Mod,WASL,Wasl Mobility Modaraba,PSX,stock,common,PK0042801016,Finance,Finance/Rental/Leasing,Pakistan,False,True,name_mismatch
WAVESAPP,PSX,Stock,Waves Home App,WAVESAPP,Waves Home Appliances Ltd,PSX,stock,common,PK0068401014,Consumer Durables,Electronics/Appliances,Pakistan,False,True,name_mismatch
