ticker,exchange,asset_type,name,tv_symbol,tv_name,tv_exchange,tv_type,tv_subtype,tv_isin,tv_sector,tv_industry,tv_country,name_match,peer_name_match,decision
00625K,TWSE,ETF,Fubon SSE180 Exchange Traded Fund,00625K,Fubon SSE180 ETF CNY,TWSE,fund,etf,TW00000625K4,Miscellaneous,Investment Trusts/Mutual Funds,Taiwan,False,True,name_mismatch
01001T,TWSE,ETF,Fubon No.1 Real Estate Investment Trust,01001T,Fubon No.1 Real Estate Investment Trust,TWSE,stock,common,TW00001001T8,Finance,Real Estate Investment Trusts,Taiwan,True,True,asset_type_mismatch
01007T,TWSE,ETF,Cathay No.2 REIT,01007T,Cathay No. 2 Real Estate Investment Trust,TWSE,stock,common,TW00001007T5,Finance,Real Estate Investment Trusts,Taiwan,False,True,asset_type_mismatch
01009T,TWSE,ETF,O Bank No. 1 REIT,01009T,O-Bank No.1 Real Estate Investment Trust,TWSE,stock,common,TW00001009T1,Finance,Real Estate Investment Trusts,Taiwan,False,True,asset_type_mismatch
01010T,TWSE,ETF,Millerful No. 1 REIT,01010T,Millerful No 1 Real Estate Investment Trust,TWSE,stock,common,TW00001010T9,Finance,Real Estate Investment Trusts,Taiwan,False,True,asset_type_mismatch
1256,TWSE,Stock,鮮活控股股份有限公司,1256,"Sunjuice Holdings Co., Ltd.",TWSE,stock,common,KYG858681003,Consumer Non-Durables,Beverages: Non-Alcoholic,China,False,True,name_mismatch
1337,TWSE,Stock,亞洲塑膠再生資源控股有限公司,1337,Asia Plastic Recycling Holding Limited,TWSE,stock,common,KYG0539R1039,Producer Manufacturing,Miscellaneous Manufacturing,Taiwan,False,True,name_mismatch
1338,TWSE,Stock,廣華控股有限公司,1338,Hiroca Holdings Ltd.,TWSE,stock,common,KYG451001070,Producer Manufacturing,Auto Parts: OEM,China,False,True,name_mismatch
1340,TWSE,Stock,勝悅新材料有限公司,1340,Victory New Materials Ltd. Co.,TWSE,stock,common,KYG935971054,Consumer Non-Durables,Apparel/Footwear,China,False,True,name_mismatch
1341,TWSE,Stock,富林塑膠工業(開曼)控股(股)公司,1341,"Fulin Plastic Industry (Cayman) Holding Co., Ltd.",TWSE,stock,common,KYG3730M1050,Process Industries,Textiles,Vietnam,False,True,name_mismatch
1589,TWSE,Stock,永冠能源科技集團有限公司,,,,,,,,,,False,False,no_tradingview_match
1590,TWSE,Stock,亞德客國際集團,1590,Airtac International Group,TWSE,stock,common,KYG014081064,Producer Manufacturing,Industrial Machinery,Taiwan,False,True,name_mismatch
2115,TWSE,Stock,六暉控股股份有限公司,2115,Lu Hai Holding Corp.,TWSE,stock,common,KYG5700L1086,Producer Manufacturing,Auto Parts: OEM,Taiwan,False,True,name_mismatch
2248,TWSE,Stock,華勝汽車電子股份有限公司,2248,"Shining Victory Motor Electronic Co., Ltd.",TWSE,stock,common,KYG8T24R1076,Producer Manufacturing,Auto Parts: OEM,Taiwan,False,True,name_mismatch
2250,TWSE,Stock,第一化成控股(開曼)股份有限公司,2250,Ikka Holdings (Cayman) Limited,TWSE,stock,common,KYG4R56R1099,Producer Manufacturing,Auto Parts: OEM,Taiwan,False,True,name_mismatch
