ticker,exchange,name,tv_symbol,tv_name,tv_exchange,tv_type,tv_isin,tv_sector,tv_industry,sector_update,decision
0HRZ,LSE,Cabot Oil & Gas Corp.,,,,,,,,,no_tradingview_match
0NHV,LSE,Recticel S.A.,,,,,,,,,no_tradingview_match
AIQ,ASX,Alternative Investment Trust,AIQ,Alternative Investment Trust Units,ASX,fund,AU000000AIQ2,Miscellaneous,Investment Trusts/Mutual Funds,,asset_type_mismatch
ALI,ASX,Argo Global Listed Infrastructure Limited,ALI,Argo Global Listed Infrastructure Ltd.,ASX,fund,AU000000ALI3,Miscellaneous,Investment Trusts/Mutual Funds,,asset_type_mismatch
ALU,ASX,Alurion Resources Limited,,,,,,,,,no_tradingview_match
BTC,ASX,Btc Health Ltd,BTC,BTC Health Ltd Registered,ASX,fund,AU000000BTC7,Finance,Investment Managers,,asset_type_mismatch
CAM,ASX,Clime Capital Limited,CAM,Clime Capital Limited,ASX,fund,AU000000CAM4,Miscellaneous,Investment Trusts/Mutual Funds,,asset_type_mismatch
CPIS12,B3,EQUATORIAL PIAUI DISTRIBUIDORA DE ENERGIA S.A,,,,,,,,,no_tradingview_match
DPC,NYSE,DPC Holdings PLC Ordinary Shares,DPC,DPC Holdings PLC,NYSE,stock,JE00BPK4NV88,Finance,Real Estate Development,Real Estate,accept
IBC,ASX,Ironbark Balanced Income Limited,IBC,Ironbark Balanced Income Limited Registered,ASX,fund,AU000000IBC0,Miscellaneous,Investment Trusts/Mutual Funds,,asset_type_mismatch
IPNN3,B3,TESTE IPN VS SA,,,,,,,,,no_tradingview_match
ITG,NASDAQ,"ITG, Inc. - Class A Common Stock",ITG,ITG Inc. Class A,NASDAQ,stock,US45047B1052,Industrial Services,Engineering & Construction,Industrials,accept
JIGI,LSE,JPMorgan India Growth & Income PLC,JIGI,JPMorgan India Growth & Income PLC GBP,LSE,fund,GB0003450359,Miscellaneous,Investment Trusts/Mutual Funds,,asset_type_mismatch
KFW,ASX,KFW,,,,,,,,,no_tradingview_match
LSX,ASX,Lion Selection Group Limited.,LSX,Lion Selection Group Ltd.,ASX,fund,AU000000LSX4,Finance,Investment Managers,,asset_type_mismatch
NCC,ASX,Naos Emerging Opportunities Company Limited,NCC,NAOS Emerging Opportunities Co. Ltd.,ASX,fund,AU000000NCC8,Miscellaneous,Investment Trusts/Mutual Funds,,asset_type_mismatch
NSC,ASX,Naos Small Cap Opportunities Company Limited,NSC,NAOS Small Cap Opportunities Company Ltd,ASX,fund,AU000000NSC4,Miscellaneous,Investment Trusts/Mutual Funds,,asset_type_mismatch
OBIO3,B3,OLEOPLAN S.A - ÓLEOS VEGETAIS PLANALTO,,,,,,,,,no_tradingview_match
PCI,ASX,Perpetual Credit Income Trust,PCI,Perpetual Credit Income Trust,ASX,fund,AU0000041261,Miscellaneous,Investment Trusts/Mutual Funds,,asset_type_mismatch
PLSP3,B3,PLASCORP PARTICIPAÇÕES S.A.,,,,,,,,,no_tradingview_match
RENT.P,TSXV,Shine Box Capital Corp.,,,,,,,,,no_tradingview_match
RJSA3,B3,RJS S.A.,,,,,,,,,no_tradingview_match
SPT6,XETRA,Beta Systems Software AG,,,,,,,,,no_tradingview_match
TCF,ASX,360 Capital Mortgage Reit,TCF,360 Capital Mortgage REIT,ASX,fund,AU0000108771,Miscellaneous,Investment Trusts/Mutual Funds,,asset_type_mismatch
WAM,ASX,Wam Capital Limited,WAM,WAM Capital Ltd.,ASX,fund,AU000000WAM2,Miscellaneous,Investment Trusts/Mutual Funds,,asset_type_mismatch
WMA,ASX,Wam Alternative Assets Limited,WMA,WAM Alternative Assets Ltd,ASX,fund,AU0000110827,Miscellaneous,Investment Trusts/Mutual Funds,,asset_type_mismatch
XCL,ASX,AUSTRALIAN COMMONWEALTH GOVERNMENT LOANS,,,,,,,,,no_tradingview_match
ZOR,ASX,ORDINARY (UNLISTED/LISTED - COSACS),,,,,,,,,no_tradingview_match
ZYNS,TSX,Philip Morris CDR (CAD Hedged),ZYNS,Philip Morris International Inc. Unsponsored Canadian Depository Receipt Hedged Reg S,TSX,dr,CA7183911055,Consumer Non-Durables,Tobacco,,asset_type_mismatch
