ticker,exchange,name,tv_symbol,tv_name,tv_exchange,tv_type,tv_sector,tv_industry,sector_update,decision
0373,Bursa,VERDANT,,,,,,,,no_tradingview_match
1010,TADAWUL,RIBL,1010,Riyad Bank,TADAWUL,stock,Finance,Major Banks,,name_mismatch
1020,TADAWUL,BJAZ,1020,Bank Aljazira,TADAWUL,stock,Finance,Major Banks,,name_mismatch
1030,TADAWUL,SAIB,1030,Saudi Investment Bank,TADAWUL,stock,Finance,Regional Banks,,name_mismatch
1050,TADAWUL,BSF,1050,Banque Saudi Fransi,TADAWUL,stock,Finance,Major Banks,,name_mismatch
1060,TADAWUL,SAB,1060,Saudi Awwal Bank,TADAWUL,stock,Finance,Major Banks,,name_mismatch
1080,TADAWUL,ANB,1080,Arab National Bank,TADAWUL,stock,Finance,Major Banks,,name_mismatch
1111,TADAWUL,TADAWUL GROUP,1111,Saudi Tadawul Group Holding Company,TADAWUL,stock,Finance,Investment Banks/Brokers,,name_mismatch
1120,TADAWUL,ALRAJHI,1120,Al Rajhi Bank,TADAWUL,stock,Finance,Major Banks,,name_mismatch
1140,TADAWUL,ALBILAD,1140,Bank Albilad,TADAWUL,stock,Finance,Regional Banks,,name_mismatch
1150,TADAWUL,ALINMA,1150,Alinma Bank,TADAWUL,stock,Finance,Major Banks,,name_mismatch
1180,TADAWUL,SNB,1180,Saudi National Bank,TADAWUL,stock,Finance,Major Banks,,name_mismatch
1182,TADAWUL,AMLAK,1182,Amlak International for Real Estate Finance Company,TADAWUL,stock,Finance,Real Estate Investment Trusts,,name_mismatch
1183,TADAWUL,SHL,1183,SHL Finance Co.,TADAWUL,stock,Finance,Finance/Rental/Leasing,,name_mismatch
1202,TADAWUL,MEPCO,1202,Middle East Paper Co.,TADAWUL,stock,Process Industries,Pulp & Paper,,name_mismatch
1211,TADAWUL,MAADEN,1211,Saudi Arabian Mining Co.,TADAWUL,stock,Non-Energy Minerals,Other Metals/Minerals,,name_mismatch
1212,TADAWUL,ASTRA INDUSTRIAL,1212,Astra Industrial Group,TADAWUL,stock,Health Technology,Pharmaceuticals: Major,Health Care,accept
1214,TADAWUL,SHAKER,1214,Al Hassan Ghazi Ibrahim Shaker Co.,TADAWUL,stock,Distribution Services,Wholesale Distributors,,name_mismatch
1256,TWSE,鮮活控股股份有限公司,1256,"Sunjuice Holdings Co., Ltd.",TWSE,stock,Consumer Non-Durables,Beverages: Non-Alcoholic,,name_mismatch
