ticker,exchange,name,tv_symbol,tv_name,tv_exchange,tv_type,tv_isin,tv_sector,tv_industry,sector_update,decision
02P,XETRA,PEARL GOLD AG,,,,,,,,,no_tradingview_match
0373,Bursa,VERDANT,,,,,,,,,no_tradingview_match
0A2T,LSE,High Templar Tech Limited,0A2T,High Templar Tech Limited Sponsored ADR Class A,LSE,dr,US7477981069,Technology Services,Internet Software/Services,,asset_type_mismatch
0A2Y,LSE,"Telefónica, S.A.",0A2Y,Telefonica SA Sponsored ADR,LSE,dr,US8793822086,Communications,Specialty Telecommunications,,asset_type_mismatch
0A90,LSE,0A90,,,,,,,,,no_tradingview_match
0AAE,LSE,AutoStore Holdings Ltd.,,,,,,,,,no_tradingview_match
0AAR,LSE,INTERCOS SPA INTERCOS ORD SHS,,,,,,,,,no_tradingview_match
0AB5,LSE,Iveco Group N.V.,,,,,,,,,no_tradingview_match
0AB7,LSE,Technoprobe S.p.A.,,,,,,,,,no_tradingview_match
0ABE,LSE,Ariston Holding N.V.,,,,,,,,,no_tradingview_match
0ABP,LSE,NOVEM GROUP SA NOVEM GROUP ORD SHS,,,,,,,,,no_tradingview_match
0AC9,LSE,DSM-Firmenich AG,,,,,,,,,no_tradingview_match
0ADF,LSE,ARM Holdings,0ADF,ARM Holdings PLC Sponsored ADR,LSE,dr,US0420682058,Electronic Technology,Semiconductors,,asset_type_mismatch
0DXU,LSE,Cembre S.p.A. Ord,0DXU,Cembre S.p.A.,LSE,stock,IT0001128047,Electronic Technology,Electronic Components,Information Technology,accept
0E1Y,LSE,Chargeurs,,,,,,,,,no_tradingview_match
0EGH,LSE,Fiera Milano S.p.A.,,,,,,,,,no_tradingview_match
0ET5,LSE,Vastned Retail Belgium,0ET5,Vastned,LSE,stock,BE0003754687,Finance,Real Estate Development,Real Estate,accept
0F5A,LSE,LINZ TEXTIL HOLDING AG LINZ TEXTIL HOLDING ORD SHS,0F5A,Linz Textil Holding Aktiengesellschaft,LSE,stock,AT0000723606,Process Industries,Textiles,Materials,accept
0GA3,LSE,Telecom Italia S.p.A. RNC,,,,,,,,,no_tradingview_match
0GNK,LSE,Knowit AB,,,,,,,,,no_tradingview_match
0HGC,LSE,APA Corp.,0HGC,APA Corporation,LSE,stock,US03743Q1085,Energy Minerals,Integrated Oil,Energy,accept
0HX1,LSE,Olympique Lyonnais Groupe,0HX1,Eagle Football Group,LSE,stock,FR0010428771,Consumer Services,Movies/Entertainment,Communication Services,accept
0HZC,LSE,Eurazeo,,,,,,,,,no_tradingview_match
0I3I,LSE,Cooper Cos.,0I3I,"Cooper Companies, Inc.",LSE,stock,US2166485019,Health Technology,Medical Specialties,Health Care,accept
0ILI,LSE,Fluidra S.A.,,,,,,,,,no_tradingview_match
0ITS,LSE,Gap Inc.,0ITS,"Gap, Inc.",LSE,stock,US3647601083,Retail Trade,Apparel/Footwear Retail,Consumer Discretionary,accept
0J3H,LSE,Hartford Financial Services Group Inc.,0J3H,"Hartford Insurance Group, Inc.",LSE,stock,US4165151048,Finance,Property/Casualty Insurance,Financials,accept
0JW2,LSE,M&T Bank Corp.,0JW2,M&T Bank Corporation,LSE,stock,US55261F1049,Finance,Regional Banks,Financials,accept
0K7V,LSE,News Corp Cl B,0K7V,News Corporation Class B,LSE,stock,US65249B2088,Consumer Services,Publishing: Newspapers,Consumer Discretionary,accept
0KJZ,LSE,Post Holdings Inc.,0KJZ,"Post Holdings, Inc.",LSE,stock,US7374461041,Consumer Non-Durables,Food: Specialty/Candy,Consumer Staples,accept
0KO8,LSE,Enea S.A.,,,,,,,,,no_tradingview_match
0L9J,LSE,Kontron AG,,,,,,,,,no_tradingview_match
0LHX,LSE,U.S. Global Investors Inc. Cl A,0LHX,"U.S. Global Investors, Inc. Class A",LSE,stock,US9029521005,Miscellaneous,Investment Trusts/Mutual Funds,,unsupported_sector
0LS5,LSE,CCC S.A.,,,,,,,,,no_tradingview_match
0M0,XETRA,AVERDION SE INH. O.N.,0M0,AVERDION SE,XETR,stock,DE000A3ESL51,Commercial Services,Miscellaneous Commercial Services,Industrials,accept
0M0E,LSE,Ercros S.A.,,,,,,,,,no_tradingview_match
0MFW,LSE,KBC Ancora,,,,,,,,,no_tradingview_match
0MO8,LSE,SED Energy Holdings Plc,0MO8,Sed Energy Holdings PLC,LSE,stock,CY0101162119,Finance,Financial Conglomerates,,unsupported_sector
0MR4,LSE,Byggmax Group AB,,,,,,,,,no_tradingview_match
0MUN,LSE,Iren S.p.A.,,,,,,,,,no_tradingview_match
0N75,LSE,Bonduelle SAS,,,,,,,,,no_tradingview_match
0NE1,LSE,MFE MEDIAFOREUROPE NV,,,,,,,,,no_tradingview_match
0NOL,LSE,Adva Optical Networking SE,,,,,,,,,no_tradingview_match
0NUX,LSE,Prysmian SpA,,,,,,,,,no_tradingview_match
0NW2,LSE,Randstad NV,,,,,,,,,no_tradingview_match
0NYY,LSE,Banco Comercial Portugues S/A,,,,,,,,,no_tradingview_match
0NZM,LSE,L’Oreal SA,,,,,,,,,no_tradingview_match
0O0N,LSE,Schouw & Co.,,,,,,,,,no_tradingview_match
0P0001J2VW,LSE,Amundi Index Solutions - Amundi MSCI Europe SRI PAB ,,,,,,,,,no_tradingview_match
0PAN,LSE,CPI Europe AG,,,,,,,,,no_tradingview_match
0Q2F,LSE,Distribuidora Internacional de Alimentacion SA,,,,,,,,,no_tradingview_match
0Q6M,LSE,Unipol Gruppo Finanziario Spa,,,,,,,,,no_tradingview_match
0QAP,LSE,Carmila,,,,,,,,,no_tradingview_match
0QNY,LSE,3M Co.,,,,,,,,,no_tradingview_match
0QO6,LSE,Julius Baer Gruppe AG,,,,,,,,,no_tradingview_match
0QR3,LSE,PG&E Corp.,0QR3,PG&E Corporation,LSE,stock,US69331C1080,Utilities,Electric Utilities,Utilities,accept
0QVF,LSE,FinecoBank S.p.A.,,,,,,,,,no_tradingview_match
0R7W,LSE,Promotora de Informaciones SA,,,,,,,,,no_tradingview_match
0RCY,LSE,Attendo International publ AB,,,,,,,,,no_tradingview_match
0RF7,LSE,Humana AB,,,,,,,,,no_tradingview_match
0RHN,LSE,AcadeMedia AB,,,,,,,,,no_tradingview_match
0RLT,LSE,Qiagen NV,,,,,,,,,no_tradingview_match
0RON,LSE,Banca Farmafactoring S.p.A.,,,,,,,,,no_tradingview_match
0STP,LSE,Immobiliare Grande Distribuzione SIIQ SpA,,,,,,,,,no_tradingview_match
0VBE,LSE,Osisko Gold Royalties Ltd.,0VBE,OR Royalties Inc.,LSE,stock,CA68390D1069,Non-Energy Minerals,Precious Metals,Materials,accept
0YAL,LSE,Boliden AB,,,,,,,,,no_tradingview_match
1010,TADAWUL,RIBL,1010,Riyad Bank,TADAWUL,stock,SA0007879048,Finance,Major Banks,Financials,accept
1020,TADAWUL,BJAZ,1020,Bank Aljazira,TADAWUL,stock,SA0007879055,Finance,Major Banks,Financials,accept
1030,TADAWUL,SAIB,1030,Saudi Investment Bank,TADAWUL,stock,SA0007879063,Finance,Regional Banks,Financials,accept
1050,TADAWUL,BSF,1050,Banque Saudi Fransi,TADAWUL,stock,SA0007879782,Finance,Major Banks,Financials,accept
1060,TADAWUL,SAB,1060,Saudi Awwal Bank,TADAWUL,stock,SA0007879089,Finance,Major Banks,Financials,accept
1080,TADAWUL,ANB,1080,Arab National Bank,TADAWUL,stock,SA0007879105,Finance,Major Banks,Financials,accept
1111,TADAWUL,TADAWUL GROUP,1111,Saudi Tadawul Group Holding Company,TADAWUL,stock,SA15DHKGHBH4,Finance,Investment Banks/Brokers,Financials,accept
1120,TADAWUL,ALRAJHI,1120,Al Rajhi Bank,TADAWUL,stock,SA0007879113,Finance,Major Banks,Financials,accept
1140,TADAWUL,ALBILAD,1140,Bank Albilad,TADAWUL,stock,SA000A0D9HK3,Finance,Regional Banks,Financials,accept
1150,TADAWUL,ALINMA,1150,Alinma Bank,TADAWUL,stock,SA122050HV19,Finance,Major Banks,Financials,accept
1180,TADAWUL,SNB,1180,Saudi National Bank,TADAWUL,stock,SA13L050IE10,Finance,Major Banks,Financials,accept
1182,TADAWUL,AMLAK,1182,Amlak International for Real Estate Finance Company,TADAWUL,stock,SA153G80IF11,Finance,Real Estate Investment Trusts,Real Estate,accept
1183,TADAWUL,SHL,1183,SHL Finance Co.,TADAWUL,stock,SA15HG50IFH7,Finance,Finance/Rental/Leasing,Financials,accept
1202,TADAWUL,MEPCO,1202,Middle East Paper Co.,TADAWUL,stock,SA13Q050IP16,Process Industries,Pulp & Paper,Materials,accept
1211,TADAWUL,MAADEN,1211,Saudi Arabian Mining Co.,TADAWUL,stock,SA123GA0ITH7,Non-Energy Minerals,Other Metals/Minerals,Materials,accept
1214,TADAWUL,SHAKER,1214,Al Hassan Ghazi Ibrahim Shaker Co.,TADAWUL,stock,SA12I0OGIV12,Distribution Services,Wholesale Distributors,Industrials,accept
1256,TWSE,鮮活控股股份有限公司,1256,"Sunjuice Holdings Co., Ltd.",TWSE,stock,KYG858681003,Consumer Non-Durables,Beverages: Non-Alcoholic,,name_mismatch
1337,TWSE,亞洲塑膠再生資源控股有限公司,1337,Asia Plastic Recycling Holding Limited,TWSE,stock,KYG0539R1039,Producer Manufacturing,Miscellaneous Manufacturing,,name_mismatch
1338,TWSE,廣華控股有限公司,1338,Hiroca Holdings Ltd.,TWSE,stock,KYG451001070,Producer Manufacturing,Auto Parts: OEM,,name_mismatch
1340,TWSE,勝悅新材料有限公司,1340,Victory New Materials Ltd. Co.,TWSE,stock,KYG935971054,Consumer Non-Durables,Apparel/Footwear,,name_mismatch
1341,TWSE,富林塑膠工業(開曼)控股(股)公司,1341,"Fulin Plastic Industry (Cayman) Holding Co., Ltd.",TWSE,stock,KYG3730M1050,Process Industries,Textiles,,name_mismatch
1503,TWSE,士林電機廠股份有限公司,1503,Shihlin Electric & Engineering Corp.,TWSE,stock,TW0001503001,Electronic Technology,Electronic Equipment/Instruments,Information Technology,accept
1506,TWSE,正道工業股份有限公司,1506,"Right Way Industrial Co., Ltd.",TWSE,stock,TW0001506004,Producer Manufacturing,Auto Parts: OEM,Industrials,accept
1538,TWSE,正峰工業股份有限公司,1538,"Jenn Feng Industrial Tools Co., Ltd.",TWSE,stock,TW0001538007,Consumer Durables,Tools & Hardware,Consumer Discretionary,accept
1589,TWSE,永冠能源科技集團有限公司,,,,,,,,,no_tradingview_match
1590,TWSE,亞德客國際集團,1590,Airtac International Group,TWSE,stock,KYG014081064,Producer Manufacturing,Industrial Machinery,,name_mismatch
1831,TADAWUL,MAHARAH,1831,Maharah Human Resources Co.,TADAWUL,stock,SA14QH2GSJH8,Commercial Services,Personnel Services,Industrials,accept
1832,TADAWUL,SADR,1832,Sadr Logistics Co.,TADAWUL,stock,SA1563RGSK16,Producer Manufacturing,Building Products,Industrials,accept
1834,TADAWUL,SMASCO,1834,Saudi Manpower Solutions Company,TADAWUL,stock,SA562G3GSL11,Commercial Services,Personnel Services,Industrials,accept
1A1,SGX,Wong Fong Ind,1A1,Wong Fong Industries Limited,SGX,stock,SG1DA6000004,Distribution Services,Wholesale Distributors,Industrials,accept
1AZ,SGX,Audience,1AZ,Audience Analytics Limited,SGX,stock,SGXE74394474,Commercial Services,Miscellaneous Commercial Services,Industrials,accept
1B6,SGX,Ocean Sky Intl,1B6,Ocean Sky International Limited,SGX,stock,SG1DD2000002,Industrial Services,Engineering & Construction,Industrials,accept
1C0,SGX,ETC Singapore,1C0,Emerging Towns & Cities Singapore Ltd,SGX,stock,SG1DD5000009,Finance,Real Estate Development,Real Estate,accept
1D4,SGX,Aoxin Q & M,1D4,Aoxin Q&M Dental Group Ltd.,SGX,stock,SG1DF9000000,Health Services,Medical/Nursing Services,Health Care,accept
1E3,SGX,Sanli Env,1E3,Sanli Environmental Ltd.,SGX,stock,SG1DG8000009,Industrial Services,Engineering & Construction,Industrials,accept
1H3,SGX,Clearbridge,1H3,Clearbridge Health Ltd.,SGX,stock,SG1EB6000000,Health Services,Hospital/Nursing Management,Health Care,accept
1H8,SGX,LY Corp,1H8,LY Corporation Limited,SGX,stock,SG1EC1000003,Consumer Durables,Home Furnishings,Consumer Discretionary,accept
1J4,SGX,JEP,1J4,JEP Holdings Ltd.,SGX,stock,SG1EE3000007,Producer Manufacturing,Industrial Machinery,Industrials,accept
1U8,SGX,RichCapital,1U8,Rich Capital Holdings Limited,SGX,stock,SGXE20364795,Finance,Real Estate Development,Real Estate,accept
1Y1,SGX,9R,1Y1,9R Limited,SGX,stock,SGXE45420721,Producer Manufacturing,Industrial Machinery,Industrials,accept
2062,TWSE,橋椿金屬股份有限公司,2062,Sunspring Metal Corporation,TWSE,stock,TW0002062007,Non-Energy Minerals,Other Metals/Minerals,Materials,accept
2100,TADAWUL,WAFRAH,2100,Wafrah for Industry & Development,TADAWUL,stock,SA0007879220,Consumer Non-Durables,Food: Specialty/Candy,Consumer Staples,accept
2115,TWSE,六暉控股股份有限公司,2115,Lu Hai Holding Corp.,TWSE,stock,KYG5700L1086,Producer Manufacturing,Auto Parts: OEM,,name_mismatch
2140,TADAWUL,AYYAN,2140,AYYAN Investment Company,TADAWUL,stock,SA0007879261,Industrial Services,Engineering & Construction,Industrials,accept
2150,TADAWUL,ZOUJAJ,2150,National Co. for Glass Industries,TADAWUL,stock,SA0007879329,Process Industries,Containers/Packaging,Materials,accept
2190,TADAWUL,SISCO HOLDING,2190,Sustained Infrastructure Holding Company,TADAWUL,stock,SA0007879360,Transportation,Other Transportation,Industrials,accept
2200,TADAWUL,APC,2200,Arabian Pipes Co.,TADAWUL,stock,SA0007879378,Non-Energy Minerals,Steel,Materials,accept
2223,TADAWUL,LUBEREF,2223,Saudi Aramco Base Oil Company - Luberef,TADAWUL,stock,SA15M1HH2NH5,Energy Minerals,Integrated Oil,Energy,accept
2285,TADAWUL,ARABIAN MILLS,2285,Arabian Mills for Food Products Company,TADAWUL,stock,SA164H113MH2,Process Industries,Agricultural Commodities/Milling,Consumer Staples,accept
2287,TADAWUL,ENTAJ,2287,Arabian Company for Agricultural and Industrial Investment,TADAWUL,stock,SA1690P13NH3,Process Industries,Agricultural Commodities/Milling,Consumer Staples,accept
2290,TADAWUL,YANSAB,2290,Yanbu National Petrochemical Co.,TADAWUL,stock,SA000A0HNF36,Process Industries,Chemicals: Specialty,Materials,accept
2310,TADAWUL,SIPCHEM,2310,Sahara International Petrochemical Company,TADAWUL,stock,SA000A0KFKK0,Process Industries,Chemicals: Specialty,Materials,accept
2320,TADAWUL,ALBABTAIN,2320,Al-Babtain Power & Telecommunication Co.,TADAWUL,stock,SA000A0LEF64,Producer Manufacturing,Electrical Products,Industrials,accept
2453,TWSE,凌群電腦股份有限公司,2453,"Syscom Computer Engineering Co., Ltd.",TWSE,stock,TW0002453008,Technology Services,Information Technology Services,Information Technology,accept
2542,TWSE,興富發建設股份有限公司,2542,Highwealth Construction Corp.,TWSE,stock,TW0002542008,Finance,Real Estate Development,Real Estate,accept
2723,TWSE,開曼美食達人股份有限公司,2723,Gourmet Master Co. Ltd.,TWSE,stock,KYG4002A1004,Consumer Non-Durables,Food: Specialty/Candy,,name_mismatch
2739,TWSE,寒舍餐旅管理顧問股份有限公司,2739,My Humble House Hospitality Management Consulting Co Ltd,TWSE,stock,TW0002739000,Consumer Services,Hotels/Resorts/Cruise lines,Consumer Discretionary,accept
2939,TWSE,永邑國際集團股份有限公司,2939,"Yong Yi International Group Co., Ltd.",TWSE,stock,KYG108031074,Consumer Durables,Home Furnishings,,name_mismatch
2INV,XETRA,2INVEST AG  NA O.N.,,,,,,,,,no_tradingview_match
2WAV3,B3,2W ECOBANK S.A.,,,,,,,,,no_tradingview_match
3007,TADAWUL,OASIS,3007,Zahrat Al Waha For Trading Co.,TADAWUL,stock,SA14C0PHEVH7,Process Industries,Containers/Packaging,Materials,accept
3018,TWSE,隆銘綠能科技工程股份有限公司,3018,Lung Ming Green Energy Technology Engineering Co Ltd.,TWSE,stock,TW0003018008,Electronic Technology,Telecommunications Equipment,Information Technology,accept
3026,TWSE,禾伸堂企業股份有限公司,3026,"Holy Stone Enterprise Co., Ltd.",TWSE,stock,TW0003026001,Electronic Technology,Semiconductors,Information Technology,accept
32QX,LSE,TELECOM EGYPT S.A.E GDS(EACH REPR 5 ORDS EGP10) (144A),32QX,Telecom Egypt Sponsored GDR 144A,LSE,dr,US87927T1034,Communications,Major Telecommunications,,asset_type_mismatch
333,XETRA,ROSTRA AGC INH O.N. JGE,333,Rostra AG,XETR,stock,DE000A0N3UD5,Process Industries,Chemicals: Specialty,Materials,accept
37OC,LSE,OIL & GAS DEVELOPMENT COMPANY LD GDR (EACH REPR 10 ORD)(144A),37OC,Oil & Gas Development Co. Ltd. Sponsored GDR 144A,LSE,dr,US67778Q1013,Energy Minerals,Oil & Gas Production,,asset_type_mismatch
3IN,LSE,3I Infrastructure PLC,3IN,3i Infrastructure PLC,LSE,fund,JE00BF5FX167,Finance,Investment Managers,,asset_type_mismatch
3RB0,XETRA,"RECKITT BENCK.LS-,1041666",3RB0,Reckitt Benckiser Group plc,XETR,stock,GB00BSZBP530,Consumer Non-Durables,Household/Personal Care,Consumer Staples,accept
4001,TADAWUL,A.OTHAIM MARKET,4001,Abdullah Al Othaim Markets Co.,TADAWUL,stock,SA1230K1UGH7,Retail Trade,Food Retail,Consumer Staples,accept
4002,TADAWUL,MOUWASAT,4002,Mouwasat Medical Services Co.,TADAWUL,stock,SA12C051UH11,Health Services,Hospital/Nursing Management,Health Care,accept
4003,TADAWUL,EXTRA,4003,United Electronics Co.,TADAWUL,stock,SA12U0RHUHH8,Finance,Finance/Rental/Leasing,Financials,accept
4007,TADAWUL,ALHAMMADI,4007,Al Hammadi Holding,TADAWUL,stock,SA13J051UJH4,Health Services,Hospital/Nursing Management,Health Care,accept
4009,TADAWUL,SAUDI GERMAN HEALTH,4009,Middle East Healthcare Company,TADAWUL,stock,SA141H01UKH9,Health Services,Medical/Nursing Services,Health Care,accept
4018,TADAWUL,ALMOOSA,4018,Almoosa Health Co.,TADAWUL,stock,SA1661VHUP11,Health Services,Hospital/Nursing Management,Health Care,accept
