ticker,exchange,name,tv_symbol,tv_name,tv_exchange,tv_type,tv_sector,tv_industry,sector_update,decision
02P,XETRA,PEARL GOLD AG,,,,,,,,no_tradingview_match
0373,Bursa,VERDANT,,,,,,,,no_tradingview_match
0A2T,LSE,High Templar Tech Limited,0A2T,High Templar Tech Limited Sponsored ADR Class A,LSE,dr,Technology Services,Internet Software/Services,,asset_type_mismatch
0A2Y,LSE,"Telefónica, S.A.",0A2Y,Telefonica SA Sponsored ADR,LSE,dr,Communications,Specialty Telecommunications,,asset_type_mismatch
0A90,LSE,0A90,,,,,,,,no_tradingview_match
0A9V,LSE,Mister Spex SE,0A9V,Mister Spex SE,LSE,stock,Retail Trade,Internet Retail,Consumer Discretionary,accept
0AA6,LSE,Azelis Group N.V.,0AA6,Azelis Group N.V.,LSE,stock,Distribution Services,Wholesale Distributors,Industrials,accept
0AAE,LSE,AutoStore Holdings Ltd.,,,,,,,,no_tradingview_match
0AAI,LSE,Montana Aerospace AG,0AAI,Montana Aerospace AG,LSE,stock,Electronic Technology,Aerospace & Defense,Industrials,accept
0AAR,LSE,INTERCOS SPA INTERCOS ORD SHS,,,,,,,,no_tradingview_match
0AB4,LSE,Lilium N.V.,0AB4,Lilium N.V. Class A,LSE,stock,Electronic Technology,Aerospace & Defense,Industrials,accept
0AB5,LSE,Iveco Group N.V.,,,,,,,,no_tradingview_match
0AB7,LSE,Technoprobe S.p.A.,,,,,,,,no_tradingview_match
0ABE,LSE,Ariston Holding N.V.,,,,,,,,no_tradingview_match
0ABI,LSE,Industrie De Nora S.p.A.,0ABI,Industrie De Nora SpA,LSE,stock,Process Industries,Chemicals: Specialty,Materials,accept
0ABP,LSE,NOVEM GROUP SA NOVEM GROUP ORD SHS,,,,,,,,no_tradingview_match
0ABV,LSE,Odfjell Technology Ltd.,0ABV,Odfjell Technology Ltd.,LSE,stock,Industrial Services,Contract Drilling,Industrials,accept
0AC9,LSE,DSM-Firmenich AG,,,,,,,,no_tradingview_match
0ACA,LSE,Marley Spoon Group SE,0ACA,Marley Spoon Group SE,LSE,stock,Retail Trade,Food Retail,Consumer Staples,accept
0ADF,LSE,ARM Holdings,0ADF,ARM Holdings PLC Sponsored ADR,LSE,dr,Electronic Technology,Semiconductors,,asset_type_mismatch
0ADJ,LSE,Bunge Global SA,0ADJ,Bunge Global SA,LSE,stock,Process Industries,Agricultural Commodities/Milling,Consumer Staples,accept
0DXU,LSE,Cembre S.p.A. Ord,0DXU,Cembre S.p.A.,LSE,stock,Electronic Technology,Electronic Components,,name_mismatch
0DYL,LSE,Acanthe Développement,0DYL,Acanthe Developpement SA,LSE,stock,Finance,Real Estate Investment Trusts,Real Estate,accept
0E1Y,LSE,Chargeurs,,,,,,,,no_tradingview_match
0EGH,LSE,Fiera Milano S.p.A.,,,,,,,,no_tradingview_match
0ERM,LSE,Iberpapel Gestion S.A.,0ERM,"Iberpapel Gestion, S.A.",LSE,stock,Distribution Services,Wholesale Distributors,Industrials,accept
0ET5,LSE,Vastned Retail Belgium,0ET5,Vastned,LSE,stock,Finance,Real Estate Development,,name_mismatch
0EX6,LSE,Jensen-Group N.V.,0EX6,Jensen-Group NV,LSE,stock,Producer Manufacturing,Electrical Products,Industrials,accept
0F5A,LSE,LINZ TEXTIL HOLDING AG LINZ TEXTIL HOLDING ORD SHS,0F5A,Linz Textil Holding Aktiengesellschaft,LSE,stock,Process Industries,Textiles,,name_mismatch
0FBX,LSE,Montebalito S.A.,0FBX,"Montebalito, S.A.",LSE,stock,Finance,Real Estate Development,Real Estate,accept
0FQN,LSE,IEP Invest N.V.,0FQN,IEP Invest NV,LSE,stock,Finance,Real Estate Development,Real Estate,accept
0FSJ,LSE,Renta Corp. Real Estate S.A.,0FSJ,"Renta Corporacion Real Estate, S.A.",LSE,stock,Finance,Real Estate Development,Real Estate,accept
0GA3,LSE,Telecom Italia S.p.A. RNC,,,,,,,,no_tradingview_match
0GNK,LSE,Knowit AB,,,,,,,,no_tradingview_match
0GOI,LSE,Martifer SGPS S/A,0GOI,Martifer SGPS,LSE,stock,Industrial Services,Engineering & Construction,Industrials,accept
0HC7,LSE,Albemarle Corp.,0HC7,Albemarle Corporation,LSE,stock,Process Industries,Chemicals: Specialty,Materials,accept
0HEJ,LSE,American Homes 4 Rent Cl A,0HEJ,American Homes 4 Rent Class A,LSE,stock,Finance,Real Estate Investment Trusts,Real Estate,accept
0HGC,LSE,APA Corp.,0HGC,APA Corporation,LSE,stock,Energy Minerals,Integrated Oil,,name_mismatch
0HHU,LSE,Armour Residential REIT Inc.,0HHU,"ARMOUR Residential REIT, Inc.",LSE,stock,Finance,Real Estate Investment Trusts,Real Estate,accept
0HJH,LSE,Autoliv Inc.,0HJH,Autoliv Inc.,LSE,stock,Producer Manufacturing,Auto Parts: OEM,Industrials,accept
0HLQ,LSE,Bank of New York Mellon Corp.,0HLQ,Bank of New York Mellon Corp,LSE,stock,Finance,Investment Banks/Brokers,Financials,accept
0HQU,LSE,CF Industries Holdings Inc.,0HQU,"CF Industries Holdings, Inc.",LSE,stock,Process Industries,Chemicals: Agricultural,Materials,accept
0HX1,LSE,Olympique Lyonnais Groupe,0HX1,Eagle Football Group,LSE,stock,Consumer Services,Movies/Entertainment,,name_mismatch
0HZC,LSE,Eurazeo,,,,,,,,no_tradingview_match
0I3I,LSE,Cooper Cos.,0I3I,"Cooper Companies, Inc.",LSE,stock,Health Technology,Medical Specialties,,name_mismatch
0I6U,LSE,DXC Technology Co.,0I6U,DXC Technology Co.,LSE,stock,Technology Services,Data Processing Services,Information Technology,accept
0I9F,LSE,Digital Realty Trust Inc.,0I9F,"Digital Realty Trust, Inc.",LSE,stock,Finance,Real Estate Investment Trusts,Real Estate,accept
0ILI,LSE,Fluidra S.A.,,,,,,,,no_tradingview_match
0ITS,LSE,Gap Inc.,0ITS,"Gap, Inc.",LSE,stock,Retail Trade,Apparel/Footwear Retail,,name_mismatch
0J0V,LSE,Campine N.V.,0J0V,Campine nv,LSE,stock,Non-Energy Minerals,Other Metals/Minerals,Materials,accept
0J1R,LSE,HCA Healthcare Inc.,0J1R,HCA Healthcare Inc,LSE,stock,Health Services,Hospital/Nursing Management,Health Care,accept
0J3H,LSE,Hartford Financial Services Group Inc.,0J3H,"Hartford Insurance Group, Inc.",LSE,stock,Finance,Property/Casualty Insurance,,name_mismatch
0JEV,LSE,Option NV,0JEV,OPTION,LSE,stock,Electronic Technology,Computer Communications,Information Technology,accept
0JW2,LSE,M&T Bank Corp.,0JW2,M&T Bank Corporation,LSE,stock,Finance,Regional Banks,,name_mismatch
0K7V,LSE,News Corp Cl B,0K7V,News Corporation Class B,LSE,stock,Consumer Services,Publishing: Newspapers,,name_mismatch
0KEI,LSE,PPG Industries Inc.,0KEI,"PPG Industries, Inc.",LSE,stock,Process Industries,Industrial Specialties,Materials,accept
0KJZ,LSE,Post Holdings Inc.,0KJZ,"Post Holdings, Inc.",LSE,stock,Consumer Non-Durables,Food: Specialty/Candy,,name_mismatch
0KO8,LSE,Enea S.A.,,,,,,,,no_tradingview_match
0KTW,LSE,Range Resources Corp.,0KTW,Range Resources Corporation,LSE,stock,Energy Minerals,Oil & Gas Production,Energy,accept
0KZA,LSE,SM Energy Co.,0KZA,SM Energy Company,LSE,stock,Energy Minerals,Integrated Oil,Energy,accept
0L9G,LSE,State Street Corp.,0L9G,State Street Corporation,LSE,stock,Finance,Investment Banks/Brokers,Financials,accept
0L9J,LSE,Kontron AG,,,,,,,,no_tradingview_match
0LHX,LSE,U.S. Global Investors Inc. Cl A,0LHX,"U.S. Global Investors, Inc. Class A",LSE,stock,Miscellaneous,Investment Trusts/Mutual Funds,,unsupported_sector
0LS5,LSE,CCC S.A.,,,,,,,,no_tradingview_match
0M0,XETRA,AVERDION SE INH. O.N.,0M0,AVERDION SE,XETR,stock,Commercial Services,Miscellaneous Commercial Services,,name_mismatch
0M0E,LSE,Ercros S.A.,,,,,,,,no_tradingview_match
0M5U,LSE,Impresa SGPS S.A.,0M5U,Impresa SGPS SA,LSE,stock,Consumer Services,Broadcasting,Communication Services,accept
0MFW,LSE,KBC Ancora,,,,,,,,no_tradingview_match
0MO8,LSE,SED Energy Holdings Plc,0MO8,Sed Energy Holdings PLC,LSE,stock,Finance,Financial Conglomerates,,unsupported_sector
0MR4,LSE,Byggmax Group AB,,,,,,,,no_tradingview_match
0MUN,LSE,Iren S.p.A.,,,,,,,,no_tradingview_match
0N75,LSE,Bonduelle SAS,,,,,,,,no_tradingview_match
0NA0,LSE,Exel Industries S.A.,0NA0,EXEL Industries SA,LSE,stock,Producer Manufacturing,Trucks/Construction/Farm Machinery,Industrials,accept
0NE1,LSE,MFE MEDIAFOREUROPE NV,,,,,,,,no_tradingview_match
0NOL,LSE,Adva Optical Networking SE,,,,,,,,no_tradingview_match
0NUX,LSE,Prysmian SpA,,,,,,,,no_tradingview_match
0NW2,LSE,Randstad NV,,,,,,,,no_tradingview_match
0NYT,LSE,Memscap,0NYT,MEMSCAP SA,LSE,stock,Electronic Technology,Semiconductors,Information Technology,accept
0NYY,LSE,Banco Comercial Portugues S/A,,,,,,,,no_tradingview_match
0NZM,LSE,L’Oreal SA,,,,,,,,no_tradingview_match
0O0N,LSE,Schouw & Co.,,,,,,,,no_tradingview_match
0O82,LSE,Bodegas Riojanas S.A.,0O82,"Bodegas Riojanas, S.A.",LSE,stock,Consumer Non-Durables,Beverages: Alcoholic,Consumer Staples,accept
0OEY,LSE,D&#39;Amico International Shipping S.A.,0OEY,d'Amico International Shipping S.A.,LSE,stock,Transportation,Marine Shipping,Industrials,accept
0OG6,LSE,Seche Environnement S.A.,0OG6,Seche Environnement SA,LSE,stock,Industrial Services,Environmental Services,Industrials,accept
0OH1,LSE,Spadel SA,0OH1,SPADEL S.A.,LSE,stock,Consumer Non-Durables,Beverages: Non-Alcoholic,Consumer Staples,accept
0OKB,LSE,Alantra Partners S.A.,0OKB,Alantra Partners SA,LSE,stock,Finance,Investment Banks/Brokers,Financials,accept
0P0001J2VW,LSE,Amundi Index Solutions - Amundi MSCI Europe SRI PAB ,,,,,,,,no_tradingview_match
0PAN,LSE,CPI Europe AG,,,,,,,,no_tradingview_match
0Q2F,LSE,Distribuidora Internacional de Alimentacion SA,,,,,,,,no_tradingview_match
0Q6M,LSE,Unipol Gruppo Finanziario Spa,,,,,,,,no_tradingview_match
0Q7U,LSE,Fluxys Belgium S.A.,0Q7U,Fluxys Belgium SA Class D,LSE,stock,Utilities,Gas Distributors,Utilities,accept
0QAP,LSE,Carmila,,,,,,,,no_tradingview_match
0QNY,LSE,3M Co.,,,,,,,,no_tradingview_match
0QO6,LSE,Julius Baer Gruppe AG,,,,,,,,no_tradingview_match
0QR3,LSE,PG&E Corp.,0QR3,PG&E Corporation,LSE,stock,Utilities,Electric Utilities,,name_mismatch
0QVF,LSE,FinecoBank S.p.A.,,,,,,,,no_tradingview_match
0QZS,LSE,TripAdvisor Inc.,0QZS,"TripAdvisor, Inc.",LSE,stock,Consumer Services,Other Consumer Services,Consumer Discretionary,accept
0R23,LSE,Halliburton Co.,0R23,Halliburton Company,LSE,stock,Industrial Services,Oilfield Services/Equipment,Industrials,accept
0R6G,LSE,Nueva Expresion Textil S.A.,0R6G,"Nueva Expresion Textil, S.A.",LSE,stock,Consumer Non-Durables,Apparel/Footwear,Consumer Staples,accept
0R6H,LSE,Care Property Invest N.V.,0R6H,Care Property Invest SA,LSE,stock,Finance,Real Estate Investment Trusts,Real Estate,accept
0R7W,LSE,Promotora de Informaciones SA,,,,,,,,no_tradingview_match
0RCY,LSE,Attendo International publ AB,,,,,,,,no_tradingview_match
0RF7,LSE,Humana AB,,,,,,,,no_tradingview_match
0RHN,LSE,AcadeMedia AB,,,,,,,,no_tradingview_match
0RHV,LSE,Investis Holding S.A.,0RHV,Investis Holding SA,LSE,stock,Finance,Real Estate Development,Real Estate,accept
0RLT,LSE,Qiagen NV,,,,,,,,no_tradingview_match
0RON,LSE,Banca Farmafactoring S.p.A.,,,,,,,,no_tradingview_match
0STP,LSE,Immobiliare Grande Distribuzione SIIQ SpA,,,,,,,,no_tradingview_match
0VBE,LSE,Osisko Gold Royalties Ltd.,0VBE,OR Royalties Inc.,LSE,stock,Non-Energy Minerals,Precious Metals,,name_mismatch
0YAL,LSE,Boliden AB,,,,,,,,no_tradingview_match
0ZW8,LSE,Vista Alegre Atlantis,0ZW8,VAA Vista Alegre Atlantis SGPS SA,LSE,stock,Consumer Durables,Home Furnishings,Consumer Discretionary,accept
1010,TADAWUL,RIBL,1010,Riyad Bank,TADAWUL,stock,Finance,Major Banks,,name_mismatch
1020,TADAWUL,BJAZ,1020,Bank Aljazira,TADAWUL,stock,Finance,Major Banks,,name_mismatch
1030,TADAWUL,SAIB,1030,Saudi Investment Bank,TADAWUL,stock,Finance,Regional Banks,,name_mismatch
1050,TADAWUL,BSF,1050,Banque Saudi Fransi,TADAWUL,stock,Finance,Major Banks,,name_mismatch
1060,TADAWUL,SAB,1060,Saudi Awwal Bank,TADAWUL,stock,Finance,Major Banks,,name_mismatch
1080,TADAWUL,ANB,1080,Arab National Bank,TADAWUL,stock,Finance,Major Banks,,name_mismatch
1111,TADAWUL,TADAWUL GROUP,1111,Saudi Tadawul Group Holding Company,TADAWUL,stock,Finance,Investment Banks/Brokers,,name_mismatch
1120,TADAWUL,ALRAJHI,1120,Al Rajhi Bank,TADAWUL,stock,Finance,Major Banks,,name_mismatch
1140,TADAWUL,ALBILAD,1140,Bank Albilad,TADAWUL,stock,Finance,Regional Banks,,name_mismatch
1150,TADAWUL,ALINMA,1150,Alinma Bank,TADAWUL,stock,Finance,Major Banks,,name_mismatch
1180,TADAWUL,SNB,1180,Saudi National Bank,TADAWUL,stock,Finance,Major Banks,,name_mismatch
1182,TADAWUL,AMLAK,1182,Amlak International for Real Estate Finance Company,TADAWUL,stock,Finance,Real Estate Investment Trusts,,name_mismatch
1183,TADAWUL,SHL,1183,SHL Finance Co.,TADAWUL,stock,Finance,Finance/Rental/Leasing,,name_mismatch
1202,TADAWUL,MEPCO,1202,Middle East Paper Co.,TADAWUL,stock,Process Industries,Pulp & Paper,,name_mismatch
1211,TADAWUL,MAADEN,1211,Saudi Arabian Mining Co.,TADAWUL,stock,Non-Energy Minerals,Other Metals/Minerals,,name_mismatch
1214,TADAWUL,SHAKER,1214,Al Hassan Ghazi Ibrahim Shaker Co.,TADAWUL,stock,Distribution Services,Wholesale Distributors,,name_mismatch
123F,XETRA,123fahrschule SE,123F,123fahrschule SE,XETR,stock,Consumer Services,Hotels/Resorts/Cruise lines,Consumer Discretionary,accept
1256,TWSE,鮮活控股股份有限公司,1256,"Sunjuice Holdings Co., Ltd.",TWSE,stock,Consumer Non-Durables,Beverages: Non-Alcoholic,,name_mismatch
1337,TWSE,亞洲塑膠再生資源控股有限公司,1337,Asia Plastic Recycling Holding Limited,TWSE,stock,Producer Manufacturing,Miscellaneous Manufacturing,,name_mismatch
1338,TWSE,廣華控股有限公司,1338,Hiroca Holdings Ltd.,TWSE,stock,Producer Manufacturing,Auto Parts: OEM,,name_mismatch
1340,TWSE,勝悅新材料有限公司,1340,Victory New Materials Ltd. Co.,TWSE,stock,Consumer Non-Durables,Apparel/Footwear,,name_mismatch
1341,TWSE,富林塑膠工業(開曼)控股(股)公司,1341,"Fulin Plastic Industry (Cayman) Holding Co., Ltd.",TWSE,stock,Process Industries,Textiles,,name_mismatch
1503,TWSE,士林電機廠股份有限公司,1503,Shihlin Electric & Engineering Corp.,TWSE,stock,Electronic Technology,Electronic Equipment/Instruments,,name_mismatch
1506,TWSE,正道工業股份有限公司,1506,"Right Way Industrial Co., Ltd.",TWSE,stock,Producer Manufacturing,Auto Parts: OEM,,name_mismatch
1538,TWSE,正峰工業股份有限公司,1538,"Jenn Feng Industrial Tools Co., Ltd.",TWSE,stock,Consumer Durables,Tools & Hardware,,name_mismatch
1589,TWSE,永冠能源科技集團有限公司,,,,,,,,no_tradingview_match
1590,TWSE,亞德客國際集團,1590,Airtac International Group,TWSE,stock,Producer Manufacturing,Industrial Machinery,,name_mismatch
1831,TADAWUL,MAHARAH,1831,Maharah Human Resources Co.,TADAWUL,stock,Commercial Services,Personnel Services,,name_mismatch
1832,TADAWUL,SADR,1832,Sadr Logistics Co.,TADAWUL,stock,Producer Manufacturing,Building Products,,name_mismatch
1834,TADAWUL,SMASCO,1834,Saudi Manpower Solutions Company,TADAWUL,stock,Commercial Services,Personnel Services,,name_mismatch
1A1,SGX,Wong Fong Ind,1A1,Wong Fong Industries Limited,SGX,stock,Distribution Services,Wholesale Distributors,,name_mismatch
1AST,XETRA,ASTA Energy Solutions AG,1AST,Asta Energy Solutions AG,XETR,stock,Distribution Services,Wholesale Distributors,Industrials,accept
1AZ,SGX,Audience,1AZ,Audience Analytics Limited,SGX,stock,Commercial Services,Miscellaneous Commercial Services,,name_mismatch
1B6,SGX,Ocean Sky Intl,1B6,Ocean Sky International Limited,SGX,stock,Industrial Services,Engineering & Construction,,name_mismatch
1C0,SGX,ETC Singapore,1C0,Emerging Towns & Cities Singapore Ltd,SGX,stock,Finance,Real Estate Development,,name_mismatch
1D3,SGX,Autagco,1D3,Autagco Ltd.,SGX,stock,Consumer Services,Restaurants,Consumer Discretionary,accept
1D4,SGX,Aoxin Q & M,1D4,Aoxin Q&M Dental Group Ltd.,SGX,stock,Health Services,Medical/Nursing Services,,name_mismatch
1E3,SGX,Sanli Env,1E3,Sanli Environmental Ltd.,SGX,stock,Industrial Services,Engineering & Construction,,name_mismatch
1H3,SGX,Clearbridge,1H3,Clearbridge Health Ltd.,SGX,stock,Health Services,Hospital/Nursing Management,,name_mismatch
1H8,SGX,LY Corp,1H8,LY Corporation Limited,SGX,stock,Consumer Durables,Home Furnishings,,name_mismatch
1INN,XETRA,INNOSCRIPTA SE,1INN,Innoscripta AG,XETR,stock,Technology Services,Packaged Software,Information Technology,accept
1J4,SGX,JEP,1J4,JEP Holdings Ltd.,SGX,stock,Producer Manufacturing,Industrial Machinery,,name_mismatch
