ticker,exchange,name,tv_symbol,tv_name,tv_exchange,tv_type,tv_isin,tv_sector,tv_industry,sector_update,decision
0A2T,LSE,High Templar Tech Limited,0A2T,High Templar Tech Limited Sponsored ADR Class A,LSE,dr,US7477981069,Technology Services,Internet Software/Services,,asset_type_mismatch
0A2Y,LSE,"Telefónica, S.A.",0A2Y,Telefonica SA Sponsored ADR,LSE,dr,US8793822086,Communications,Specialty Telecommunications,,asset_type_mismatch
0A90,LSE,0A90,,,,,,,,,no_tradingview_match
0AAE,LSE,AutoStore Holdings Ltd.,,,,,,,,,no_tradingview_match
0AAR,LSE,INTERCOS SPA INTERCOS ORD SHS,,,,,,,,,no_tradingview_match
0AB5,LSE,Iveco Group N.V.,,,,,,,,,no_tradingview_match
0AB7,LSE,Technoprobe S.p.A.,,,,,,,,,no_tradingview_match
0ABE,LSE,Ariston Holding N.V.,,,,,,,,,no_tradingview_match
0ABP,LSE,NOVEM GROUP SA NOVEM GROUP ORD SHS,,,,,,,,,no_tradingview_match
0AC9,LSE,DSM-Firmenich AG,,,,,,,,,no_tradingview_match
0ADF,LSE,ARM Holdings,0ADF,ARM Holdings PLC Sponsored ADR,LSE,dr,US0420682058,Electronic Technology,Semiconductors,,asset_type_mismatch
0E1Y,LSE,Chargeurs,,,,,,,,,no_tradingview_match
0EGH,LSE,Fiera Milano S.p.A.,,,,,,,,,no_tradingview_match
0GA3,LSE,Telecom Italia S.p.A. RNC,,,,,,,,,no_tradingview_match
0GNK,LSE,Knowit AB,,,,,,,,,no_tradingview_match
0HZC,LSE,Eurazeo,,,,,,,,,no_tradingview_match
0ILI,LSE,Fluidra S.A.,,,,,,,,,no_tradingview_match
0KO8,LSE,Enea S.A.,,,,,,,,,no_tradingview_match
0L9J,LSE,Kontron AG,,,,,,,,,no_tradingview_match
0LHX,LSE,U.S. Global Investors Inc. Cl A,0LHX,"U.S. Global Investors, Inc. Class A",LSE,stock,US9029521005,Miscellaneous,Investment Trusts/Mutual Funds,,unsupported_sector
0LS5,LSE,CCC S.A.,,,,,,,,,no_tradingview_match
0M0E,LSE,Ercros S.A.,,,,,,,,,no_tradingview_match
0MFW,LSE,KBC Ancora,,,,,,,,,no_tradingview_match
0MO8,LSE,SED Energy Holdings Plc,0MO8,Sed Energy Holdings PLC,LSE,stock,CY0101162119,Finance,Financial Conglomerates,,unsupported_sector
0MR4,LSE,Byggmax Group AB,,,,,,,,,no_tradingview_match
0MUN,LSE,Iren S.p.A.,,,,,,,,,no_tradingview_match
0N75,LSE,Bonduelle SAS,,,,,,,,,no_tradingview_match
0NE1,LSE,MFE MEDIAFOREUROPE NV,,,,,,,,,no_tradingview_match
0NOL,LSE,Adva Optical Networking SE,,,,,,,,,no_tradingview_match
0NUX,LSE,Prysmian SpA,,,,,,,,,no_tradingview_match
0NW2,LSE,Randstad NV,,,,,,,,,no_tradingview_match
0NYY,LSE,Banco Comercial Portugues S/A,,,,,,,,,no_tradingview_match
0NZM,LSE,L’Oreal SA,,,,,,,,,no_tradingview_match
0O0N,LSE,Schouw & Co.,,,,,,,,,no_tradingview_match
0P0001J2VW,LSE,Amundi Index Solutions - Amundi MSCI Europe SRI PAB ,,,,,,,,,no_tradingview_match
0PAN,LSE,CPI Europe AG,,,,,,,,,no_tradingview_match
0Q2F,LSE,Distribuidora Internacional de Alimentacion SA,,,,,,,,,no_tradingview_match
0Q6M,LSE,Unipol Gruppo Finanziario Spa,,,,,,,,,no_tradingview_match
0QAP,LSE,Carmila,,,,,,,,,no_tradingview_match
0QNY,LSE,3M Co.,,,,,,,,,no_tradingview_match
0QO6,LSE,Julius Baer Gruppe AG,,,,,,,,,no_tradingview_match
0QVF,LSE,FinecoBank S.p.A.,,,,,,,,,no_tradingview_match
0R7W,LSE,Promotora de Informaciones SA,,,,,,,,,no_tradingview_match
0RCY,LSE,Attendo International publ AB,,,,,,,,,no_tradingview_match
0RF7,LSE,Humana AB,,,,,,,,,no_tradingview_match
0RHN,LSE,AcadeMedia AB,,,,,,,,,no_tradingview_match
0RLT,LSE,Qiagen NV,,,,,,,,,no_tradingview_match
0RON,LSE,Banca Farmafactoring S.p.A.,,,,,,,,,no_tradingview_match
0STP,LSE,Immobiliare Grande Distribuzione SIIQ SpA,,,,,,,,,no_tradingview_match
0YAL,LSE,Boliden AB,,,,,,,,,no_tradingview_match
2WAV3,B3,2W ECOBANK S.A.,,,,,,,,,no_tradingview_match
32QX,LSE,TELECOM EGYPT S.A.E GDS(EACH REPR 5 ORDS EGP10) (144A),32QX,Telecom Egypt Sponsored GDR 144A,LSE,dr,US87927T1034,Communications,Major Telecommunications,,asset_type_mismatch
37OC,LSE,OIL & GAS DEVELOPMENT COMPANY LD GDR (EACH REPR 10 ORD)(144A),37OC,Oil & Gas Development Co. Ltd. Sponsored GDR 144A,LSE,dr,US67778Q1013,Energy Minerals,Oil & Gas Production,,asset_type_mismatch
3IN,LSE,3I Infrastructure PLC,3IN,3i Infrastructure PLC,LSE,fund,JE00BF5FX167,Finance,Investment Managers,,asset_type_mismatch
47HA,LSE,INVESTEC INVESTMENT TRUST PLC 5% CUM PRF STK #1,47HA,Investec Investment Trust PLc Cum.Pref.Stk 5% Cumulative Pref Stock,LSE,stock,GB0004058433,Miscellaneous,Investment Trusts/Mutual Funds,,unsupported_sector
51FL,LSE,SOCIETATEA ENERGETICA ELECTRICA SA GDR (EACH REPR 4ORD) (144A),51FL,Societatea Energetica Electrica S.A. Sponsored GDR 144A,LSE,dr,US83367Y1082,Utilities,Electric Utilities,,asset_type_mismatch
59OT,LSE,JSC NATIONAL ATOMIC CO KAZATOMPROM GDR (EACH REPR 1 ORD) (144A),59OT,National Atomic Company Kazatomprom JSC Sponsored GDR 144A,LSE,dr,US63253R1023,Non-Energy Minerals,Other Metals/Minerals,,asset_type_mismatch
67GX,LSE,ZIGUP PLC 5% CUM PRF 50P,,,,,,,,,no_tradingview_match
70GD,LSE,ANTOFAGASTA PLC 5% CUM PRF #1,,,,,,,,,no_tradingview_match
72HN,LSE,MERCHANTS TRUST PLC 3.65% CUM PRF #1,72HN,Merchants Trust PLC,LSE,fund,GB0005800296,Miscellaneous,Investment Trusts/Mutual Funds,,asset_type_mismatch
78QZ,LSE,ALUMINIUM BAHRAIN B.S.C. GDR (EACH REPR 1/5 ORD) (144A),78QZ,Aluminium Bahrain B.S.C Sponsored GDR 144A,LSE,dr,US0222081020,Non-Energy Minerals,Aluminum,,asset_type_mismatch
A6OP3,B3,ACESSOPAR INVESTIMENTOS E PARTICIPAÇÕES S.A.,,,,,,,,,no_tradingview_match
AAA.P,TSXV,First Tidal Acquisition Corp.,AAA.P,First Tidal Acquisition Corp. Class A,TSXV,stock,CA33719F1099,Finance,Financial Conglomerates,,unsupported_sector
AAAJ.P,TSXV,AAJ Capital 3 Corp.,AAAJ.P,AAJ Capital 3 Corp.,TSXV,stock,CA00036L1013,Finance,Financial Conglomerates,,unsupported_sector
AB-H,TSXV,Asbestos Corporation Limited,,,,,,,,,no_tradingview_match
ACAP.P,TSXV,Atlas One Capital Corporation,ACAP.P,Atlas One Capital Corporation,TSXV,stock,CA04941B1094,Finance,Financial Conglomerates,,unsupported_sector
ACL,TSXV,A.C.L. Construction Ltd.,ACL,A.C.L. Construction Ltd,TSXV,stock,CA00092W1086,Finance,Financial Conglomerates,,unsupported_sector
ACRM,LSE,Acuity RM Group Plc,ACRM,Acuity RM Group PLC,LSE,stock,GB00BR0WHY71,Finance,Financial Conglomerates,,unsupported_sector
ADAD.P,TSXV,Adagio 2 Capital Inc.,ADAD.P,Adagio 2 Capital Inc.,TSXV,stock,CA00534V1067,Finance,Financial Conglomerates,,unsupported_sector
ADJ.P,TSXV,AD4 Capital Corp.,ADJ.P,AD4 Capital Corp.,TSXV,stock,CA00687F1062,Finance,Financial Conglomerates,,unsupported_sector
ADMF3,B3,CIABRASF CIA BRASILEIRA DE SERVIÇOS FINANCEIROS SA,,,,,,,,,no_tradingview_match
AEET,LSE,Aquila Energy Efficiency Trust PLC,AEET,Parvus Energy Efficiency Trust plc,LSE,fund,GB00BN6JYS78,Miscellaneous,Investment Trusts/Mutual Funds,,asset_type_mismatch
AFR,TSXV,AFR NuVenture Resources Inc.,,,,,,,,,no_tradingview_match
