ticker,exchange,asset_type,name,twse_security_name,twse_isin,twse_market,twse_industry,isin_update,sector_update,decision
00625K,TWSE,ETF,Fubon SSE180 Exchange Traded Fund,FB SSE180+R,TW00000625K4,TWSE LISTED,,TW00000625K4,,accept
01001T,TWSE,ETF,Fubon No.1 Real Estate Investment Trust,FUBON NO.1 REIT,TW00001001T8,TWSE LISTED,,TW00001001T8,,accept
01007T,TWSE,ETF,Cathay No.2 REIT,CATHAY NO.2 REIT,TW00001007T5,TWSE LISTED,,TW00001007T5,,accept
01009T,TWSE,ETF,O Bank No. 1 REIT,O-BANK NO.1 REAL ESTATE INVESTMENT TRUST,TW00001009T1,TWSE LISTED,,TW00001009T1,,accept
01010T,TWSE,ETF,Millerful No. 1 REIT,MILLERFUL NO.1 REIT,TW00001010T9,TWSE LISTED,,TW00001010T9,,accept
1256,TWSE,Stock,鮮活控股股份有限公司,SUNJUICE,KYG858681003,TWSE LISTED,Food,KYG858681003,Consumer Staples,accept
1337,TWSE,Stock,亞洲塑膠再生資源控股有限公司,ASIA PLASTIC,KYG0539R1039,TWSE LISTED,Plastic,KYG0539R1039,Materials,accept
1338,TWSE,Stock,廣華控股有限公司,HIROCA,KYG451001070,TWSE LISTED,Automobile,KYG451001070,Consumer Discretionary,accept
1340,TWSE,Stock,勝悅新材料有限公司,VICTORY,KYG935971054,TWSE LISTED,Plastic,KYG935971054,Materials,accept
1341,TWSE,Stock,富林塑膠工業(開曼)控股(股)公司,FULIN-KY,KYG3730M1050,TWSE LISTED,Plastic,KYG3730M1050,Materials,accept
1589,TWSE,Stock,永冠能源科技集團有限公司,YGG,KYG984291065,TWSE LISTED,Electric Machinery,KYG984291065,Industrials,accept
1590,TWSE,Stock,亞德客國際集團,AIRTAC,KYG014081064,TWSE LISTED,Electric Machinery,KYG014081064,Industrials,accept
2115,TWSE,Stock,六暉控股股份有限公司,LUHAI,KYG5700L1086,TWSE LISTED,Automobile,KYG5700L1086,Consumer Discretionary,accept
2248,TWSE,Stock,華勝汽車電子股份有限公司,ELAND,KYG8T24R1076,TWSE LISTED,Automobile,KYG8T24R1076,,accept
2250,TWSE,Stock,第一化成控股(開曼)股份有限公司,IKKA-KY,KYG4R56R1099,TWSE LISTED,Automobile,KYG4R56R1099,,accept
2723,TWSE,Stock,開曼美食達人股份有限公司,GOURMET,KYG4002A1004,TWSE LISTED,Tourism and Hospitality,KYG4002A1004,Consumer Discretionary,accept
2762,TWSE,Stock,世界健身股份有限公司,WORLD GYM,KYG9823E1089,TWSE LISTED,Sports and Leisure,KYG9823E1089,,accept
2939,TWSE,Stock,永邑國際集團股份有限公司,VITAFOSS-KY,KYG108031074,TWSE LISTED,Trading & Consumers Goods,KYG108031074,Consumer Discretionary,accept
3665,TWSE,Stock,貿聯控股(BizLink Holding Inc.),BHI(BIZLINK),KYG114741062,TWSE LISTED,Other Electronic Industry,KYG114741062,,accept
3673,TWSE,Stock,"TPK Holding Co., Ltd.",TPK,KYG898431096,TWSE LISTED,Optoelectronic Industry,KYG898431096,,accept
4137,TWSE,Stock,麗豐股份有限公司,CHLITINA-KY,KYG211641017,TWSE LISTED,Biotechnology and Medical Care,KYG211641017,Health Care,accept
4148,TWSE,Stock,全宇生技控股有限公司,ACBT,KYG0232P1072,TWSE LISTED,Biotechnology and Medical Care,KYG0232P1072,Health Care,accept
4190,TWSE,Stock,佐登妮絲集團股份有限公司,JDS,KYG518761039,TWSE LISTED,Biotechnology and Medical Care,KYG518761039,Health Care,accept
4439,TWSE,Stock,冠星集團控股有限公司,TST GROUP,KYG9114F1037,TWSE LISTED,Textile,KYG9114F1037,,accept
4557,TWSE,Stock,永新控股股份有限公司,YUSIN,KYG988461011,TWSE LISTED,Automobile,KYG988461011,Consumer Discretionary,accept
4560,TWSE,Stock,強信機械科技股份有限公司,STRONG H,KYG853531039,TWSE LISTED,Electric Machinery,KYG853531039,,accept
4569,TWSE,Stock,六方科技股份有限公司,SIXXON,KYG8192T1004,TWSE LISTED,Automobile,KYG8192T1004,,accept
4807,TWSE,Stock,日成控股股份有限公司,RH,KYG7473R1065,TWSE LISTED,Trading & Consumers Goods,KYG7473R1065,Consumer Discretionary,accept
4943,TWSE,Stock,開曼康而富控股股份有限公司,CONCRAFT,KYG2346M1033,TWSE LISTED,Electronic Parts/Components,KYG2346M1033,Information Technology,accept
5215,TWSE,Stock,科嘉(開曼)股份有限公司,KO JA,KYG530791022,TWSE LISTED,Computer and Peripheral Equipm,KYG530791022,Information Technology,accept
5225,TWSE,Stock,東科控股股份有限公司,EASTECH,KYG291021031,TWSE LISTED,Other Electronic Industry,KYG291021031,Information Technology,accept
5538,TWSE,Stock,開曼東明控股股份有限公司,TONG MING,KYG8919A1031,TWSE LISTED,Iron & Steel,KYG8919A1031,Materials,accept
5546,TWSE,Stock,永固集團股份有限公司,YGI,KYG566541093,TWSE LISTED,Building Material&Construction,KYG566541093,,accept
5907,TWSE,Stock,Grand Ocean RetailGroupLimited,GORG,KYG4064G1029,TWSE LISTED,Trading & Consumers Goods,KYG4064G1029,,accept
6415,TWSE,Stock,矽力杰股份有限公司,SILERGY,KYG8190F1028,TWSE LISTED,Semiconductor Industry,KYG8190F1028,Information Technology,accept
6431,TWSE,Stock,光麗生技控股股份有限公司,KL,KYG532651075,TWSE LISTED,Biotechnology and Medical Care,KYG532651075,Health Care,accept
6451,TWSE,Stock,訊芯科技控股股份有限公司,SHUNSIN,KYG811801045,TWSE LISTED,Semiconductor Industry,KYG811801045,Information Technology,accept
6541,TWSE,Stock,泰福生技股份有限公司,TANVEX,KYG8676P1037,TWSE LISTED,Biotechnology and Medical Care,KYG8676P1037,Health Care,accept
6550,TWSE,Stock,北極星藥業集團股份有限公司,PG,KYG7171A1085,TWSE LISTED,Biotechnology and Medical Care,KYG7171A1085,,accept
6591,TWSE,Stock,動力科技股份有限公司,SUN MAX,KYG8587R1074,TWSE LISTED,Computer and Peripheral Equipm,KYG8587R1074,Information Technology,accept
6641,TWSE,Stock,基士德科技股份有限公司,GSD-KY,KYG416551045,TWSE LISTED,Green Energy and Environmental Services,KYG416551045,Industrials,accept
6671,TWSE,Stock,三能集團控股股份有限公司,SAN NENG-KY,KYG7806W1033,TWSE LISTED,Household,KYG7806W1033,Consumer Discretionary,accept
6672,TWSE,Stock,騰輝電子國際集團股份有限公司,VENTEC,KYG9353A1040,TWSE LISTED,Electronic Parts/Components,KYG9353A1040,Information Technology,accept
6781,TWSE,Stock,"AES Holding Co., Ltd.",AES-KY,KYG0097V1086,TWSE LISTED,Electronic Parts/Components,KYG0097V1086,,accept
6887,TWSE,Stock,寶綠特資源再生工程股份有限公司,BORETECH-KY,KYG1462B1077,TWSE LISTED,Green Energy and Environmental Services,KYG1462B1077,,accept
6890,TWSE,Stock,來億興業股份有限公司,LAI YIH,KYG5353T1013,TWSE LISTED,Sports and Leisure,KYG5353T1013,,accept
6924,TWSE,Stock,榮惠集團(開曼)股份有限公司,EIKEI-KY,KYG2954S1030,TAIWAN INNOVATION BOARD,Electronic Parts/Components,KYG2954S1030,,accept
6933,TWSE,Stock,艾瑪斯科技控股股份有限公司,AMAX,KYG0249M1050,TWSE LISTED,Computer and Peripheral Equipm,KYG0249M1050,,accept
6957,TWSE,Stock,裕慶金屬股份有限公司,HORIZON,KYG4631S1003,TWSE LISTED,Others,KYG4631S1003,,accept
6962,TWSE,Stock,ITH Corporation,ITH-KY,KYG4977T1004,TWSE LISTED,Semiconductor Industry,KYG4977T1004,,accept
6965,TWSE,Stock,中傑投資控股股份有限公司,CJ,KYG2124U1031,TWSE LISTED,Sports and Leisure,KYG2124U1031,,accept
7749,TWSE,Stock,意騰科技股份有限公司,IGO-KY,KYG4R4EN1020,TWSE LISTED,Semiconductor Industry,KYG4R4EN1020,,accept
